d141a47ca817d36f480dd5f5d953ca1f	A. W. Ward
188419	Cám (huyện)
20f958fd92bcd497da84f938902c728b	Thể loại:Hoàn toàn không có nguồn tham khảo tháng 4 năm 2016
578356	Thập niên 1350
2316626	Bê
340847	Hoàng Phúc
1f53c9f3811cc581ab65414cb6e2f073	Bunroku
3258476	Danh sách vua và nữ hoàng Anh
1750328	Chiến tranh Marcomanni
11891	Bách Trượng Hoài Hải
12010157	Gilbert N. Lewis
68299	Rio de Janeiro
392169	1834
3670680	Mạc phủ Kamakura
3667193c7492b2b71343bfee43782946	Cherem
3359792	2103
897272faecf80988ba5836d5c024791e	Thể loại:Kiến trúc thập kỷ 30 TCN
530100	1142
3125668	Chăn nuôi gia súc lấy sữa
2426124	Anguilla (định hướng)
567b318663aa6fdf1628530c0a1eac48	Nguyễn Kỳ Nguyện (Đại tá, Quân lực VNCH)
541401	46 TCN
209353	Amager
13794	Quyền tác giả
af1ff9e18c1c7d6f05297c5ec748b2eb	Brookside, Delaware
8bd5ede589216578bc52e0494449be2b	Ueno, Tokyo
10220052	Jeans
b60944fb57e0b3de4395fdab2b484358	Warrensburg, Missouri
107749	Henry Wadsworth Longfellow
6bf41b0ca9148dc9c10ea99f54c56634	George Wald
145967	Liên minh miền Nam Hoa Kỳ
338576	Giản Định đế
34172	Arizona
93225	Kiến Xương
530126	1126
1dee9244a75a58813671175887d9299c	Arthur Phillip
7e94481ed0bd77c61ff266a4ce48b0c2	Arawak
55038	Vũ Văn Mẫu
75773	Chung Tấn Cang
85092d06ddd26447bba4bb222c43c7d6	Iconiq
f446cc6a22a429fb185eac31f45404c6	Charles Huntziger
142664	Okita Sōji
57684	Thiên niên kỷ 2
9af5bb07ed013794b689c0e1522afe83	Silius Italicus
27b9d9a41f7e7262f9cb2626072904ab	Al-Safa và Al-Marwah
3256282	Anna Magnani
3636880	Rambhai Barni
899cf9235986db81d168510161a7fec5	Bệnh mắt hột
29e15bb805ce36d99888839850de0f2e	Hiệp ước Aix-la-Chapelle
ee31e99622d16c59b4b7fc2f66d90462	Sông Iguazu
36618a80b4efa2951d7d1eb61a7d7480	National Oceanic and Atmospheric Administration
530237	1076
ffe655346953289a11d5ed32b7c94f16	Thương mại trong nền văn minh Maya
9c8b9ee0bc326d14b60081aa13cf754a	Chiến dịch Coburg
74abfe36cd5d8e9c23391b1043a35ae7	Arnulf Øverland
404632	Charles Lindbergh
3347499	2026
71037	Calvados
3443	Thứ Bảy
a341cb8d78f9f83e3ddfd627231fdc22	Maximilian I, đế quốc La Mã Thần thánh
140222	Tiberius
512717	Daniel Bernoulli
0c10db8295afc48ebc09be99d26e6dfb	Công viên Quốc gia Pacific Rim
9c12dff4ece46cbb8163d465db09931f	AfDB
793049	Cung điện Caserta
799925	Ngao Bái
a359825273169ce2eedba9f57b0d6f97	Lịch Attic
d9797024797bb24655eda2f4991a5b82	Bình định Bắc Kỳ
c68260f0cc9cf97f79d3e0784e59294c	Người Cantabria
ba80722666b1e911597de9da4de4bba9	Western Express Air
c56bb2d662b148fd937e2d4d30bc88b2	Khoa bảng
b810709f6d3d7ba58365a53699259e59	Liu An
87660e2129b1d3f2f375793392d63df1	Ally McCoist
396493	Frank Billings Kellogg
3643587	.bq
5d04cd9032dd1be30b8ecd5c0d1a62db	Bío Bío (vùng)
9e7740912e1ab753075feb0d4572975b	Daniel Boyarin
4da30bd024c27745334dd68591442dbb	Lịch Nhật Bản
231870	Bayezid II
278060	Trung tá
2453781	Bái Hỏa giáo
447654	Giáo hoàng Agathô
54133	Số vô tỉ
121559	Giải Oscar cho đạo diễn xuất sắc nhất
28af40cb44b27c5316eddc613deb82a2	Dragoljub Davidović
470625	Giải Nobel hóa học
109983	Mikhail Yuryevich Lermontov
03a80e550456f038774d0a28a91aee9c	Vành đai bảo tố
1772195	AC Ajaccio
b79f2d58dc47dc1434387879945e9d28	Lễ Lao động
2260808	Frederick Soddy
b1995602b4cc7e8448fd207ae378d7d7	Cornelis van Haarlem
e587935f4cff300f8dc6e0e5e72e428f	Barzakh
4c550c4a5bded978b23645ae537d67a4	APEC Canada 1997
3716893	Akkadia
541535	119 TCN
528927	1761
49921	169 (số)
70229c16819d288982c0f0d2c8e83497	Cộng hòa Yucatán
11686346	Nguyễn Sinh Nhậm
bf399ef63424a0868b3f612b1c16fe52	Châu Đại Man
1fa8828f54352a47e9f3b89de002dec7	Con lắc (toán học)
dff88820013215bf9fea23ac95e58edf	Bahram I
64ee5d0a8c94a5a3b199e03cd2e52b6c	Trung Cần
3221589	Bốc hơi
94ebc10519c3bac707b65565dbb7c890	Young Sherlock Holmes
08fcfc8db48a36a260b4e25e07f76a9e	AlliedSignal
694860788cecde5b7bcb3ec9de77320d	Giải thưởng Booker
412466	Holzhausen an der Haide
187194	Acre (bang)
21f2467fe982ff14bffc14aa29793cae	Trần Ngọc Oành
177f37f82c90cc66447b3088262be7db	Desmond Chute
540742	203
578311	Thập niên 1680
815164	Edmund Husserl
3c024d0f70a6c0f7724b97a126829f21	Front Palace
97962	Giồng Trôm
46732	Alexander Sergeyevich Yakovlev
e14ebc2f77955df599c979adebe1a1ae	Arkan
48592	Chỉ số phát triển con người
810760	Charles Thomson Rees Wilson
119608	Chiến tranh Vệ quốc Vĩ đại
2846255	Chiến tranh nô lệ lần thứ ba
21773ab3eab38472938bd9db3ee7b69d	Bački Jarak
111225	Boeing F/A-18E/F Super Hornet
45693	ARPANET
808918	Carl David Anderson
67374	Bình Đỉnh Sơn
961db6d23e35c5cae52f774322fd7b44	Henry Irving
3d7d93fa92bf3bb7e7bb9d7193d7adc8	Bộ Phòng vệ Quốc gia (Trung Hoa Dân Quốc)
c8755e15d84888213db49abac4c7e6a2	Ben's Nugget
54300	Naguib Mahfouz
540875	87
541517	102 TCN
c6c81eb6b93961014227f2245b94815e	Người Thổ Nhĩ Kỳ ở Bulgaria
38242	Charlie Chaplin
30106	Cơ vân
511786	Vương quốc Anh
250232	Edmondo De Amicis
fe5f9083acfb75d179c603876d30bcb9	Daniel Smith (viên thanh tra)
99c3b0b9a83a391d5a7db9672d502153	Camp X-Ray
39505	Tiên nghiệm
421839	Ashurbanipal
1309048	Wikidata
1aa649a9c7a74d6eee00ef741b4f662b	Faroese people
528939	1786
531284	680
297960	Nhà Abbas
bc35e25cdac67e627b6b59cd0c7be7da	Augustus Voelcker
6dcca1e7ae0c97fdc3676dbb7e9f85b9	Biển báo Hollywood
247136	Giải Man Booker
704336	Cuộc bao vây Corinth
546366	Nhâm (Thiên can)
3510263	Fraser Stoddart
71f79ef30a211e9db702a59f3bfa5f08	Eishō
2388926	Chính trị toàn cầu
530585	900
59b542030dfca5bfad9729902d472b5e	Alphonso, Earl của Chester
934a2eec1d77e7ed03fdd6f711581f1d	Baul
20376	3 tháng 7
53582b494f00fccc2ab365669da02412	Alscheid
265846	Campobasso
04da268c6e1cec24c214da1a2ddda5fa	Alfred A. Knopf
529343	1680
8153b662fded380e115e15e36241a4a8	Armand Borrel
48641	Gerald Ford
194839	Cuộc tổng tấn công của Kerensky
30010	Hưng Hóa (định hướng)
40495	Bình Sơn
9e2ba549b99cd1f741729f3e01f80b3e	University of Toronto Press
2443976	Lưu Ẩn (nhà Hán)
ff1750c0e666f0c06c63c1ea5db6e416	Aaron Halfaker
9030ea90a4f3c2a10a8062de753168ee	Isabella II
1798393	Artemisia absinthium
2421794	Chim họa mi (truyện thần kỳ)
1e9caddff57542f6b0fb4e7d76ad6e15	François-Timoléon de Choisy
1279623	Thập niên 870
126387	Ambleteuse
530073	1155
371661	Adolphe Sax
93800b581f110a6923d37507a04c7905	Friedrich Bopp
c600b77675341a09d9f95932c45babcf	Danh sách Quốc vương của Hà Lan
800732	Việt bính
257499	Hán Tân
8400055	Asita
99011	Hoàng Lê nhất thống chí
77831	Chất hóa học
50efe58ef73091a6a047cd81ef39f324	January 15
dc6fcfa3c8a86b202a504183b4ce8bb9	Alexander Nikolaevich Yakovlev
ddaaa09410146c556c9cb85a71a0dabf	Lý Đằng
c979d5e90c8b383aaf43185eba494f28	Nại Cách Long
3280070	Emmanuel Nguyễn Hồng Sơn
20408	19 tháng 7
2417566	Dallas, Texas
56e73e192433edb12e21cfa6ebf9bc7c	Al-Muwaḥḥidun
529778	1346
239973	Chùa Bích Động
c2b38659bdf6a23891a6a63652d0c79e	Băng học
53498	Bắc Việt Nam
6a79078d221f071732d3dc7d55a26946	Thể loại:Kiến trúc thập kỷ 1530
4bd49c730455be65bd7af0b3d12e6d6f	David Papineau
3689919	Lưu Huyền
6b447eea2c6c9ca2b543042746cdfe65	Margaret Stonborough-Wittgenstein
02150d352e65de1d8511e6f7c157d5ad	APEC Thái Lan 2003
3208640	Biệt khu Thủ đô
20117	29 tháng 1
25516	Viễn thông
530972	1375
1253752	Trúc Lâm
26925	Giải bóng đá Ngoại hạng Anh
45975	Tổng thống Hàn Quốc
233946	Robert II của Pháp
1751385	Emil von Albedyll
109483	Grumman TBF Avenger
1244295	Hành Nhân
383783	Antiochos II Theos
530973	1376
6ca473678c81fa4a58f0f4fc9265a685	Bảo tàng Quốc gia Gyeongju
39aa18942acb0b7376c0bb527c32691f	Adamawa (vùng)
97ad526da53837dea8c985ee840a3af7	James Heilman
c6958b8eea7f70d63f464a0c5d46848b	National Library of Australia
3658130	Dãy Pamir
542955	193 TCN
ab034aa0858c2412733e8ca88e5c916d	Cơ quan Khí tượng Trung Quốc
b0141c664e2cb1661b8ead5ec2bb27e0	Agrippina trẻ
235827	Bakumatsu
9f37eef47fc0328503ae92e7854c47fd	Alphabet of human thought
7537646	Ban Nội chính Trung ương
6bbf55252cf062fea955c946617168f2	Chiếu Lên Ngôi
2405f7e2fa6e43ab48707dcb328d4233	Henry Spelman
790636	Chiến tranh Balkan lần thứ hai
3640146	Cô Tô (quần đảo)
2b6711fc6d144ed0fac93bbf3b896d98	Nghĩa trang Bornstedt
2438880	Công quốc
532211	388
582467	Tầm Xá
2260996	Aemilianus
40076	Xác ướp
134500	Apollo 11
528931	1765
187252c605ae4d9f555d5f7bba5676ed	Coriolanus
3157029	Charles Jules Henri Nicolle
201eaf65604cf60faaa4369c6a6781ca	Alfonso X của Castile
0c2ca335abfa59d18dba0014724aff81	1991 WBF Championship
15fe20cce6d20c531883178c9cd4ca9d	Anthony Harvey
a43bc342f0d3389ace44498c779ffb24	Nguyễn Cửu Sách
47fba99a42c1d8d0a3bf5227e47e193b	Barốc
237633	Hồ Khẩu
efb08f4eb9eb99f688e102d5ae35bd51	AIDC XC-2
3270322	EXO
5f8c90f174c092584dd9179e941fe05e	Bosanski Brod
42158	Trương Xán
129140	Bụi vũ trụ
b93332ea42b6ef0fae4fe15df7b42491	Cung điện Beylerbeyi
7e35b4bd8ce57af84e5e50f256db1506	Chu Văn (Trương Sở)
102de53d40843cfa6aee969c0b86c941	APEC Mexico 2002
44ce024351acb4eec7e08de2e0c6ee18	Ayman Nour
3174335	Acropolis
46201	Nghiêu
20375	2 tháng 7
3151287	Bêđa
28689	Lập hạ
322628	Giải Oscar cho phim tài liệu hay nhất
53665	Thể loại:Sinh thập kỷ 1240
d830bff405a626a080e40e964ee4e64c	Số tetranacci
1279565	Thập niên 300
292475	Rama III
246731	Chiến tranh tôn giáo Pháp
42a4b3ae832b0e9ea36b34fe77c15e79	Catagenesis (địa chất)
92174	ATR 72
57704	2007
e9c67e006d799c420d68cb9ef53bdea2	Chủ nghĩa duy tâm Đức
177d9eefc2ee6c657292fffd92e40e52	Alexander Bain
3181683	Bệnh tim mạch vành
3247316	Bão Soudelor (2015)
43629	Alpes
110845	Văn học Pháp
e1865cf55af35a7828b879dcd2ca0ca7	Danh sách các chủ đề khí tượng
aff66998e7377d934bd91b00398fdb89	David Trimble
68ad254dcc498102d90159d796abbab6	"Bluetory"
c4b01705fe2a1eccec52d7eb50d8df07	Aftermath
36544	Wikimedia Commons
503002	Asō Tarō
75a2683ef676fce2a29a6d68ac42e446	Anatoliy Serdyukov
62f0126ec1d83b6104d00e84a76054dc	Alaska Panhandle
987555	Abraham Lincoln và tôn giáo
41195	Barca
1ba47151465f868eb4139de445d9b340	Charles Adolphe Wurtz
b1cf3dc25d33aedceeadd5c23e1a10a6	Thể loại:Sinh năm 1736
257888	Bắc Chu
7456731	Carloman II của Pháp
1446119	Thể loại:Mất thập kỷ 900
1581476	Bryant, Arkansas
316959	Các nhà máy ở thung lũng Derwent
120463	Eugene O'Neill
541391	37 TCN
a947620caf17705b846bcb572e3a6bd9	Thể loại:Kiến trúc thập kỷ 1810
1401804	Chạng vạng
bcbadc104fe73ed387f3aa5bff8c51f7	Danh sách khí cầu Zeppelin
531207	733
eaf7cbb2f23ac2619a70c11ab5537a08	Albert Starr
29415ecc1fc8ea7f5433f321418ec955	Western (airline)
27329	Canh Dần
1405096	Bãi cạn Truro
3433212	Bác ái
da37a53e81abedf723a8b788a545b3fa	Abdullah Abdullah
e321769649ea0c2e14d4b5aa9283e3c6	Franciszek Salezy Potocki
648286256fea5d0bd110f7e71769f107	Chu Hữu Ninh
25488bbc2d177644a87805f832465bc2	Bourget
236343	Chiến tranh Giáp Ngọ
25256	Chùa Bà Thiên Hậu (Chợ Lớn)
514157	Lâm Duy Hiệp
82126	Thần khúc
16786	Hoàng Xuân Hãn
3264506	Chiến tranh bẩn thỉu
231787	Charles X của Pháp
408420	Seefeld, Starnberg
61296048f92c2b090099dee652972ee9	Baldwin xứ Forde
1344b5afd68538dfc6103296d8f6227e	Constans II (Đông La Mã)
dd756438365b987a7ec15e88e558f1d0	Boyer de la Tour
db3c09566903b3b29f9351779be869b2	Shrove Tuesday
ab552aa07d5611055f3db1c5b532f998	Advocacy groups
1445759	Thể loại:Sinh thập kỷ 920
467478	Steiermark
33748	Từ điển Bách khoa Quân sự Việt Nam
14dfe86d36dcfaca6e420c5e453423d1	Lễ hội tại Na Uy
64373	Hán Thủy
2732267def72274afae9baa5903c89bd	Thể loại:Thành lập thập kỷ 40 TCN
329587	Vương quốc Hà Lan
17822	Ja, vi elsker dette landet
082634e1f691845d128294748d96dc6b	Ken Mattingly
3581670	Alexios II Komnenos
95b9970f3619c6e1481387610eeca25c	Biển Archipelago
138325	EP
24159	Thiện Hội
53783	Thể loại:Mất thập kỷ 1810
a7c0de0f212d4f049a192f2e39c0750b	Cơ quan thờ phụng Thần đạo
531267	697
3706550	Nguyễn Phúc Quân
523722	Vương triều Thonburi
454e829eb520d5a1a625261558bb4859	Danh sách sân bay quân sự
849	Vancouver
99962	Tổng đốc
51910	David Hilbert
6854	John Wesley
130238	Jeju
3492477	Hohe Tauern
3311734	Home and Away
2192ff2f903b9783e25b55d795710a40	Giai huyện
3698314	Chủ nghĩa bãi nô
1279613	Thập niên 770
6adb0fe35683e96d0f05a121a402345a	Frank Newman (chính trị gia)
f775fcac8b5c52338dbb3aa87abbe978	Carl Larsson
bdd71bc38c1e0f8bfc3ea601819dd5f0	Quỹ đạo Mặt Trăng
faa0ad7e751932c0a5945055eafdec39	Bape
3657428	An Xuyên
5eb661e9492f6994d2caa4a8dc567cd5	Lĩnh Nam Đông đạo
619be5e34955a008e9dc0d20002415a7	Dương Đức Liêm
1151a566e6d16193d065723f0365e6ac	Huey P. Newton
d9e63714c7108621523b89f406abff4c	Jumada al-thani
e161524596891769a26bc7da81644b1a	Trận An Giang (1867)
541497	87 TCN
305f3301b257e8d7274b5ef11a5209e6	Afghan Wireless
37db02b22cb9ca46322130a852faf085	Anthony Cordesman
64ae1a1e06ebb9f4c8dd7ba0e45b9d9d	Association "Polish Community"
303802	Các sắc tộc Thái
20329	11 tháng 6
f72bdf1303f20cb7d3adf52a2ad0abb5	Britannia Prima
301175	Hỏa giáo
1250440	Lý Nhân, Vĩnh Tường
17356828b5a16b906d6154a7a1525180	Thể loại:Mất năm 1931
376914	Nam Kỳ Lục tỉnh
fc7a8c3eabe06dccacf93a2a0894f5e2	Eggert Ólafsson
1317433	Alba Iulia
d73dcb204bc07d1f4873142a9824f08f	Công chúa An Quốc
6d6e6f0de6aa05b5a15ea857d31132ec	Cộng đồng kinh tế châu Âu
540596	296
157b1d02c76c959d11ccd739c87a9537	Chủ nghĩa đế quốc mới
44932f41eb4de895913260db3a1ac743	Juan de la Cruz
3162927	Farrukhzad Khosrau V
fabc09b5bf979c1d411b5e8251f648b8	Archons
25196	Ý
1c17593b7bcfbaf0012931ff66d58868	Gaius Servilius Flaminius
184724	Antipolo
818817	Mikoyan-Gurevich I-250 (N)
545842	Elizaveta của Nga
7e88b6056003293a2e98ad3813613f23	Chiến dịch Nam Khánh Hoà
7224256f3859c5e82557e4a838e1a168	Thể loại:Kiến trúc thập kỷ 1800
43082	Trịnh Hoài Đức
460001	Bảng chữ cái Kirin
540725	217
ea0702a191d1b22e06140ae65843db93	Lưu Kế Tông
a06ead630bf532b40f2435c6acfcda8f	Thể loại:Thành lập thập kỷ 1220
387131	Biển Kara
445556	Hổ trắng
d5b31d2661c55c6acf2797ed80985a87	Công ty Coca-Cola
f3daa2c7536aab735e288f83dc92a8d9	Bảo tàng quốc gia Warszawa
e10d3226c264c7c74f235705242d305e	Công Dũng
198310	Bon Jovi
405749	Chiến tranh Punic lần thứ nhất
9ee49f3c1c4657e85b19c0539eaec791	Bedford, Indiana
87121	Tổng giám đốc điều hành
530434	1459
7504	Phó bảng
029796844c2ca8bc9380dc0a046a6223	James Last
3390617	Bar (đơn vị)
32cd7dd3779f93b7eacdf6294bc0e675	Zawisza Czarny z Garbowa
3393564	Amadeo I của Tây Ban Nha
21eabba0dc788303d128afac82e9eede	Tôn giáo tại Benelux
263688	1885
3222210	Lệ thư
468d41a4d96382c6d6c0c19a46b76beb	Alexander Dallas Bache
39580	Bangladesh
52095	Khoa học chính trị
1279624	Thập niên 880
df459b8cd9d20b260f4d74bccc9f9f52	Chính trị Abkhazia
18790	Mùa thu
cc489967a8069fc3db8bffe8f796e4ed	Nguyễn Phúc Ngọc Tú
13830	ISBN
216818	Lâm An
40297	Bờ Tây
91661	Anchorage, Alaska
187933	Bertolt Brecht
199f830c079401cf520fa6f5da132d5b	Albert Grossman
7470813	Hiện tại
0ebc4807e3426e20f8911d8f6194e80b	Jebtsundamba Khutuktu
3471fdfc8bb4ac2542e13153b1231591	Cajnice
97bee7bc0a82137655c6a01be5617134	List of municipalities in Massachusetts
1279632	Thập niên 960
1e59c1d4b16e5037ac9b909305461aba	Art mac Art MacMurrough-Kavanagh
528697	1710
778822	Người Basque
530250	1064
3642347	Bắc thuộc lần 4
32134	Hôn
7b9a02f59c8cbf6e67416ff4d74e0fd5	Lê Danh Xương
027c54de3d0985e9d812cdb13bcb6686	Cuộc nổi dậy của người dùng
999d0c4604af754fb4ee944a7a83cef9	Chính trị Bắc Âu
572755	Jefferson City, Missouri
a7a179c833372d87b086b0783439f1d4	Ca sỹ (nhạc cổ điển)
2420892	Aqueduct
809807	Bùi Văn Khuê
403867	Aire-la-Ville
10697	Litva
818524	Theodore William Richards
021e9e3057b3ea8f8e5bd4391955b17b	Thể loại:Phá hủy thập kỷ 60 TCN
ea18fa06ba9f85810cd334f451241dce	Daniel Boone Homestead
454841	Giáo hoàng Ađrianô V
529260	1643
37157	Danh sách đảo theo diện tích
79b1e431c9238b8bbe9ef7c4e6a27f7f	Giả tá
6442cf0d295c871385710c8d39496287	24K Magic
624fdb83af326978301ff35ed5b36f1f	Anselm Sickinger
98d8046c78d1c42e8e670f1b7d60b8e6	Chassigny (meteorite)
51265	Mười hai kỳ công của Heracles
794	26 tháng 1
85077	Nguyễn Thiện Thuật
267531	Đảng Dân chủ Hoa Kỳ
51d5bb90d421dc87036d76cb712d7550	Cách mạng Hungaria năm 1848
752c1181db3eefbc65f7675161a6c074	Chí sĩ
3509755	M! Countdown
ef01e6cc5248b95ce01922b329b0ddea	Arthur Kullmer
d8ed32f7f0b4a127b850d608651f5d9e	Chữ số Burmese
1635788	Edward Lansdale
c3a909f77defa557ab3da20ed452f9be	Hirose Kagefusa
234909	Hậu Kim
532121	423
5a82cfc48ecfaf41cc4132d89312ff7e	Alexius III Angelus
5d927eccaf7465f9f34d9863f6365bf8	Thể loại:Thành lập thập kỷ 1740
540828	140
187111	Kim Môn
aae55ba0c75878064741646b19f6452a	Mu'Awiya I
194091	Gottfried Wilhelm Leibniz
530381	1417
2429577	CGPM
1519246	Carl Sagan
150537	Irène Joliot-Curie
106924	Bắc Giang (sông Trung Quốc)
6755	Nhà Lý
3105	Vật lý thực nghiệm
251870	An Hóa, Ích Dương
188428	Long Nam
920d8efa2f363cf1751a79726f4b8ba9	Alfa Romeo 121
89403	Chúa Bầu
25c9cc61caf4b5e57992afb17d81544f	Nhân vật hoàng gia
423313	Friedrich II (đế quốc La Mã Thần thánh)
914	26 tháng 3
1bdc4ffff3524ab765435f8dafb39f48	Choi Jong-hoon
530671	927
209643	Người Nhật
131065	Thiên hoàng Minh Trị
3658300	Quốc kỳ Argentina
20258	4 tháng 5
baef2a375fcd34b5d39a89248c359452	2015 WTA Tour
3687374	Atlético de Madrid
559752	Georg Simon Ohm
529584	1573
e54309e52a1a5370f72fe67103d4e0e3	Triệu Xương
d0c92709c877c713b0e887ba00853f41	José Saraiva Martins
532179	440
c7ffceba269b32d6925c142986519cff	Alexander III of Macedon
6fa4fd4bda3ce71cc9824c15946d75d8	Hệ thống chống tên lửa
2455412	Australopithecus africanus
4521c5803d60acc507766fefc0c7fc91	2003-04 La Liga
f42ce7a68a75e79b87b7a3bfe6791a23	2007–08 La Liga
3f7ef5f2bc28e3c0b64f8f6d7644a7eb	Amilcare Cipriani
2324057	Binh chủng Biệt cách dù Việt Nam Cộng hòa
803222	Art Deco
fa44b9da16c63a35467f83364cdb7903	Talonbooks
beb716915cfd8c083564179031d32fe4	Charles Hutton
37634	Cổ Loa
819673	Christian Dior S.A.
194046	Hoàng Thạch Cảng
0d354f21cb69e150519bf763948aade9	Cờ của Lãnh thổ Ủy thác Quần đảo Thái Bình Dương
55405	Nhị Hà
26986	Huyền Trang
238459	Cam Cốc
1004	23 tháng 4
1ad88a9c644b7a2b5cf63a30e19dfaf5	Josep Romaguera
8145ef28c01259d2ff8f3158491dc14c	Thể loại:Thành lập thập kỷ 690
575876	Hanuman
530245	1068
528909	1744
31375	Ivan IV của Nga
3103548bf5e0edde4cc0d569500a3c84	Advanced Soaring Concepts Apex
cb5171a9a5d9371ce6f0224d59509b07	Knowledge retrieval
f12facf0534c2b2625e392a392452fcd	Hội thánh Cao Đài Tòa Thánh Tây Ninh
541123	24 TCN
7052ae7c15cb3798d1842f7c6d399654	Septimania
d984e31956a0734231fd42383d9da72f	The Old Manse
1611061a282a07dcff1b3f13f6f90187	Tháng 7 năm 2018
547258	Phân họ Trôm leo
531081	754
1265662	Instagram
151075	ISO 3166-2:AF
afda2010bae209315f0315aaf36e4be5	Ariyama Toyouji
570856	Accept
245874	Cọ
651371	Tacoma, Washington
2459868	Boko Haram
96131	Charles Dickens
4fb25e27f6b46c4be43bd3149f0a906b	Albert Austin
12896	A Portuguesa
510200	Choi Ji-woo
574180	Quan hệ xã hội
231441	Froland
fee5f5a42cdfd83d0dcf3889ea395eac	Guinevere Jones
53788	Thể loại:Sinh thập kỷ 1840
dfe8199fbe3247194e6a2f467e5e2f17	Lịch sử Thổ Nhĩ Kỳ
4d02e836a99e14611e70a1a856510f96	Chất béo bão hòa
246990	Adelgunde của Bayern
245087	's-Hertogenbosch
544497	Cuộc vây hãm Kolberg (Chiến tranh Bảy năm)
18004	Xã (Việt Nam)
541121	22 TCN
da24d552623cccf12825ec94cc5d1770	Bán đảo Boothia
119706	Millard Fillmore
5efb3d720204372081fba5426f409269	Alentejo
1242297	An Thịnh, Lương Tài
0ca2fc3d85762d97329d4defc6d91a94	Alan Ross Anderson
3671919	David Lean
800510	Hàng
ad6bd63da4cef974b8c0f4b47f4c27e6	Cacodyl
323069	Buyeo (huyện)
411524	Chiến tranh Việt–Xiêm (1841-1845)
44521	Tiếng Bắc Âu cổ
265767	Baricella
84039	Hiến pháp
98235d773aada208d90ac2a291a0cd70	Ishtar
f112de6e2ec1a7799cd5a6e23a43b8b6	Ipêrit
3389216	Edward VII của Anh
338610	Chính sách
6c346d462ae7ac105fe58170b489e712	Alan Dershowitz
76af97ad9101f42bcc28f270bcbbd273	Daniel Andre
3435034	Football League First Division
df70987aa2f26b0152cc8e1f5af35aef	AeroEjecutiva
3378548	Công cụ
8f0f247f380f398da2650a710fbd1831	Albert Costa
f5d575acc083896237d0512db11062a5	Charles Cornwallis, Hầu tước Cornwallis thứ nhất
530945	1368
8a3e0b728dbf202f5cb5c725d42e3e04	Poleymieux
783610	Coahuila
5501	Canxi
10200	Giám mục
1335489	Barrancabermeja
f37f9b4dea3b02d67d747398f00c9fc7	Danh sách sân bay theo mã IATA: K
76735	Siem Reap
541520	105 TCN
540713	230
530559	972
d6926ea4c2e50a33fac27c137a851744	A. E. Housman
2364418	229 TCN
62340	Fridtjof Nansen
540881	81
528791	Eugène de Beauharnais
344267	Thực dân Pháp
ea6fd552753384f00d62e4589b4fc5ca	Đế chế Ghaznavid
574fb0d38e4a5a3c1f3c8ad25513a99f	The Internationale (album)
d504b83cf9437ebc2fb22e449ad08097	BIBSYS
186459	Cung điện Louvre
67455	InuYasha
199952	Aleksandr Fyodorovich Kerenskii
3423677	Quốc Ngữ La Mã Tự
3337051	Danh sách các quan lại cai trị Việt Nam thời Bắc Thuộc
51c8928bafc9a3d1cd9f129c21fa07c2	Ban mộng
237939	David Trezeguet
2384174	Herat
4e09fde1e19bcf1dde8226eec8e5e837	FC Dinamo Bucureşti
eff508ca17f032916d9f6c106fea000d	Maria Feodorovna của Württemberg
42028	Mạc Thái Tổ
3510739	Chất nhuộm
3204f5038d8400c7de808e51020b7a94	Có thể khước từ
32078	Italo Calvino
20112	27 tháng 1
25f19ad88cb2439d009a9a91c56b614f	Conatus
541537	121 TCN
7694e45ad009bb35323b6465fd48f6de	Bạch hà
d9211671393f66c211541ae1d88989d3	Bom hạt nhân MK4
3391959	Hệ phái Sunni
603e34f8a05c13d6855337de08a45db6	Bảo tàng Tổng thống Gerald R. Ford
5e17c86bf27881a1d7f9c1313412265c	Alan Dean Foster
b04569f3df81bc375fc1e96434a5a8fb	Fatwā
84166	.ch
23442	Gandhi
814666	Ban nhạc
92e36d586920eef003a86aa608cf1eeb	Albert Vanhoye
105221	Tây Bengal
cf4f0166eda6a91246c6f0272f8da0fb	ANA Wings
3701129	Bài ngoại
1095489	Beringia
50fb31c3537ecb20002df14461d7f6a6	Heike Monogatari
137032	Đông Sơn (định hướng)
32237	Kim Vân Kiều truyện
3665999	Châu Đốc (thành phố)
90748	Nguyễn Kính
375558	Emil Adolf von Behring
f1489dc9baa519973e59e39edc1147e6	Archduke Charles của Áo
3125966	Bi kịch
c5fe1ff9dc6a23198b629235eaf9f9f6	Anna của Bohemia và Hungary
1615575	La Thành (định hướng)
392145	1821
f1111c3c1ff859ab548944e11eae2330	A. K. Ramanujan
3161683	Cây rụng lá
529312	1655
56cf25fa21de0e209f3aa4eca3058661	Annie Leibovitz
1667131	Hải lực Việt Nam Cộng hòa
c28442d0b536f5e3cb02ea2972ed5b4d	Nguyễn Chuẩn
541546	128 TCN
445933	Enceladus (vệ tinh)
185988	Các cuộc chiến tranh của Napoléon
d68ce08a766266ef03d54b463a55a665	Anne Justine
7913ad76be980351cae86b3787bd8ee8	Chiến lược công nghệ
530147	1095
3195650	Hà Tây Đức Giáo
579641	Độ lệch tâm quỹ đạo
45078	Chi Lợn
504194	Hagen
4092647e0e415164cc7c39943b0e8ac1	Contemporary Sociology
2312807	Boeing VC-25
925	Chủ nhật
89e422e8c8e483c485586d8d1f5ed661	Bảo Tàng Quang Trung
350788	Sông Ingoda
