109567	Gothic
794461	CK
2262394	Agon
e26bd77e3f7521c93edd34fa68cd71a0	Anne of the Thousand Days
1279551	Thập niên 170
20711	28 tháng 12
1279634	Thập niên 980
e65c668cee00626cab734e05aa4d3892	Eishō (thời kỳ Muromachi)
6284ef3971bb710e07f344e5a209acaa	Danh sách hãng chế tạo máy bay B-C
638f3ab55ae2b84c4b3e0709bfdafa47	Genealogy
238107	Aleksey Alekseyevich Brusilov
530691	942
1670493	Chuột nhà châu Á
809888	Đậu răng ngựa
abeeb9fea3f1fbae97cf1aee3318c082	Brian Walden
529397	1604
194589	Làng lụa Hà Đông
542972	210 TCN
107897	1927
2546	Đại Việt sử ký toàn thư
578331	Thập niên 1530
1309048	Wikidata
38585	Nhồi máu cơ tim
30564	Hà Sơn Bình
732d2dd9f07e030e54e4fbc7cb516652	2011 US Open – Women's Singles
944da0e1f7390c6fc12e24dca3e3be1f	Thể loại:Phá hủy thập kỷ 1820
3430	Viên
529573	1583
e72fae360c1a246438983b77eb654a63	Harborne
575778	Józef Piłsudski
496177	Hòa ước Quý Mùi
263703	1880
61264	Trương Đình Tuyển
445967	Trịnh Tú
436197	Andres Iniesta
531069	1391
fd39c286ef211c6014a481e16e4e7eb6	Bollhuset
264854	Caribe
470746	Fritz Haber
418c6f4fd55da6a752acb2aed792e1c7	Thể loại:Thành lập thập kỷ 1830
366575	Edegem
340547	Mạc Toàn
3460	Tháng bảy
20652	1 tháng 12
58e6e39cb45b0a9fc8eac86eab76fb09	Baptists in the United States
582464	Nguyên Khê
1279645	Thập niên 20 TCN
5b6a5034e14d18566f2195505f2fe6cf	Aragac
16b6bc3eea08931f5bce31e7a378b1f0	Thể loại:Sinh thập kỷ 110 TCN
1180614	Cộng hòa Nhân dân Trung Quốc
541534	118 TCN
188414	An Nghĩa, Nam Xương
1445763	Thể loại:Sinh thập kỷ 880
528898	1739
3666880	Chế độ quân chủ Thái Lan
48be85800e3b391488c67c52f52e3c7e	Danh sách máy bay thuộc Quân đoàn không quân Ireland
492691	Độ nghiêng trục
102400	Danh sách hãng chế tạo máy bay
1302310	Hajj
793615	Hạ Bạt Thắng
423320	Heinrich IV (đế quốc La Mã Thần thánh)
3343719	Chiến tranh biên giới Việt-Trung, 1979
7633841	Chiến dịch quốc tế nhằm loại bỏ vũ khí hạt nhân
998d395a0ac7bc7e5bcc0e528ca02e19	Thể loại:Sinh thập kỷ 40 TCN
c73c03fd46ebc8467e4d781bcd036348	Hạ cánh mặt trăng
733d9b41aace4450c4881b9a0c631e53	John Gabriel Borkman
0f698f26820350226c8d79fca217c3fc	10th Royal Hussars
6901b981ec4c9bb420dd843bb6d4909a	An Thẩm Kì
241297	Catalunya
a2a493f20d4ad3d5e1009e680a60aa9d	Chương trình trên Hệ sinh thái Thay đổi và Xã hội
63333	Quảng Đông
20498	4 tháng 9
781424	Lịch Maya
ed865a5ef4019f83a3a0e9e5f266d55c	Busk, Ukraina
1251971	Quảng Nghĩa
50a056b9416f11b258b122f1f878fd37	Claude Hudson
3b73dec989cc63ec06f5290671b29497	Agrippina
578412	1044
673554	Chiến tranh Hoa Kỳ - Anh Quốc (1812)
1356553	Gaule
3307243	Avebury
cd44be9c5882b1f523f70b6285435ade	Braemar
ce0a9f132c1956fbc63de1ce14533365	Argentia, Newfoundland
822824	André Schürrle
7cbb8e4e07cfd1e7d21580ae9c3cc834	Danh sách tỉnh bang Canada theo diện tích
4207999fb4c5d174472cb1e906837e51	Dê Alpine Thụy Sĩ
62140	Trần Quang Diệu
14e3a14b93f17a6f7b6e14d4f1a6c7f1	Charles de Sainte, Maure, duc de Montausier
578337	Thập niên 1470
20439	3 tháng 8
801257d42c40dccbb161e8226aba6b33	Chính quyền Alaska
530396	1429
523977	Thập niên 420
1301143	Tu sĩ
523799	1781
3282713	Auckland City FC
20419	24 tháng 7
530068	1158
3c3850de293ad302fb233133be262ad2	Thế kỷ 2 TCN6
1589364	Eid al-Adha
213731	Phan Khắc Sửu
530376	1413
801a2b62650e2e25df917962298d0b75	Thập niên 1060 TCN
2477	2004
20068	5 tháng 1
291053	Chuyển tự tiếng Thái sang ký tự Latinh
49330	Thế kỷ 15
0a04587820dbd059ddcd46d5a20572cf	Chiến tranh Nga-Thổ (1828–1829)
08d3fca166c6ed927560b3612e6c4cef	Clemens tháng tám của Bayern
aa0a28532f6b1c97aa79b17c497321a8	Micah Lea'alafa
192163	Eric Hobsbawm
529316	Biển Hoa Đông
3349597	2136
915f5fef458a99ee63aa87fec812e312	Thể loại:Phá hủy thập kỷ 100 TCN
1279627	Thập niên 910
15fe20cce6d20c531883178c9cd4ca9d	Anthony Harvey
275763	Bảo tàng Hồ Chí Minh
528888	1729
71511	Mikoyan-Gurevich DIS
20598	24 tháng 10
530732	804
811222	7554
243855	Laurent André Barisy
54e70d84a2fb7db041a51d5ef8920d2d	OED
b5870746999cf1af4d841bb97bbaeddd	Trịnh Tự Quyền
1436946	Quân đoàn IV (Việt Nam Cộng hòa)
87b54be00bd0c7b416ca04af5f0d0323	Jacob Burckhardt
20427	28 tháng 7
f90cfa0d7ba89cbff88c875ed73f943a	United States Census Bureau
541567	134 TCN
531781	521
532210	389
540981	264
3146725	Dương Bảo Sí
20208	11 tháng 3
108053	CONMEBOL
48256	99 (số)
541367	32 TCN
bd755f6e874e36719916dd5a56217ae1	Lịch Rapa Nui
7659c26fbe975412614216840336f625	George Bruce Cortelyou
1445760	Thể loại:Sinh thập kỷ 910
103916	Boeing 757
369632	Ernesto Teodoro Moneta
38758	Jamaica
49205	50 (số)
f21844bb884755c886c4e531feec2ac8	Lucius Aemilius Paulus
c1b9a2962691ecf9461f7182c15f0443	Thể loại:Phá hủy thập kỷ 1790
496980	Di chúc Hồ Chí Minh
4221fe3399bd7aab55e8cef732b5a2b7	Mua bán nô lệ
44390	Hãn
3645954	Nam Dakota
1279692	Thập niên 0 TCN
3581275	Algarve
3480ab9a278d32afd40d3c1afceb96a7	20,000 Years in Sing Sing
3217978	Adult contemporary
198055	An-2
20206	10 tháng 3
63329	Hà Nam (Trung Quốc)
3525516	Thiên hoàng Antoku
201334	1871
31af3b2f99545a59ca3171f3f3cfae73	Hubert Constant
76128	Jacques Cartier
22cc51375ef7dff995021502e8c9cfc8	Bức xạ đơn sắc
151863	Việt Nam
2c446f4aef640549cc1d4fa400921d33	Hilāl (thuật ngữ Ả Rập)
1279600	Thập niên 630
642667	Maksim Gorky
460809	Hậu Đường Mẫn Đế
882b1e7f4e3bda1377d67d0886c153db	Bóng đá tại Thế vận hội trẻ Mùa hè 2014 - Nam
107990	Bắc sử
2457238	Anh em nhà Montgolfier
392173	1836
3703997	Tên gọi Việt Nam
285392	Lịch Armenia
6abc028adc5da7647dd636d4d80b01ae	Các trận derby Luân Đôn
8df8be986f6c5dbec19f938d9d15fc3c	Baeda Maryam của Ethiopia
36200	Cầu Hàm Rồng
529333	1673
283d53462a495ac6998dc1415459347c	Delaware Valley
3164564	Hoàng Quy
e77e01eac5e525e9e84a9e7b5d61c6e7	Drumlin
6ab985cf09935cce6d73f8d2882dc066	Acciona
530963	1360
1ced40c3256b0057bd27f1e2bd05a8ec	Albert Shiryaev
2218802	Đế quốc Sikh
1736918	Bà-la-môn tại Việt Nam
53756	Thể loại:Mất thập kỷ 1690
5a4408c2827ff1999496ff0693f00cf6	Thập niên 1170 TCN
3435014	101955 Bennu
2218433	Benjamin Britten
40092	A.C. Milan
90ade022bdf1abc08824c0eb6b027f9f	Felice Beato
107051	Hạ Châu
7dc4d5d357292d6d24fba862c76761bb	Pavel Potsev Shatev
320761	Baptist
3402530	Alfred North Whitehead
112789	Chùa Bà Đá
0acc9c29b1cedbd838ee8c10f7642467	Axum
530095	1138
574983	Dự báo thời tiết
9833b1f32c5629dd97218e6ad3cad36b	Babrak Karmal
20706	26 tháng 12
409371	Chai cháy (vũ khí)
34fa1db1571f4f143cd6024a559292be	Bernardo Tolomei
30010	Hưng Hóa (định hướng)
102771	Hàng không
6eb2aa6768ba2eadde85f90a99b5973a	Tehran American School
199794	Trận Kinh thành Huế 1885
105967	Hán Huệ Đế
2719	Tiếng Pháp
565495	Tân Ngũ Đại sử
fb98cee114482f767026f63b6cf01cfb	Black Brant (tên lửa)
2339679	Quyền tự do
408421	Starnberg
369431	Bertha von Suttner
387959	John James Rickard Macleod
1f01aa66dfc9692b970bcb49c6499c3d	Hát nói
ec786c5f5ee0198864abb126edb224a5	Thời kỳ Hoằng Hóa
33743	Hungary
338105e9d3fa2b0442be634ddd652330	Barberton
d56614cb9df6b63d68b1427f7f26127f	Cato Già
1409200	Avro Anson
7319d126d404f56578d27cbf3c5e1514	Heo Chan
531070	1392
ea70abeaff5f22c828109d40da2c61d3	Cách mạng Nông nghiệp
213603	Danh sách Tổng thống Hoa Kỳ
3e86e7b030c9eef87d7e58089f6775dd	Jean Bart
3522803	Sông Thanh Quyết
64bf93aececca6f7baeb4f31dfe68d7a	Jean-Jacques Lefranc
a97e88b9e977070b6c5df0490e8f8d56	Burial
f1effe3b51d392841b0b04f4ae32e3f7	Bài giảng đạo Vĩnh biệt
187684	1895
540a483225c381796838b05972cf6772	Duy nhất Thần giáo
4fc8222729ae8c6b24b562b89339c427	Tenroku
65c195ae8aab9dbe60bb697f1795674c	Danh sách các tiểu hành tinh cắt ngang quỹ đạo của Sao Hải Vương
147500	Bát Xát
530436	1460
6d5890139dc5996d687c0a0c0a456171	Juvansher
27342	Quý Mão
30c6a006e13ac9979fc338e168d4da7c	Hapoel Petach Tikva
229bf9e987a417c0afcdbdcd751eadd9	Berlin-Mitte
372862	Đại tá
d443c5f2b11f3ddf604f2981479f78f2	Thể loại:Thành lập thập kỷ 120 TCN
bc97040c318482f962d9258f5634598d	Louis François, duc de Boufflers
7603351	Chu Dĩ Hải
531904	457
2450194	Friedrich III của Đức
b3f1c2c024617b57bc093db5446d1d5b	Alec Douglas-Home
313707	Bologna
1667031	Dancing Queen (bài hát của Girls' Generation)
02c726e611a7d7d5692a6d5b9d21b7bb	Carl Viggo Manthey Lange
590057	Bát Lộ quân
3209631	Henri Dunant
20540	24 tháng 9
258284	Aegean Airlines
2223	Cacbon
c1c15ed0c94d8a85c6a83bae95a0605d	Cộng hòa Batavia
399325	Túc Tông
7e05f3acebf55bcb977dab63e76c860a	Chiến tranh Áo-Thổ Nhĩ Kỳ (1787-1791)
5578	Động đất
1204027	Cơ Đốc giáo
3866	Au
32049	Adolf Hitler
459852a5e73d8b8153a6d38135d64c19	Kennedy Space Center
3276964	Đại học New York
fa7b65528071ab662e5ee7326ba9f2a7	Kansho
531089	762
83258	Riga
83574	Châu Mỹ
06ca6be3e9618a990e09518c19324558	Thể loại:Mất năm 1976
316531	Dinh hoàng gia ở Aranjuez
20390	10 tháng 7
18d6facdcb56ec697d1ea5cc1348675f	Chiến tranh Pháp-Da đỏ
915da6021109e4816a9ca053ac2d7f3e	Năm dương lịch
436775	Fritz Pregl
e1f212e01ea96d536d2ca2073886d4a1	Arthur Capell, Công tước thứ nhất xứ Essex
455856	Giáo hoàng Piô IX
370088	Alfred Hermann Fried
392221	1860
799627	Người Thổ Nhĩ Kỳ
8d13102c6d3cd8440274dcc0d7e3cfbd	Avianca Honduras
a2056471891dbb6629d5813f41232b70	Eddie McCreadie
2312622	C-12 Huron
1eebbb0c7018a2a55cd307d39cf68bd9	Barn Jesus i en Krybbe laae
7aae4c9a770e63418d6cf5a41ec9210d	Ong ký sinh
371283	Carlos Saavedra Lamas
3041d3482810e1413ffba68217ea0deb	André Botella
3189983	Con dê gánh tội
245851	Ardashir I
b278b6d87ea94fa6436e9b736efe1a7e	Phthalein
529577	1580
3243026	Billie Jean King
188119	Backstreet Boys
4ebeed6f54a016c5dcd43bf4fb3652e9	Chính sách Nông nghiệp chung
3139586	Franken
288435	Lê Tắc
257499	Hán Tân
b84d3b49ddd8b118edc4a3f89691f739	Giuseppe Mazzini
263723	1875
257951	Thiên hoàng Ankan
530690	941
9e9fca464d254073834bae3bfddf5b0a	Danh sách chữ viết tắt cũ của tiểu bang Hoa Kỳ
120016	Alexander Hamilton
3349422	2052
f5a54631112cad2d0370f4b48aa65de2	Cơ chế tỷ giá châu Âu
95098	Bán đảo Triều Tiên
002fe34abc7c5249a06ac7d24c6d6af4	5 cent euro
57666	Thế kỷ 2
33c251d4a628b629d2175caa9dbd6ef8	David Held
3150671	Cách mạng Dân tộc Indonesia
bc622d9151d863dc84b2c6ec682a6f03	Charles Stark Draper
8849d92d7bd01a264ca6da545a5694cb	Arthur Oncken Lovejoy
28cfc4e86f1cc1e5bb3aa52220839e06	Vsevolod I của Kiev
2260583	Richard Willstätter
26548447337384b1507740f15477bfd7	Huy hiệu của Bad Salzdetfurth
1e8a046e813ae876fd105d8a85eabaa9	Android Auto
90414	Ngoại giao
e5e7ba11efbf7e5d8192d005e1cf54f1	Richard Synge
529195	1555
26594	Chính phủ Việt Nam
cf30d8b0e219d9b1f88ce853f2c2a827	Cờ Liên hiệp
63996	1976
53470	Hạ Môn
11193	Bình Thuận
343350	Belitung
3349661	2083
6c0be71e600a4cc6c78b86c88fb618a1	Chiến tranh Abkhazia (1992-1993)
1c1afaa35c8fef288c9f2ea0f0a200e2	Danh sách đảng phái chính trị ở Serbia
10901492	Avengers: Infinity War
e2d15463fa2355c7b335687cad7d3754	Tập tin:Internationale-ru.ogg
20343	18 tháng 6
11249	Quảng Ngãi
55600	Chủ nhiệm Tổng cục chính trị Quân đội nhân dân Việt Nam
3132372	Calum Chambers
9223ae9aa1edf9b1a24022517a5525b2	Dimitar Yanakiev Vlahov
56142	Nintendo
7c1af41bee1f22ae657b9accd05556a3	Danh sách sân bay theo mã IATA: D
017b058dff10b58de31632260539f44e	Quốc dân Đại hội
030457a381a5d39b84999fa0e8854a75	Appointment with Death (kịch 1945)
268522	Campello sul Clitunno
63421	Cách mạng Tháng Mười
618a59859cdc3c90914b02bdb85eedda	Donald Ogden Stewart
1738054	Birgitte, Nữ Công tước xứ Gloucester
f1de573eeaa599ce95d92ceac7f716fe	Dambyn Chagdarjav
2116	Tản Đà
675	C
705	Tuyên Quang
18584	Mùa mưa
1562925	Aberdeen
116d0dca107ce1cd4a5a330deb0b8c6f	Chính phủ lâm thời
530515	1502
f7c00cc76da3336bf3a8f1d7c7221690	Book of Prophecies
530316	1032
20443	4 tháng 8
34490	.cd
1678341	Fomanđêhít
231823	Hải đăng
20189	2 tháng 3
34091	Sa Đéc
dd32a844399a8fa99d46713e20d5174d	List of types of numbers
250521	Buzz Aldrin
530143	1099
146433	Ambrose Burnside
26186	Ai Cập
6d703d2131c9a3112b08270a7f1d0014	British West Indies
8aa0db44bd7fa10cf371d530d909fe37	Aupark
151421	Dương Nhật Lễ
972599	Dmitry Timofeyevich Yazov
405592	Marcus Antonius
4f1799f356eb1202c5b568376a3f999f	Mithra
449336	Chiến tranh Minh-Đại Ngu
46773190e49f17ff626b9fc21fe992d8	Aghjabadi Rayon
ed1e014e4c05bd66a64787d6ec5164d1	Thể loại:Thành lập thập kỷ 940
99379	Sư đoàn
69d65c51032f6ef6fc77c3ab65c1b21d	Arif Mardin
617336bcddcaa40045a1f66d277d7c7a	Thể loại:Sinh năm 1832
529778	1346
4ec0b8d3e0a409cc86e8df7a4ad6cccc	Alexey Postnikov
505938	1798
97df863d6ff3db23407a9d529ef5418f	Black Sun Press
530679	932
11198	Hậu Giang
16310	Biển Marmara
76727	.cf
530254	1060
931dfb63659729763000985bacbaadc3	Ethiopia.
461054	1054
1029c26ee528a9c5fbf4523d67ecaa0a	Chim sẽ (finch)
514468	1272
101713	Chí Linh (núi)
530241	1072
96168	1925
123556	Edgar Allan Poe
1401802	Charleston, Nam Carolina
528937	1783
6098	Bức xạ phông vi sóng vũ trụ
eeb91be261319613a89b23ae641c97de	Chủ nghĩa tự do mới
ffc66ca2a28e50b6fddf6b2d93996f8b	Cổ sinh thái học
106646	Haryana
84334	Mikoyan-Gurevich I-210
323235	Chilgok
71381	Tours
540939	25
9bffed9c1d1ce2ffb94f0caac470016c	Thế kỷ 2 TCN4
1c6a0198177bfcc9bd93f6aab94aad3c	2189
b4c0390c8e86489056dcf51fae183201	Hải quân Hoàng gia Nga
541483	73 TCN
100472	Trường Đại học Sư phạm Thành phố Hồ Chí Minh
462492	Thomas Alva Edison
138578	Lực lượng Vũ trang Liên bang Nga
136255	Mạc Anh Tổ
2418585	LCCN
52992	Alexandros Đại đế
54636ae78cd7d74b1c6fbce4828e6621	Xã của Thụy Sĩ
86e78499eeb33fb9cac16b7555b50767	2162
55005	Hồng y
470046	Bò nhà
406750	Toscana
530778	837
20691	19 tháng 12
18573	Tai biến mạch máu não
5673400974fc666e04e60f01c9d26531	Thể loại:Thành lập thập kỷ 1580
70183	Koblenz
20285	18 tháng 5
4455	17 tháng 4
49335	Thế kỷ 18
530929	786
3158467	Leyton Orient F.C.
77bab617ab0094fdfae58c045eb92ed8	Hồng Thiên Quý
49356e9f917b67e31c18b5d38f8a1c11	Số Zeisel
d718d50f926182cfe463f588680b0ce6	Khởi nghĩa Quãng Châu
414765	Adrian Mutu
11801	Hẹ tây
c04ae7e7d15c5423085e8bd94a2b24cb	Alfred V. Kidder
58176	Andrey Nikolaevich Kolmogorov
a02f5cca98d823ad0c73422091dd700c	Ascalon
113441	Murakami Haruki
98d8046c78d1c42e8e670f1b7d60b8e6	Chassigny (meteorite)
392205	1852
8ffec8ff0024dcd415e3b8c464db56c5	Nguyễn Phúc Hồng Phó
2218937	Carthage
e13b15462af01397631ae414bf743dc3	Chiết bằng dung môi
532857	330
5e3567e6a4c213681d00a4900afe932b	Cửa sông Delaware
104601	Nelly Sachs
20444	5 tháng 8
1279608	Thập niên 720
53409	Sử Hi Nhan
3435148	Hải quân Pháp
2261146	Paul Sabatier (chemist)
2339698	Liên đoàn An ninh Thủ đô
781	Liên Hợp Quốc
20089	15 tháng 1
132032	1898
578427	Thập niên 1200
c1a070efd5f3ba39a2f1fc5491bd14ea	Calc-alkalic
6403e0d05b243931fc80bfd7f57eab61	Anatoly Vlasov
d0e207369dbfd2563716189297eceeb0	David Gooding
341741	Thân Cảnh Phúc
1519907	Thế kỷ 4 TCN
437818	Cảnh sát quân sự
37a9f39ff9e1a09e7031cf42ad69d230	Arpads
dd2437d57ff414676f229bb471ed2ee9	Anton Pannekoek
3a3f1e5f031e753ab5007b81bde57995	Shemini Atzeret
20402	16 tháng 7
1746925	Long Châu
f73faa94da0dce45813f9e5b451b6eb0	Dressler's syndrome
38294	Chile
20223	17 tháng 3
792862	Cyril Norman Hinshelwood
529561	1598
793f52de3c0b54b9d8c36921801bbdb7	Adriatic Veneti
530534	995
32165	Biên Hòa
529982	1200
535073f835299e19e6214828efe8420a	Hoằng Tháo
2420948	Chủ tịch nước Cộng hòa Dân chủ Nhân dân Lào
528863	1718
de08da5b1ed9e75738774daf2015c283	Michael Checkland
054917c6a182cef6de7427958edcb997	Khối núi Mont Blanc
f2ef20dbc27a5e880ca37eac630d836e	Levin August, Bá tước von Bennigsen
21cbb8cf033ef4219ff452309401b096	Dean Dunham
62901	Phe Trục
86be94b0f5398b526c15a3df62325983	João Moreira
0ae4fda3b3d812d0bfb42ff4b6ae8407	MusicBrainz
1244295	Hành Nhân
1a9f4e37f435f08ab620ddd2d3877043	Cezary Julski
531842	499
529196	1556
e11cfb0718a2c3f9e019ae852a7b47c3	Alexander III của Scotland
1736515	Thế kỷ 23
1251137	Ngọc Sơn, Hiệp Hòa
5830cb3d6ea3729cb962025c39f27da6	Albert von Kölliker
250297	1807
134853	Người Shan
187811	1894
55774	Boston
63470	1990
a58645d1195e840e38075fdd8f103129	Cộng hòa Xã hội chủ nghĩa Tiệp Khắc
444514	Giáo hoàng Alexanđê I
c6945b40a8bdd44c5a7fcd9403fed1e6	Derby Đông Luân Đôn
45dd9f66f4a07dc43cd62455e25006f6	Thể loại:Thành lập thập kỷ 1620
565049	Bergamo
2460353	Bức ảnh
8542	Quân lực Việt Nam Cộng hòa
d5344bb4b27b5a7ff64170dec27cd18a	Pháp danh
328764	Đường Mục Tông
2455387	Australopithecus afarensis
20587	18 tháng 10
9997	1943
3cb58c81be6ba69175860c1eb7f9f797	Nguyễn Hữu Bầu (Đại tá, Quân lực VNCH)
20335	14 tháng 6
56510a7e43bf4c4e331d69129d85b7f3	APEC Australia 1989
531180	716
5c3be233d64a74b2e6fc0edde04aad7a	Censorinus
a2dd798334c8201fce9071679eef884a	Bác sĩ y khoa
804230	Narcisa de Jesús
23e1148191de5cecdb13de7dffb20e8c	Bắt giữ HMS Boxer
228852	Hoàng đế Pháp
44150	Hollywood
d302ef224987bc9a6f8fe825800a4054	Action theory (philosophy)
20133	6 tháng 2
541484	74 TCN
cf7755c31f57dbd7fec24f4432ce69b9	Thể loại:Thành lập thập kỷ 950
31491	.bo
20377	4 tháng 7
a0480b42450cf0235bbd5d3949369690	Cheng Yuzai
541423	68 TCN
275092	Cộng hòa Nhân dân Bénin
eeb50f564b9e45bfae491a781e42c12a	Thể loại:Kiến trúc thập kỷ 130 TCN
43967	Nguyễn Kim
11762918	Trấn Nam
3674866	Phân tử gam
125796	Chủ nghĩa lãng mạn
3700808	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá XII
530236	1077
38765	Cộng hòa Síp
575075	Coeur d'Alene, Idaho
421778	Bắc Tề Văn Tuyên Đế
176235	Chiến tranh Nga-Thổ Nhĩ Kỳ
383829	Albrecht Kossel
234122	Lê Chiêu Thống
3c45f86ab6fc01634592c9f192e2dabf	Tiếng Jiddisch
a095c57764195c8f322f930d811422ec	Biển Oman
540805	156
9e937d3e29c9a47c519f76d871ebf062	Chủ nhà giải vô địch bóng đá thế giới
54558	Sứ đồ Phaolô
3630	Nông lịch
139426	Andrew Johnson
3698506	Bùi Thanh Sơn
52289	Cố đô Huế
d336fc96fee79002667d3c5510a85e78	Báo động giả
3291793	Buổi tối
9992	Alan Turing
201135	Minh Hy Tông
ae36911dda3e64a890588efbc748e2cf	Ban Chỉ đạo Trung ương về đẩy mạnh cải cách chế độ công vụ công chức (Việt Nam)
31c7b982425c7a0f104b3d718949d4e6	Chùa Huê Nghiêm (Thủ Đức, Thành phố Hồ Chí Minh)
472244	James K. Polk
803976	Linus Pauling
57a50eaf3c28f782d92c3d1ba35379ba	Biên niên sử Bồ Đào Nha
529571	1584
768606	Chứng ghê sợ đồng tính luyến ái
183344	Di Lương
52185	Lăng Cô
b941eb4e6e7eb906518d5d11dda811a5	Die Waffen nieder
20569	8 tháng 10
530123	1124
bd25a95a03c8a29c1ffef30fb6791d5d	Huân chương thánh Anne
3284676	Danh sách người Do Thái đoạt giải Nobel
c8d92402617d651d29d2a2990590ea3b	Alexander Bryan Johnson
531273	691
c4779bb2b9828a02254635e6e1cfea14	John Strutt, Nam tước Rayleigh
531890	471
1279547	Thập niên 140
be154a076c6b9d68f0ad85e1b5d56ad1	Dê núi Rocky
540865	97
540803	158
051f52d8571af565db22f6fa20718b94	Adam Roberts (scholar)
73f5d28ea2bbd95388bcc29ef0316f59	Ashi
23296	Bảo quốc Huân chương
0fa6ce8228f21c4c31d8bb55a5330663	ACRIMSAT
ac918debbbc29ab2a7b1af8830581539	Jōkyō
20013	Sydney
20521	15 tháng 9
1764255	Người Ba Lan
529973	1305
541540	124 TCN
ff8dde9bf8ff6653ffc2fc2be904e2ae	Chu Hán Tân
530569	965
422075	Buôn lậu
110903	Bobby Charlton
540938	51
106196	Danh sách người đoạt giải Nobel Hòa bình
29ba153e2cac177351cc3487d9265fc5	Polyacetylene
76493	Hải quân Hoa Kỳ
529348	1683
1446111	Thể loại:Mất thập kỷ 980
370262	Alexandre de Rhodes
119409	Itō Hirobumi
3670766	Naresuan
201d1cf510b3e026f329d8db7718acff	Alain Perrin
5ae1acd5d72f12481b05d2506a566aca	Danh sách Hoàng hậu nhà Trần
529372	1693
14c0d6faa149087150bf891db02b8964	Northeastern Mandarin
529971	1302
578373	Thập niên 1260
3227346	Big Bang (ban nhạc Hàn Quốc)
96311	Cộng hòa Dân chủ Đức
27219	Nhà Lê sơ
9393f4aa57471b3d91633424e20889d0	Bọ ngựa trong biểu tượng văn hóa
658960f19ed4cad0e09cfb0efc12fba2	FIFA Club World Cup 2014
c03fb7aa1a828eab920268e93ca76787	Athelstan của Anh
3349410	2040
541009	360
c849a56f685887a7b63bc842df27ef90	Năm thường bắt đầu vào thứ Sáu
106362	Lưu Thiếu Kỳ
26766	Thập niên 2000
31486	.bi
408cdc332bff827f56941e63501fedc6	Alexander I của Scotland
63467	1992
1691	Hoàng đế
30751	Luxembourg
107503	An Khang
55315fb57b969bc6a7da22afea22ae0b	Martial
88596d5808dfad1b1092f375a241fdbd	Thể loại:Phá hủy thập kỷ 920
fcb7a2e0b65c2917eb017f539cbf801d	Nhà ngoại giao
532095	404
76072	Kanazawa
f4b7e018bd9a5cb2eac885a19aa1e6d9	Danh sách vua Phổ
529922	1257
b96bb4c90ea976beb64fd01af9d554cd	Optimas
528865	1720
42501	Ngô Xương Ngập
917	27 tháng 3
789dafe807d0e48b2c624f31346c52e8	Ngòi nổ chậm
392231	1865
1462149	Lưu Tống Hậu Phế Đế
3017dc81f724ee48305968f22bb7c987	Nguyễn Hồng Đài (Đại tá, Quân lực VNCH)
aa4c2aa970d20a9fd9a074cafc0aecbc	Computable number
30cb0085de25d50c77ba0bf40dc6a98d	Bảy bí tích của Giáo hội Công giáo Rôma
367d2af89beb6fad8d55b76ed6147671	Constantin Brunner
1297819	Saint Kitts
529908	1245
68	Cao Bằng
136538	Bác sĩ không biên giới
3daaf6dcbfc45c186bde807406353f37	Bài toán Hilbert
541535	119 TCN
70229c16819d288982c0f0d2c8e83497	Cộng hòa Yucatán
529244	1631
530411	1443
188428	Long Nam
557cc8579b6c1369ee13389523b40564	Hàm Dirichlet
e66d77ea5027e764ebbd92b1cc978584	Cruise missile strikes on Afghanistan and Sudan (August 1998)
c10e6f83d50f6fe5120d44559eb02e1e	1. FC Magdeburg
26	California
106445	.nc
1468642	Joseph Bonaparte
3404833	Janet Reno
463600	Tổng của Pháp
8c0214105e789ec99696704bf9f3dfcb	Dương Khuông
3223570	Bài hát trứ danh
3581029	Graian Alps
53668	Thể loại:Mất thập kỷ 1250
1297730	Triệu (Ngũ đại)
4c927d22227745bb8749da8150df8887	Anthony Blunt
b67bf4be26ef0af1a7513f891d1980a6	Hồng thuyền hội quán
7c8c67b515ab7a9be20af43e40060aaa	Cảnh Kế Mậu
4dcfd9d85b375684d22a312a5ad1d229	Thôi Viễn
e858bff701e3b6c55e28181fff6fd4d0	Charles André Boulle
3637063	Hát Giang
146485	Cộng hòa Xã hội chủ nghĩa Xô viết Kazakhstan
201448	Hướng (định hướng)
20094	17 tháng 1
045bf19e9f92d336e1a650df9f2d429b	César Chávez
327881	Hua Hin
12462	Hải Nam
404659	Coppengrave
25768	Michael Curtiz
70620ec5a6e8e8893aef7055c6f3c87a	Evaristo Pérez de Castro y Brito
2260948	Richard Adolf Zsigmondy
fffba74e2626e9574f9819b7a792ca2e	Cloudburst
541391	37 TCN
c2e511a46acc4bf72a7028f00b635a47	Le Passage de la mer Rouge
362397	Nhật Bản
3436067	Lê Hoằng Dục
c8a2808f43629e8f17c957c67aaf9555	Antoine Meillet
80724	Nguyễn Cư Trinh
530968	1371
7552144	Tòa Công lý Quốc tế
102821	Düsseldorf
a44ea09ca13dd0a0c654cd0ab8e64f4f	Hoshina Masatoshi
303802	Các sắc tộc Thái
392159	1828
231347	Duyên Anh
ea0702a191d1b22e06140ae65843db93	Lưu Kế Tông
529199	1559
caf591150e2a6469fa00c8e9901a3e06	Lịch Julius thiên văn
416563	Nguyễn Sư
55d66f04e34c52199dfc0879fc11ab60	Horace Waller (activist)
