7c9440e10716d369554c9e59f2f76479	Språkrådet
babdc1c6be2d6a2e6381f486a66c8087	Banatski Karlovac
49286	Alfred Wegener
8dbed61a42fa059b40387227e884e008	71st Golden Globe Awards
ed3401f61193e166b2000fb087779a71	Arnold O. Beckman
20406	18 tháng 7
2234940	Lưu Khiêm
a3f38ef9dd1220b2c31eba4a7aa717b3	Barry Marshall
6f21296f1a500b0cfaa70fa84ef50b04	Giáo dục tại Tiệp Khắc
5ea78302c0c7307a05caef84825323e5	François Boucher
774805fea3f3a005506ad2b3fa74a082	Công phu
e8b655e1b7340bb4c98aa59ac8dcd820	Novell
31d31c841f1c8ea1881b7bd55232be8f	Hòa ước Thorn (1411)
2286957	Bạch thoại tự
3254250	Charlton Athletic F.C.
501523	Finnmark
c509ec7ba6536e977561c712189f33c5	Chương trình tiêm chủng mở rộng
546504	Bắc Sơn, Tam Điệp
e8a996d398a0f3b7bd4e8c0b3b6ce701	BAE Skylynx II
2401817	Vũ Đế
b45f2d9a200dd948607ada8431554f72	Chant de Ralliement
307251	Philadelphia, Pennsylvania
5418c48c78c8c7cd0720e21e075c58f4	Washingtonia
2515863	Hoàng tử William, Công tước Cambridge
f572e8be904b9fb85e27a28d9180bc69	Quỹ đạo thấp
64442638d5bb51b22f727866cbdb0c89	Coat of arms of Appenzell Innerrhoden
36826	Thành phố Thanh Hóa
778886	Alor Setar
529176	1541
34fd43064a958e54181cb456fd8c965e	Karl Friedrich Bonhoeffer
3093e756e1fe8185929c688896ee34bb	Bibulus
25939b7d5bc22ab9860618d41f8c7eba	René Dumont
91115f1045099930fb2e14f4ec3a01aa	Chính sử
3331752	Kazu-no-Miya Chikako
3eed940be2b4cea80890fb13af52447f	Hieronymite
18ae603d0a70d434d28c7555e2503361	Afghanistan thời kỳ trước Hồi giáo
05e36f2ed1a571296bed5c148eb7401c	Insurgency in the Maghreb (2002–nay)
2e91935b2640e9d13a081f5993dafcdb	Cavendish experiment
3203222	Mơ (quả)
531277	687
b0995daee1f78bc148b8246309fd500c	Air Vias
3657578	Anglo-Saxon
e1bbc2b91a99c5ff30301b157cefa4d0	Emmanuel Lê Văn Phụng
1748167	Bắc Chu Tuyên Đế
e4bd98a88582754e50773f6339c306fe	Edington
9cf89f50b98a8c91540d40fddef8580c	Anton Ivanovich Denikin
101496	Sóc Sơn
1446453	Lương Xuân Nhị
fa7e3941b4de50eb2b289118b28b091f	Đứng tim
2a17ad5eb82e9b031d14c8ccb4a0f0d4	Phương ngữ Gyeongsang
5cff8e0d4e49a58f22513387ffb45f6a	Alan Alda
75550c2233d20d653444f806a0c08abb	Hip hop soul
200876	Ai Cập thuộc Ả Rập
3271090	Kuchipudi
242a94fbc7f53b8fd476500bed280502	John Hay Library
9e2915db0c6146b3a548ba63c0f6ac9b	Frederick John Robinson
af52bd8ad903ad4e2457d223737a1761	Bộ trưởng chiến tranh
296889	Nguyễn Công Khế
2364413	214 TCN
473cd2b45adaafd95d4e868b4fbe5a4c	Lê Ngọc Định (Đại tá, Quân lực VNCH)
d1421a5a202c53074a7cd7ee6c6e1738	Beavis and Butt-head Do America
1244120	Gio Bình
9515711	Quân đoàn 4, Quân đội Nhân dân Việt Nam
1238737	Magelang (huyện)
275056	Oliver Cromwell
0b75d7035e3e491f098a1a52e2e458d4	Bus Stop (phim)
a198598206e92743267596ae38b8f84c	Ibn Yunus
819983	Ocean City, New Jersey
a517747c3d12f99244ae598910d979c5	Author
529167	1534
149379	Le Figaro
12220419	Gia phả quân chủ Campuchia
3359793	2104
76da4a5632f45c70d0c3804e0ec162a2	Juan de Herrera
147422	Jubal Early
1699575	Mã Tiến Trung
73cfff8656dc4deeef3e10f037ca4ba8	KHAD
074c1aee3624f5db868d5a7e400624c7	Chiến dịch New Guinea
396852	A Farewell to Arms
99459	Ahmedabad
1886054f5f313feacde1de78df5e097d	Dom St. Stephan (Passau)
6637460543cf524bffde4a8b49da3ca4	Columbus, Nebraska
26755	2002
4df770bd572ed1ae776925e14e151570	Nhà lý luận
3c0aab8541178ab7a6f9c1195e3ff319	Chungshan Institute of Science and Technology
5e71bffb994320643362eab69916efe2	A Better Tomorrow
242465	Lương Đắc Bằng
dd2eaf30515b0c8c268df8e70909592d	Canada dưới sự quản lý của Đế quốc Anh (1764-1867)
3fc6b754de7d1055035d104df12cdae6	Bà già ở vùng đầm lầy nói rằng Ma trơi đang ở trong thành phố
fc7a8c3eabe06dccacf93a2a0894f5e2	Eggert Ólafsson
134480	Aeneas
540963	251
92634	Miami
48418	Mikhail Afanasievich Bulgakov
20466	17 tháng 8
2d55526404abee70cac2321791fa9c5c	Yemelyan Pugachyov
765895	Tarlac
4acf189b875d5fc2294ff9616447b17a	Cường độ
8a340811ecd37eaa0790a96306666bed	Hàn lâm viện
de125d1774473c4f31f49dea9250ded6	Daniel Romalotti
866518	Đảo Hà Nam
1613737	Auxin
9d506ff0acd6682cfafc8e32187f0c8f	Affaire du collier de la reine
8dbe8231388b70b41b64c63bd9722891	Tập tin:Gustav Klimt 006.jpg
4d84e69d9328e770ab71c928f96ac987	Tạo hình
707412935ef62d93d2b7e52f21de2321	AWACS
fe36253303072b92a761ea6bed5ca6f8	Robert Southey
3305	Nhà xuất bản Kim Đồng
6717	Bình Ngô đại cáo
2452113	Rhone
7a9e60b27024bf531da4b71a49502358	David Brown (musicologist)
316550	Hồng Hà, Đan Phượng
8dd010718d6d6edcf3d75a48eb6c10ef	Atar
579238	Ban Tổ chức Trung ương
186080	La Cương
540971	13
9dec0716a93588e07db8732ddbb26a6c	Phê bình hội họa
c2ee3dbb10009148ac6c751a4446bfc5	François Guizot
e04112827d90e5d5a79742add3bea394	Tập tin:Saudi Arabia location map.svg
78253	Côn Sơn (tỉnh)
c71acd62fdb3c9f6d404b87ade267ba4	Ngôn ngữ ký hiệu Ba Tư
81675	Surakarta
474235	Hiến pháp Đế quốc Nhật Bản
130772	Kỷ
f61f906774a94ce2190733b583b188f0	Chiến tranh Tống - Việt (1075 - 1077)
055e20e14f17c90cfedbb4c2689b7b2d	Công ty Cổ phần Phân bón Bình Điền
36a85be2329d62e0f6821d795108d4fb	Dữu Sân
614d0874f0c96287dd6076070b1ab470	Cộng Hòa Venice
41f62f96ab312cb205f87b1bbe5df32a	Tu chính án XIV Hiến pháp Hoa Kỳ
33ad987fad02c6dc36ae404d184b1087	Orvosi hetilap
9c7120e4724e45416bd6c41d140460bf	Hội đồng luật học Hồi giáo Bắc Mỹ
20121	31 tháng 1
330838	AH1
530803	844
26986	Huyền Trang
52bf360a3661a21bcde4cae7a365e3db	Azai Hisamasa
1684390	Filasterea
2261223	John Kendrew
53778	Thể loại:Mất thập kỷ 1790
65cb98cccc5a0c57011625c7b9faa0fa	Siêu tinh vi
a8c35463bf811c64e38cabfd3f31f206	Anelida and Arcite
1937863	Công đồng Vienne
b7dcf085654d26b19281a57ed6fb5c05	Augusta Treverorum
540624	282
49338	Thế kỷ 21
968768	BBC News
212913	Hoàng cung (Bangkok)
75748	Tuyết
96f28486805d5b6718b4f489e62ec97c	ASB Premiership
2446165	Tiếng Tatar Krym
94f4dc5d68013d8bca70dc9aa1088975	Đại học Queen
aff42c6c587ad6e6a110e92e1ab9c79d	0C
137851	Chủ nghĩa bảo thủ
ba08ee2f98af9d92872365ad65d738b1	Hệ thống đầu phiếu đa số thắng
2e9f2487305896402a87be2e515ac871	Hoàng Hưng Nam Lộ
33f0eedb866eebe532a4cd2532227bea	Hubertus van Mook
64321	Binh chủng nhảy dù
67820b1d9f3976fc53540dd6870e66d8	James I của Aragon
81326	Lạng Sơn (thành phố)
531086	759
b9fc34ad3828610ba2744f189cd6bf46	1st century BC
67ce0e8474b79d113f5887c652079901	Thể loại:Sinh thập kỷ 20 TCN
041e4f86d207dfec373c622b72a74b9e	Thể loại:Phá hủy thập kỷ 90 TCN
283445	Ablis
ab38dc328b73b672b6c2f2d1b52a33d9	28 người bolshevik
58082	Bão Xangsane (2006)
7759734	Thường xanh
28053	Belarus
95257	Hoài Đức
a030efefea308f7b83526688aca3fb85	Anthony Salerno
dc496d16cc40a6910e93b2510e777f98	Danh sách thành phố Nigeria theo dân số
0f7d34e9da3462e0b44cad6cffaf44f9	G. E. Moore
529562	1599
7d4372ba3867f974d7c0ddcda7d998e0	Hans Fränkel
99523	Festival Huế
120652	Verner von Heidenstam
208306	Sriperumbudur
ad3b6aa76d26695594f177421620b928	1958–59 European Cup
64d2cf10f53559fdb205cb3c1f922d35	Credit card terminal
1f4bb4f8f385229a1a3fae09047de46a	Chiêu nghi Lý thị
ea88b2cb720d943dc199ef10f60a9dfb	Hoàng tử Charles, Bá tước Flandre
230532	Hợp Thủy
91cf1099a46eb69a6da3c174e91e6d37	John Gunby
1446679	Gỏi nhệch
5302af241462967c0248ea9e80161491	Trịnh Thất
4d55dbc6cb1ea196061036e595233a7f	Bạo hành chống đồng tính
894147	Lương Thành Phú
20627	8 tháng 11
403625	AMX-56 Leclerc
69903	Tự do
232469	Bilbao
980	15 tháng 4
1384559	Bukhara
293850	Bệnh bạch hầu
1547816	Hội Phục Việt
8da38049b2e450f650f8ed6e53d93b77	Berlin-Pankow
57808	Tố Tâm
73e91e7a65ffa0d2d0e8ef9cfaf64913	DRDO
106692	Chính phủ Việt Nam 2002-2007
614869	Josef Wiesehöfer
582480	Bolikhamxai
8f6c663b753d1e42e84ad5a74d15f29f	Anh quốc La Mã
78ec1ca7a6a0caa9cb93b661927a15c9	Demihypercube
383098	Emil Theodor Kocher
523971	Bruxelles (định hướng)
d75d3008ef99e44c9e9a4cab55647b01	Antonio Invernizzi
5ae329ec2818c8a76ddbbf7b03df7f60	Hōjō Sadatoki
548103	Danh sách giải thưởng và đề cử của Big Bang
49644	Ngân hàng Phát triển châu Á
f6e794a75c5d51de081dbefa224304f9	2132
1407100	Wetar
1581450	Arkadelphia, Arkansas
348b7e943702a818c8294c82579417cf	1994 Hamburg Masters
7aafccf2d1fafd933e06c25ffe3f0c60	Agnès Nguyễn Hữu Hào
359466	Trận Bắc Lệ
6cd9313ed34ef58bad3fdd504355e72c	2229
288938	Giải Nobel Sinh lý học và Y khoa
2b53e44241679f26ee1e8804d74a9518	Danh sách Di sản thế giới tại Thổ Nhĩ Kỳ
3125705	CH-53E Super Stallion
37874	Thung lũng
ba05fda71c9e42bde6beb68cfd258a7c	Airdrie, North Lanarkshire
484037	Khu di tích Côn Sơn - Kiếp Bạc
3229312	Yoon Bomi
3388945	Lịch Iran
3353766	2092
46928bcca4c4d9bf60e6249f8286c423	Fars
178513b96e8922f6160f0528c35065b9	Biến tố
0d107aea685feed426e3d0453d9b7dc4	Eikan
56250	Bình Long (tỉnh)
488670a6d7d08f03ea3b5110a983e096	BLØF
1609814	2002 VE68
84641	Mikoyan-Gurevich I-225
283047	Avrilly, Allier
3d92c4edf56bae09ddc504e7ad4afc09	Antoniuk
417495	Tang thương ngẫu lục
183b73d4b2cdba0fa3ee4d01be50ff39	Marcel Carpentier
86f69a776f46ef75760ab8952918da2a	Nguyễn Thế Nam
2849502b6afce61f721f04dcac352567	Constructive set theory
67556b285e8dbde27ab33358f71bfbda	Bầu cử Hội đồng Bảo an Liên Hiệp Quốc, 2015
253079	Cao Cảng
641e4ad1acc6db29e5bc40f6e9146f72	Các tiền tố SI lỗi thời
7ffa2eab35259341ed7a470c22d0aac1	Đại học Randolph Macon
574116	Akron, Colorado
30142ad289b6e8c62b6bf4627ea0cfa6	Denis de Rougemont
2415278	Eugene Fama
1376693	Nhiệt dung
3510263	Fraser Stoddart
6471	Friedrich Hayek
116075	GDP
c1b36525bb0d1d3719e974af6d9d452e	Brno chair
d5b5c0669a19d3bda7eff1dd07c9564b	BBC Shakespeare
486571	An Hoạch
f93a7d45cf3aecfdecc590b20bf0b402	Thuận Đức Vương hậu
541041	632
45975	Tổng thống Hàn Quốc
24549	Chuyển động quay
858e30b36d3ce6322eb20b74176fa2c0	Lý Tri Nhu
5de0babdab334ed36d1ad70d0106dcb4	Bulat (APC)
524b3ebd97e9d39aaf66de1ce1c45b59	Charles Talleyrand
a36c3ac41c9160cb9870c8be6d547527	Danh mục truy cập công cộng trực tuyến
528818	1715
adea9673398c79912ec4f06d919ad66b	Shim Seong-min
32818	Ronaldo
1a0d43d2475e00cc32dd33fb9bf29e4d	Colin Pilkington
f7031148339dab2b752c4784fc277141	Phân bắc
400c53ea330ddaaeb4e1d2fb73d83190	Khóa lưng
529553	1596
a94e2f62a17d3919117ecb42c36726a8	C.S. Marítimohe
1296125	Doug Savant
1279660	Thập niên 170 TCN
45935	Esperanto
528924	1758
70a4d6ec578af09110d1475c42f81988	Faraday wave
c4001b8a6c382491c13848c610856ec6	Ký hiệu của thời kỳ đồ đá mới ở Trung Quốc
7878555	André Vingt-Trois
92977	Biên độ
919bc3c5f5bfc97980c85dc11a461534	Danh sách kỷ lục thế giới
3214570	Dê Toggenburg
101233	Lời hứa Hướng đạo
800742	Bộ Ngoại giao Cộng hòa Nhân dân Trung Hoa
e5c18194072b8c429d549ca0562d0740	Jalkhanz Khutagt Sodnomyn Damdinbazar
3173323dc17e94dc14c1f306889c446d	Ngọn Lee
9cdb10ee39ffe8c13e23cb1ab5392f27	Danh sách ga tàu hỏa theo IATA
270626	Brienno
196112	Campeonato Brasileiro Série A
72224	Cayenne
450562	Giáo hoàng Gioan XVIII
31957	Zeus
861070	JoongAng Ilbo
2364418	229 TCN
529271	1650
570048	Aumale
25f19ad88cb2439d009a9a91c56b614f	Conatus
f79a23f9154b3b81ca9615018deb1642	Chính trị An Huy
8b54119c305ad72738a030ad9d2db16e	La giáo
e0a1947b415739580ee12bf84b69323b	Công nhân thép
fcf1049e010c8aa4c729d45e41f5ebf4	Electro house
fc294b7bc684b0da069650dd255e6a55	Sindhi language
820307	Braintree, Massachusetts
298304	Non Thai (huyện)
132372	Diệp Kiếm Anh
528889	1730
697e382cfd25b07a3e62275d3ee132b3	2158
3426117	Cưỡi ngựa tại Thế vận hội Mùa hè 1956
b7bfad46224abf7b382292e8e98e2a25	Andrew Loog Oldham
2a6348c38249b9cbafb8555e3a748800	Bajina Bašta
346461	Willy Brandt
f4ba099d49124a234390152572f605e7	Chiến dịch Sea Angel
574485	Nam Kỳ khởi nghĩa
1682322	Sơn dương Tây Ban Nha
9f82ec869de6e65be4ed4e1617014d5b	Hồi phục hậu băng hà
4955ae55c8b9c31badac50efe601ac20	Abdul-Qader Bedil
3259828	Đường lối tập trung dân chủ
da02139745b63337462162cefd7030f0	Edgar của Scotland
292171	Kem (thực phẩm)
7e25d8f5a2926f63290904752ccad63c	Unterentfelden
51b2c417ddc1b968e0493573b7ba554b	Etylamin
509336	Hormon
8591	Tanakh
6eec6b84e3ad41480a47f3bda01d14e5	Saburo Okita
6857ecaf3189f9e0051c14f073e03c63	Chinlea
259811	Silurian
2f0977b16c3ff443ebcf5582340e523b	Romanticism
cf7ffe0f7bfe2fa4133e89e46eadddb6	Chiến dịch Lỗ Nam
2361644	522 TCN
bd3e68d9198b19fefbd8270e9dcc12a8	Fall of Ghent
39a328170c87ed02fb6a704d3681e277	Al-Naser Airlines
b658d2b0ae93f513845d6dfd7e70fff8	Yaroslav của Nga
8c36b0f1158a9dede6e7a5b2239db85a	Nhà thờ Quo Vadis
f3b3a2f32197f3cb785abbb6814f159f	Dmitry của Pereslavl
1765510	Bộ Văn hóa và Thông tin Việt Nam
3607831deb7d5c716f66b7c8038e67fc	C-49
198563	Franz Ferdinand
c0f38b66146f83c4628bb7d95cd421a2	Quặng Laterit niken
107921	1935
7581566	Đông Nam Anh
aa41574178ad009f0fce8ac1372d08af	Angsi
6d8db21365a0d7bbab729adb34ae8cd5	1985 Intercontinental Cup
fe618440780ed98b8736a23f8e5db769	Bóng chuyền tại Thế vận hội Mùa hè 2016 - Nam
752047	Les Kosem
ab504b68303b412ae6a316c2d59fe48d	Agricultural engineering
11286d49e856e068848125574cce2a85	Dân số nói tiếng Thụy Điển của Phần Lan
d10787e05b3faeaa0abbf45a2c32d86d	Kingdom of Naples
bd30f21adde908e877c0d9b9e65337aa	Memnon xứ Rhodes
8a37fa3bf4162127871b2dee89b14a7f	Người Agta
1584915	Khởi nghĩa Bạch Liên giáo
f69a3e22de3542788c5fb46444d45ec3	Bộ Ngoại giao Đế quốc Nga
4eced7187134dec1717ed706dc8ea5f4	Nationalencyklopedin
f13706ab7dce7914fd493c53f014fc6e	Adalbert Schneider
2f29d841edfca801df1b2205aaf74dad	1955 Italian Grand Prix
188209b9cd6a1a9f5a57f3e147a57859	Mã số xe quốc tế
213454	Hạ (huyện)
c9a8bc5de05108401daab6945ff37d04	Valentine Naibod
48119	Australopithecus anamensis
39bf51f924b95d4c891567423640705e	Dãy núi Sierra Madre
8571	AI
86317	Cơ học thiên thể
ae499db44870d939fb22a5a593c0defb	Tập tin:St Petersburg Ermitage.jpg
f150a051b48688b953851d78ffd8f766	Agorism
e7a5bb7ce876a87e67a950c2a99b8f75	Ga-Rankuwa
2440804	Google Play
145047	Danh sách phương tiện bay không người lái
3634721	Kenyanthropus platyops
74c046c7f53b4d328e2b3e99452d34c4	Lịch Trung Mỹ
53762	Thể loại:Sinh thập kỷ 1720
3689249	Cantata
017b058dff10b58de31632260539f44e	Quốc dân Đại hội
0ccce205f23b3e64e2b7ca25ffbec646	Bạch Phụng Tiến
89471ead3da3cc243a9ef76086150cb2	Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry
396c85a3e4d8116a6d1547bbb7331273	Châu Âu Trung cổ
9e440fe7f7caf33e6c7cdedfdf6eab65	Bamar
818050	Tân Viên, Bình Đông
6bd7bb7272b7f8d73d467e375036a7ec	Bảo tàng Thành phố Bratislava
3156a1c9b9893f3703dd53f3bf1fc5bb	Bari, Italia
b6168e65503d9dc033e71ca78604045b	Bernt Michael Holmboe
2360262	216 TCN
8d25f53e2f708b492eb151a298227066	History of Mississippi
20691	19 tháng 12
42fa02a45678e5d2e51dea62f7ed634e	FAA
3256339	Giải vô địch bóng đá thế giới các câu lạc bộ
a6d9da30fd0e8c8f0d3044e9a9f09fd8	Tiến sĩ Văn chương
532857	330
491aba8d73a103f4a6c83b68beb58340	Cheomseongdae
3265329	Azərbaycan marşı
3abc83a5a4f41e3670ee2dbd9783af6c	Brian Curran
3265884	Eleanor xứ Aquitaine
2df43d78343df5f1bbc366b80f86d373	John Kwao Amuzu Aggey
560d9fce9d1ab742dfbf32104bd513f3	Bộ ngoại giao Thụy Điển
346069	Các nước thành viên Liên minh châu Âu
239e3d359545e31375e5def270a4677b	Brazil.
4638	Sự kiện 30 tháng 4 năm 1975
43b5a7ea87ffd5dc45204b34d579275e	Giambattista Vico
2f354ee9767d559746a8ddefd4edabd6	Farang
56510a7e43bf4c4e331d69129d85b7f3	APEC Australia 1989
65cb4e35248e21acb951d2b514985ccd	Bắc Alabama
ae42f0a54ae4fdacef2d1f9e7781ad9e	Thánh đường Bara Gumbad
cccf04f811ec34a43d3ef7adba2d5fbd	Chữ Mãn
f3d0ee4a42eadc3c725d69a6bce90eb4	Hiệp sĩ của niềm tin
78e8052c699d5bcde57e2361d124f540	Chính quyền toàn cầu
b121ec927a474171ca8b8730f9bf041a	A Lý Bồ Lư Hòn
2222632	Bộ Văn hóa, Thể thao và Du lịch
3518978	Ngữ hệ Iroquois
e064bcfc62d5e7cbd66ca27c7375a8a4	Trốn thoát
540874	88
2360475	Ngữ chi Iran
1e9a70e03917107fd06d3ad9f250d52e	Bolívar (state)
1750800	Convair XB-46
3e4220c24bc74d448bd306f56264ec6b	Cầu cạn Souleuvre
1691	Hoàng đế
264b638d6dee22bc7e439d10173f2c5c	A. A. Milne
82997	Lưu Bị
d84c954bb68153f43f0819880c1ccf0f	Danh sách đĩa nhạc của Hikaru Utada
752f1214686679c2077ccb49e70882a0	Arista Records
09dcdb613572f794bc9c3aba74c1ae75	Cầu đường bộ Forth
1667395	Bác Vọng
1085b2a05a763122b8c046cf555f69f2	Nhật hoàng Antoku
3501231	Druze
124414	Binh chủng Tên lửa phòng không, Quân đội nhân dân Việt Nam
12992	Chỉ (Phật giáo)
d42f07bb51a725f85f00f6e400bcc000	2001 CK32
294212	Nguyễn Phúc Miên Thẩm
3222683	2112
201756	1773
31b81d983521b51ddd29b665410c487c	Cầu Seri Wawasan
efddac861949ce883fb6a596e663e63b	Johann Christoph Bach
3259114	Büsingen am Hochrhein
a6a1cbc4f5769d449c4928268cdd72be	Phân đoạn vô tính
db9160256e54e1e5a4ce5c1cfa63a8a8	World community
c4eb6fa69991c40716695e12e3e71a63	Thể loại:Kiến trúc thập kỷ 1840
5e85aa559920ddee05b85f34dcb7688c	Alois Riehl
427fcf2a86238bbb50a60ceba429ebd0	Operation Eagle Claw
c902cf9db559572f20977268342c3b59	Nhóm ngôn ngữ Sotho-Tswana
3682492	Trung học phổ thông
46ec4fdba3028fcc74cc2c5b6118152f	9B
7cd56fa813abda6c0c42aac4490a7b0a	Arkansas metropolitan areas
6674fd42263911b35a62f5e5c643032c	Thể loại:Phá hủy thập kỷ 1180
630015f5b228c38a2ec46e1f057ee8dc	Điều ước quốc tế
188435	Hội Xương
3130818	Fritz Zwicky
52068	Algerie
804445	Eger
23c58e0855ad6184ebae3e47fa971436	Firefox Down (tiểu thuyết)
541046	635
3229920	Công nương Marilène của Orange-Nassau, van Vollenhoven
11ae5c32cb733c5b8e0bd8da49f82ff2	David Remnick
564474	Michel Houellebecq
116104	Sư đoàn 18 Bộ binh Quân lực Việt Nam Cộng hòa
152ddf78aa3b28cea54ca2ff26c35f6e	Agdash Rayon
1242922	Cẩm La, Kim Thành
138231	Nuon Chea
532129	428
26a0138f52d3ca3a69f5288041c65490	Giáo phái Quaker
253652	Altay
509150	Alicante
aca59c8515bfe2e1920bf86fc04018c4	Màu quang phổ
797163	Herbert C. Brown
28301	Grace Kelly
30cccab0700409dba2bb61494b5852dd	Binh đoàn Shenandoah miền Bắc
527894	Thể loại:Mất 218 TCN
3dde4a838b351ef25346281f1a555db4	Jōgen (thời kỳ Heian)
72e61832b479b84fd614fe63d3fce1f0	Lê Khắc Nghị
3195701	Giải thưởng Điện ảnh Viện Hàn lâm Anh quốc
530977	1380
130d3281f90745edd6282e02a109979c	Trung Hoa cổ đại
35363221e4e85243964c2e04706c8681	Alexander Löhr
b53e499d476349116bd9015266f7825d	Chứng loạn tâm thần
1242221	Kinh Môn (thị trấn)
1244623	Hoàng Tiến
e0b92715c7d0f8480ce5a95a3ca7486f	Bính âm thông dụng
2769364	Grant, Quận Cerro Gordo, Iowa
3164294	Nguyên lý Bernoulli
3c3463fb0ec97ca42a69408714c5ed12	Phương ngữ Ba Tư Do Thái
24107	5000 (số)
0582fc2408da59d73ef71e590e40207c	Cha đẻ của Hợp Chúng quốc Hoa Kỳ
796c9482fd7f16fbc2b0bb6edc7c1db5	John de Courcy
8db8a830d90a8baa59d8058546eb6e32	Huyền thoại Hy Lạp-La Mã
191604	Institut de France
715395033223b499a1eaf6a99d49a710	Bausch
1222292	Loài ít quan tâm
530603	913
530502	1492
46e0c8587b147516447980c81654cd9d	Anhiđrit axetic
442358	Carl Harries
73f0475d72c3f5dd6689a5c199fa01d8	Bellevue de l'Inini
304305	Boissy-aux-Cailles
a6f3cb85374a94135ae88167ef927714	Mặt trận Quốc gia thống nhất
128953	Nguyễn Ngọc Thơ
650799	Người Tây Ban Nha
54291	Lâm nghiệp
4b4fa5c198575317d03fb9011aa9f8f3	Amin thơm
c82f0b9a9590cb39f62732d7ad0f9335	Teodolfo Mertel
33c5aaf536021ea657b041549af23ab3	Chính sách đối ngoại và An ninh chung
df39b43eb9b16dca14f7b868974c3e51	Bao vây Sarajevo
f0fccbd90ca1047984bc7d28a4c39c3e	Alhumbert
42742	Australasia
f3d4c9c1be73e98b3064a4ec78ce2a43	An ninh
554778	Anne, Nữ hoàng của Liên hiệp Anh
cb5eef032aea6927566e6c5721ab505e	Ivan Vicelich
34086	Đèo Ngang
299c333e189783b8360e1ab888d242fd	Shigente Ishiwarti
02a585d501e604b4995fadbb4e14fb2e	Spahbed
106082	.lv
790635	Antonio Banderas
84f00fd31c022abbbb1959e78452e608	Guildford
4f593a85acf8972c2d334b3f4f0aeeaf	Alaska Wilderness Lake
2a81e514f5ac83ff654aeac83484890c	Africa (Roman province)
c64ad36f3adfe9a4abe88357b0185b7c	Cillian Murphy
8e7ba2b872e4324fe8842955b7d4e9c3	Ludwig von Mises
1433470	Gioan La San
827722	Bagram
527236	Thể loại:Mất thập kỷ 80 TCN
99ab1d64b22cfeecc736befcc06cf498	Downburst
78300	Kế hoạch Marshall
138467	Gerd von Rundstedt
441158	Nhà Ottoman
317763	Biển Tasman
f014540d3db09fc6fb2d6af8454b114f	Nguyễn Tuyên (Đại tá, Quân đội QGVN)
93977	Nam Long (trung tướng)
f8c05087b3c6d5df520634e64ed4bc88	Lưu Uân
123170	Hiệp sĩ Cứu tế
3185537	Dậu Dương
58772	Khương Tử Nha
530855	867
246862	Giuse Maria Trịnh Như Khuê
9946eefa3bcfb1eb307d306198e2d1dc	Bosanska Krajina
819357	Cecil Frank Powell
605fb1129cf21cf8f63296fdd3d3bc7f	Edwin Samuel Montagu
53777	Thể loại:Sinh thập kỷ 1790
457e48db059b378d1f01535e5ab77ffb	Thể loại:Mất năm 1881
feb1e45c17fa9dc0c271e2c6fe703717	James M. Loy
214618	Lăng Đồng Khánh
e6951d0edc8b45090e3aaeb8cad9e2de	Chính trị Gabon
1242280	An Thái, Phú Giáo
108696	.ru
3516	Tháng hai
72637	Clamart
471744	Trịnh-Nguyễn phân tranh, 1774-1775
236848	Kim (họ)
73d0d71bb00bb480ea742c30adf9ceb8	Earth's Man
400842	Deggendorf
fe0d299800ca2e8832aea2f565544158	Instituto Geográfico Nacional
880387	Orkney
ba0def1b175976da7c851ba31010e05f	Con đường gia vị
196336	Áp thấp nhiệt đới
862436	TVB
494e0084ebf9522ad4823dabdb18c305	Bộ quốc phòng Nga
15b08ded0a3267df7917c073359d5977	Fellow of the Royal Society of Edinburgh
9f8320fb5f37ac393ef9f4d5be453120	RCA
62809	Chiến tranh Trung-Nhật
3da189b4089a63dcf3f657a309979414	Nghiêm Trấn Tam
5da7e6e22570283652770a19dfc8faa0	Chính phủ thiểu số
77a752fe8ffd0d5a5ea9017bdecc9234	RKKA
3dfacb64b58531b34f8463481fdb5bed	Arbroath
58fcf414cd1e2c72661a291759245e41	Thể loại:Mất năm 1784
820603	Khương Trung (phố Hà Nội)
e68663045ec882483cc586892cf9de73	Cala Ratjada
a4adcbf9e4930c8d74c5003d7a8f2f36	Detroit (định hướng)
27434	European Cup
a2272329a70314a3a26475e5ecc26791	Kyle MacLachlan
57835	Ôn đới
77996	AGM-130
8fb8ac9128613172b068d4180fb45697	Home Rule
287196c9fb399eb78bc900bd20a53969	Academy Award for Best Original Score
3dd993da503ad5a36398c3936d58b23b	China Unicom
48c7f71a228f58a1aa01fa852ea526ff	Bedok
91b3055a7d3fe2352001937ad2bb89f5	2011–12 UEFA Champions League
529993	1211
251152e6ae01a18ea3e4be573faaaafa	AIM-47 Falcon
3b832bb294b55858ee4dc5b4d521494c	Glacial till plains (Ohio)
2415235	Hình tượng bồ câu trong văn hóa
861680c920f418fa169ea7027833f925	Kiều Công Chuẩn
53776	Thể loại:Mất thập kỷ 1780
20421	25 tháng 7
511661	Báo cáo tài chính
541503	93 TCN
aed13912cd56a29652c020753c0bb298	Cơ quan Hải dương và Khí quyển Quốc gia
38a233725c1d4a612a4077816d7e1409	Lượng giác hình cầu
127607	Antille thuộc Hà Lan
188885	Thế Eocen
ec8c18e7d9ab612637b72958ef221a8e	Cao Hủ
8307	Thượng tướng
cd3a986d391169cf8f7abad36a1ed0b8	Lucullus
