61726	Phúc Kiến
ff1750c0e666f0c06c63c1ea5db6e416	Aaron Halfaker
3256335	2001: A Space Odyssey
521463	1578
1220608	Bolikhamsai
815846	An Thủy, Lệ Thủy
474880	Bút Sơn (thị trấn)
578420	1052
530941	1398
3246594	Ban Tổ chức Thành ủy Hà Nội
357244	Ava Gardner
3253797	Báo hoa mai Anatolia
20208	11 tháng 3
530972	1375
578416	1048
723ebee2bed5ab8d413f2b4be3918873	Thiên Cảm hoàng hậu (nhà Lý)
108710	Cựu Đường thư
3138229	Mộ số 1 La Bạc Loan
34151	Cầu Long Biên
17537	Tiếng Phạn
1765598	Nam Ninh (huyện)
530516	1503
69525	Sông Tô Lịch
392171	1835
e11d4c7a1fd49b1aaf08e7a18430524a	Kenryaku
575023	Hội Nhạc sĩ Việt Nam
2364414	223 TCN
222459	Bàn An
20539	23 tháng 9
b121ec927a474171ca8b8730f9bf041a	A Lý Bồ Lư Hòn
7795	Hồ
530985	1385
72380	Boulogne-Billancourt
4543	ASEAN
540751	105
24176	Myanmar
1127750	Bệ hạ
528933	1766
511670	Nông nghiệp Việt Nam thời Lý
285330	Lịch Assyria
1260150	Amiral Latouche-Tréville (tàu buôn)
1204152	Hoàng Hữu Đản
7634c103b5748272ec8db3a1e6dd81bd	Môn hạ tỉnh
253298	Aalten
16553	Sông Bạch Đằng
94841	Gia Lâm
ee556b38cd06ff6a44246085a80809a9	Nữ Tước sĩ
512056	Lưu Đình Chất
531195	736
55016	Trần Hiến Tông
530387	1422
820740	Arkhangai (tỉnh)
2546	Đại Việt sử ký toàn thư
531343	603
529338	1675
9489	A-di-đà kinh
532200	396
788724	Bùi Quang Huy (cầu thủ bóng đá)
102333	Hoa Lư, Ninh Bình
69312	Bách Việt
6d687564f8c7dc5ee0678ecea968d2d9	Bang liên Thụy Sĩ cũ
530005	1196
254067	Nguyễn Như Đổ
234964	Lê Ý Tông
50001	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá III
3635869	Bí Mật Vườn Lệ Chi
370219	Trần Thánh Tông
540905	43
3267747	Analemma
519911	1010
1549689	Bangka-Belitung
1330950	Chiêu Linh hoàng hậu
977	13 tháng 4
530377	1414
1763408	Alexandrine của Mecklenburg-Schwerin
530668	924
184494	Bình Lạc
6ff290750b90385b4d0869375d9f076f	Sông Cả (Bình Định)
18855	16 tháng 11
95098	Bán đảo Triều Tiên
529887	1224
244499	Kiều Công Hãn
229438	Đèo Ba Dội
9edd888697e63a2ff3f6f115a874e1f3	Caroten
233564	Trần Bình Trọng
531854	580
63997	1974
3356387	Cầu Luân Đôn
541075	Châu Lý (định hướng)
3350795	Phạm Cuống
8d8f95b442219a3e4cf27a45d5e60e81	Leonardo của Pisa
56007	Lê Lai
530962	1359
18353	Associated Press
20248	28 tháng 4
647730	Cửa Thuận An
530416	1448
126103	Trần Cảo (vua)
6b87a61953db166056810b71c8eafa5c	Nguyễn Xiển (đường Hà Nội)
288435	Lê Tắc
529895	1233
20343	18 tháng 6
94210	Dư địa chí
3277687	Glottolog
530597	908
1254002	Văn Lang, Hưng Hà
4d22c2b80ba1b68feb26940cd97077ea	A-bit-gian
9146	Hai Bà Trưng
20187	1 tháng 3
91b694b8003e89de8a2a58c65bf41206	C. muntitaentiata
107934	1950
1243293	Cộng Hòa, Quốc Oai
20398	14 tháng 7
789f63f483b4cc2e38a0fdc991a69595	Anatoly Dobrynin
1243134	Chí Hòa
1749933	Arnold J. Toynbee
794	26 tháng 1
529202	1561
530063	1163
321068	Hưng Yên (thành phố)
3e5a663bed88a27538158a49d19eee5a	Bắc hiến thanh lại ty
541563	130 TCN
530498	1488
3281503	Thiên Thụy
90299	1965
0bc26166c896623a15807d80a0027669	Dương Anh Nhĩ
528936	1782
528408	1705
b9613a4d8445108b9d02c3497463906c	Hoàng Bính (nhà Tống)
228403	Bãi đá cổ Nậm Dẩn
1221172	Abu Dhabi (tiểu vương quốc)
291171	Bắc Thái
0725729b8429878b3fe9088ed4a8ce47	Bùn sông
205379	108 anh hùng Lương Sơn Bạc
3527106	Thiên hoàng Go-Fushimi
87490	Chiến tranh Nguyên Mông – Đại Việt
94009	Hàn Phi Tử
80746	Họ Trương
38553	Câu lạc bộ bóng đá Long An
128782	Bác sĩ
27583	Đại Việt
357010a123df9524a8ee04ab0551d316	Cảnh báo lốc xoáy
143167	Akihito
16720	Interpol
24887	Ca-lo
1678494	Bi (nước)
140898	Amerigo Vespucci
1244c1732a340ab2e696c0816e6044ff	Chữ chân phương
782052	Chelonia mydas
530083	1148
816369	Banbar
98810	Thanh Cao Tông
92178f09a6af3eb065f3f7540b7b672e	An Chu
1095445	Bộ tộc
36220	Bùi Quang Thận
384702	Cao Mang
33804	Alabama
529584	1573
28055	Hoạn quan
1244112	Giao Thịnh
56e2ae5c8a521538a1695cc7b64240cd	Bão táp ngục Bastille
77042	Aeroflot
528934	1767
3351078	Lưu Khánh Đàm
529975	1307
11200	Kon Tum
1159211	Dãy núi Vindhya
30451	ATP
9973f82633da2c07e50b734eea1c9f05	Khóa hư lục
2438466	Caracal
529938	1274
6341e902f040adf1396eda8282a60c91	Bồi lấp
11667	Minh Mạng
58959	Triệu Vũ Vương
548484	Cúc Phương, Nho Quan
20544	26 tháng 9
c5919c239ee7b9f5bd4c7590c9bd3a2f	Bộ chỉ huy tối cao lực lượng Đồng minh
63421	Cách mạng Tháng Mười
3433331	Nguyễn Nhân Phùng
194246	Alphonse Daudet
524246	Bộ Rùa
109896	Ninh Ba
77682	Bandar Seri Begawan
e474959e7ea4a7b4b67f3ca8254dc3c3	Chữ Maya
9430	Hoàng thái tử
92079	Gia Viễn
86644	1280
27358	Kỷ Mùi
3682312	Kho lưu trữ
391980	1811
20135	7 tháng 2
16925	Biển
530031	1186
b43d73e8b843321be51acaee2a6d890b	Chính trị Afghanistan
530247	1067
528396	1708
1742685	Adam nhiễm sắc thể Y
523799	1781
30916	Tokyo
42028	Mạc Thái Tổ
20359	25 tháng 6
4daee1fe2a46099c03be1473ae3f0dc3	Budashiri
408090	Antoninus Pius
128456	Mỹ Đức
7ccaa46136c6ad10b3c2a1f3a2ea5b9c	Thành Quảng hầu
364162	Quan chế các triều đại quân chủ Việt Nam
252454	Linga
08ee52a742a456d1edf258f6fd0e69e5	Apxara
530970	1373
3669195	Làng
20548	28 tháng 9
512371	Liên Ninh
578419	1051
541627	184 TCN
531805	542
529987	1205
532117	420
20526	17 tháng 9
529145	1527
505847	Lê Tung
3435014	101955 Bennu
93673	Tiến sĩ
35582	Colorado
22dc31e49b79e45d225ab2047e57d71a	Châu Lục Lệnh
530036	1184
263678	1892
370084	Chu Thành vương
70049	Assur
530595	906
525735	Gạo nếp
206005	Minh Đại Tông
531068	1390
15367	Bánh tôm Hồ Tây
c828527ce126286c786408ffa700dc7c	Bão Sanvu
61404	Nguyễn Trung Trực
65970	Hoàng Kế Viêm
194043	Báo săn
41859	Lê Quý Đôn
530412	1444
231810	1830
820736	Các Sum của Mông Cổ
8ffc498139873fb3c6e05156e5de4f29	CODEN
312490	Anzano di Puglia
20165	18 tháng 2
65356	Ba Vì (định hướng)
256887	Asiamerica
107942	1958
f7f36060ed9dec6366b33bdc8d2cdace	842 TCN
109303	Dồi
528927	1761
584190	Tượng A-di-đà chùa Phật Tích
75779	Abraham
528899	1740
82836	Biển Aral
2412577	Kẹo dồi
58772	Khương Tử Nha
20702	24 tháng 12
391975	1810
201753	1770
61445	Cairo
4859	Châu Âu
3544860	Thiên hoàng Go-En'yū
783590	Việt sử lược
1e758816fd0e410a82b106c6c51e374e	Kōchō
47489	Cao Biền
243690	Khuất (họ)
530253	1061
243397	Amman
3289625	Mạc Đăng Dung
193640	Lê Mạnh Thát
3256976	Giải vô địch bóng đá thiếu niên Việt Nam
50664	Aleksandr Sergeyevich Pushkin
530097	1140
2047	Lĩnh Nam
650247	Albury
33041	1975
20408	19 tháng 7
31c810173c5ea2dcb2490749c002a901	Bào tộc
3691887	Chông
55035	Từ điển
1522210	Hiền Đa, Cẩm Khê
529889	1226
2878239	Việt sử tiêu án
236753	Chung (họ)
7505374	Thuận Thiên công chúa
234970	Lê Chân Tông
5c27120c194befef3a7b1adf39518b96	Adam Malik
26753	2001
309079	Thăng Long tứ quán
55b46e5f6455668039470d2dc6857dbc	675 TCN
4acd669dd3157466f676b33b18aa0f85	Ban Chấp hành trung ương
185990	Phan Kế Bính
191291	Bân
2a791a707865c10d4af1fb84abffb9be	Chương phục
1446540	2017
11319883	Việt sử Tiêu án
8412dfa4be25e18bbb75df70a9312c5f	2002 AA29
529950	1286
230468	Chiến tranh Việt-Chiêm 1044
145286	Balkan
2139c285ff51e32f494af26a80f6cb46	Công chúa Quỳnh Bảo
1437212	Phố Tràng Tiền
530908	897
982395	Lều
213870	Sông Sét
528881	1727
540728	214
e47d41f0f8bc300f5bd5af998b08d094	Khâm Thiên hoàng hậu
49103	Đài Loan
dd7b7497838c1bf93938310f81814339	Dạng (thực vật học)
819246	Graffiti
530242	1071
1677515	Uyển Dung
55fa53928dcbdca2594006d98f37f7ba	Adevărul
bae445707f6deb2a31da3b9c57634b70	Denver (Colorado)
22417	Chủ tịch nước Cộng hòa xã hội chủ nghĩa Việt Nam
734e46c49da5ce3a24efa06d9ba6bd96	Amban
540929	58
68096	Lý Thánh Tông
528937	1783
530552	980
530558	973
47528	Thế kỷ 11
30160	Malaysia
685	M
fea10c6d627d02116d85528c7912a465	Hứa Trinh Hòa
64678	Giản Định Đế
27321	Giáp Thân
235187	Chuối
3460	Tháng bảy
2411892	Cái (họ)
20392	11 tháng 7
44711	Nam Định (thành phố)
530259	1055
24774	Chùa Hương
14984	Chùa Keo (định hướng)
540754	196
107817	1909
4651	Phật giáo
21366f6e1dfee4a833a84d67b22db21d	Bãi tắm Thịnh Long
531302	662
317448	Nguyễn Nhữ Lãm
237668	Ban Chấp hành Trung ương
faefed7d41137e885df0a9e16da354ce	An Dương Vương (đường Hà Nội)
292829	Bảo tàng Mỹ thuật Việt Nam
2432266	Anh hùng lao động
384379	Ngày
214374	An Dương (huyện Trung Quốc)
76858	Nam Việt
147500	Bát Xát
3704765	Nam bán cầu
194589	Làng lụa Hà Đông
776425	Tân Lễ
e832ce4ff5274fc24578e06ae85ec5eb	Biểu tượng quốc gia của Trung Quốc
18554	Chí tuyến Nam
529159	1512
529996	1214
aaa9ad0ccab678448243689ea815820a	Chợ Viềng, Nam Trực
3272065	Baek Ji Young
316643	Chiêu hồi
ab76c54cd22d18630bcb8c4db80d4891	Tristan
530553	979
494903	Lubuskie
20456	12 tháng 8
2418604	Số sêri
530073	1155
25730	Lý Chiêu Hoàng
27343	Giáp Thìn
529901	1239
480d97750564081a387343d44e0c3af8	Nhà Vũ Chu
20196	5 tháng 3
19da1e6f97884d81f5d8cdc3f9ebf452	706 TCN
528864	1719
420361	Sự biến Thổ Mộc bảo
11242	ISO 3166-2:VN
378247	Thập niên
529738	1317
372165	Bắc Quang
49435	36 (số)
3642347	Bắc thuộc lần 4
ac83dda180e7371bc261f239566c1711	Shōka
3258716	Người Negrito
55961a8419624fc33a747bfbe0cede9b	Dãy Chư Yang Sin
541111	12 TCN
f4809b1936a714c6ab722947c458963c	Học danh
531890	471
442726	Aleksandr I của Nga
530568	964
866349	Canh Tân (định hướng)
28584	.ad
529953	1288
a89e672e957c2b6acf3eecdc686b79f6	A Lặc Căn Ngạn Trung
67797	Nùng Trí Cao
28590	.am
7537646	Ban Nội chính Trung ương
4c8dfaa3f0af8631cd29baad51517e54	Ahmednagar
3346753	Aldo Moro
136364	Bán đảo Malay
234067	Bao Đầu
543561	An Châu, Đông Hưng
5b65f9d1f7fe0d3fde298b095d99aa09	Bùi Đô
540821	147
541091	1 TCN
34172	Arizona
d8105fd6255a460fb8712883d83c00fb	A. J. Arberry
20292	22 tháng 5
20294	23 tháng 5
795767	Angaur
24260	Du lịch
20144	10 tháng 2
853	Anh
27720	Dương lịch
901	24 tháng 3
459250	Lý Thẩm
530391	1425
15361	Lý Nhân, Hà Nam
541115	16 TCN
1521f5120bc38889e463c79d775d8a70	Làng Láng
392194	1849
e5f8ab6b1f77663357002b2ae1046d8a	Barnes
529235	1623
529999	1217
20309	31 tháng 5
94531	Hoa Bắc
530984	1384
3702552	Anagarika Dharmapala
531798	535
fe1c3f600f998416ff95dddbe5da8826	Triều đại Nasrid
1639442	Cồn Đen
392164	1831
235658	Hoàng Phủ
4e547c4ff3c7982a9fd4117b29edde8a	2333 TCN
12320	Nhà Đường
49429	40 (số)
73f23aad2553ebefeec6a5e6f5d133ca	1982 Chinese census
531073	1395
6b608f968fe0bab0b799b878b2112ebe	Ngày trong tuần
244765	Khương Mai
ea33561b9800e77bd254f067b007e530	Thụy Bà công chúa
63722	1985
398eaa3adf3c8ae9be864ca29c8a30fe	Bá Ngưu
157717	Huỳnh (họ)
281864	Dân Tiến, Khoái Châu
1cf3832e61bc13a8c0ddfafdf1ab5e0a	Aleksei Kaledin
a87199b194d96773a0925c7f40b13d1c	Ba-ni-ni
530007	1198
530585	900
11204	Long An
106126	Antigua và Barbuda
35985	ATK
107896	1926
3972	An Giang
25065	An Nam
5a53e63f6f436f8936e1148bfa17735c	Abu Sa'id al-Afif
1320349	Akhisar
103664	.cy
1439662	Bắc Ngụy Hiến Văn Đế
421163	Hoắc Quang
66948	Cao Sĩ Kiêm
7605	Bò tót
80493	Chiến tranh Trăm Năm
234907	Kim
52879	Nguyễn Cảnh Tông
121241	Bùi Quang Dũng
42487	12 sứ quân
494583	1
8b206a09f17e46f805a134bdfe58f90b	Ngõa La
799420	An Lạc (định hướng)
529333	1673
540916	34
530094	1137
3689243	Ngựa cưỡi
24019	Chùa Phổ Minh
20478	24 tháng 8
08fbdf74372bf8b53bb6ce5f12051d98	Lê Đức Trung
782591	Cao độ
a6a38a7733b43b411943d4555bc3d5cd	Cầu Bươu (đường Hà Nội)
540982	10
6322	Hồ Quý Ly
63328	1993
6634d4a7a7ac55b3af3a0031d49c4adb	Agis
1254718	Hòa An, Cẩm Lệ
11203872	Atropine
201756	1773
24500	Cẩm Giàng
29618bbdfa34e3d4d8959b62b5e5bc67	Hồ sơ khảo cổ
2195340	Nguyễn Đức Vĩ
1a5f7c6a5a095c34508dc53365a09309	3300 TCN
530399	1432
1242129	An Bình, Nam Sách
530128	1128
fbb096a27f085b22d78d7f7b0a1b3106	Ca la thầu
588699	Cổ Lễ
529181	1545
981051	Aderus hanoiensis
11730839	Huệ Quang
1243014	Cao Dương, Thanh Oai
149774	Angkor
1400484	Bengal
107922	1936
2389689	Phạm Minh Hạc
3350464	Agostinho Neto
164664	Diêm Điền, Thái Thụy
52d4c839bdbb95cbeb5317eb4d03aeec	Bàn (họ)
530742	814
2f23decfe63657d095ff682907c46c90	Bốn con hổ con kinh tế
20411	20 tháng 7
530276	1011
804212	A-tăng-kỳ
8f44cdcbcc9c986a39b754d71190719f	Công viên Thiên Đường Bảo Sơn
88007	Doãn Nỗ
1633	Hệ Mặt Trời
130939a3d6d9bfff0f5543c4cd0900ef	ADN ti thể
540971	13
580044	Barneveld
321817	Chiến dịch Cờ Vàng
60100	Duy Tiên
2152825	Chenopodium
18090	Hộ khẩu
504128	Hoàng Thái Hậu
531813	546
11dc807d96d45a69679dfe23837f0cdd	Chuyên Lê Quý Đôn
20483	27 tháng 8
60513	1988
20632	10 tháng 11
1439473	Aktau
46f2d791e50d580f15d382ec53aaebe5	Arabic alphabet
1618109	Hải phận quốc tế
933bf4a7566587a9d23358360987514a	Dây thần kinh trán
59715	Ban Ki-moon
3389910	Khu dự trữ sinh quyển Langbiang
ce6f734662830bef8100ad6a9f11578d	Bạch Thành Tử
528480	1704
135724	Giáo hội Phật giáo Việt Nam
5cefda2b1e8ee14f037d35faadb3a507	Lộ Văn Luật
9613357f45e997a534c6918de86c048d	Borjigin
4616	25 tháng 4
62574	Khởi nghĩa Lam Sơn
663945	Hành chính Đại Việt thời Lý
3522	Tháng 8
230639	Bão Nargis (2008)
2449466	100 loài bị đe dọa nhất trên thế giới
52146	Minh Thái Tổ
530960	1357
531346	599
2387a4055e8551d62709125b42da7d0a	Cao Tường (nhà Minh)
152738	Công ty
228177	Bác Bạch
747b795a852a5381d1ebdb014c1b2841	Bachata
20181	27 tháng 2
107931	1947
314165	AFF cup 2008
530317	1033
9086	Bồ Tát
529991	1208
2c753f429b4484622e38d2673192f832	A Cát Đa Nhĩ Tể
2565	Giây
1249216	Biểu tượng
392140	1819
54842	Đền Đô
530564	968
3515581	Chữ Tạng
540624	282
530084	1147
529644	1330
531831	564
cfe719f0110c48ff3195a1f7f9c6b37c	Chiếu chỉ
213293	Bình Thuận, Trường Trị
59951	Anh hùng xạ điêu
3182016	Chúa sơn lâm
1738717	Bang giao Việt Nam thời Lý
81863	Lê Chiêu Tông
100652	Census town
3126090	Akihabara
3712433	Lý Long Xưởng
10529f5c860878ffa08b4c094798dccc	Arthur Sze
3397093	Linh Từ Quốc mẫu
24099	Chùa Cổ Lễ
91949	Trần Phế Đế (Đại Việt)
3284342	Chính biến Canh Ngọ
305132	Người Động
60514	1944
150852	Châu Thành, Tiền Giang
3244283	Gió mùa Tây Nam
540963	251
303955	Người Thái (Trung Quốc)
42919	Súng hỏa mai
862726	Thể loại:Mất 2012
20615	2 tháng 11
541039	630
dc160babe29346e910608d7fa47c4023	A Sơ
edd40a570bf8e9d15ec64a8483e347f7	Hành lang lốc xoáy
2423014	Chế (họ)
7306	Bản đồ
102122	Cộng đồng
136195	Chư hầu
529196	1556
210388	Đình Bảng, Từ Sơn
b1b21447e7f867d3795c06d2f50a1f10	Chimes
103260	Kinh Môn
130779	Freyja
1378146	CSI: Crime Scene Investigation
531823	556
29970	Nam Trực
530115	1116
795169	Anh hùng Lực lượng vũ trang nhân dân Việt Nam
2431427	Azawakh
529920	1255
364038	Hanja
4073	Bắc Bộ Việt Nam
cb609aabf9c9192dfaf475283508cf9b	'Olekha
173100	Sóc Châu
2911	Cải lương
2449040	Francis of Assisi
c058739e0490b4c8e7a68a577578b75a	Alfred Denning
1244338	Hiệp An, Kinh Môn
3546452	Thiên hoàng Go-Komatsu
825993	Aero Mongolia
09aa0c4618bfdb5e772f3c526125dcde	Iltutmish
530041	1176
20901	Thể loại:Mất 1252
20423	26 tháng 7
64025	Đế quốc Nga
529989	1207
578386	Thập niên 1160
2423047	Đào (cây)
59360	Cửu Chân
1649889	Niệc đầu trắng
1253344	Thống Nhất, Hưng Hà
78dce0e06b6012769c9aface6ef43d62	Qui Hóa
235866	Con đường cái quan
241548	Cảng
3143050	Ca Lê Thuần
529554	1595
2286938	Chân Tông
18563	Nhiệt đới
528917	1751
20339	16 tháng 6
