df69b432145cf003be7cce77cafd4d22	Phong cảnh
6d98e8baea015dc9eccfbad26282072f	Ngôn ngữ ký hiệu Malaysia
6293	Nông Đức Mạnh
24b2077930640b8aa58f52b082bba70c	Dhu al-Hijja
3347505	2030
20659	4 tháng 12
f3e27fe50f15856a51eb13d843e047ed	Carl von Voit
65630	Lê Dụ Tông
d03bb825c1df7b81b1585b75db998128	Boutique Air
89471ead3da3cc243a9ef76086150cb2	Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry
276255ae02e40eb06eb488d7b5d6d010	ISO 3166-2:IN
108562	Cách mạng tháng Mười Nga
70783	Hưng Nguyên
150537	Irène Joliot-Curie
20335	14 tháng 6
742877	Cô em họ Cát Tường
44858	Chủ nghĩa duy vật
528820	1716
26342	Như Lai
185157	Ai Cập thuộc La Mã
2459697	Alexander Prokhorov
0acc9c29b1cedbd838ee8c10f7642467	Axum
1663798	Bãi cạn
818528	Irving Langmuir
471976	Hiện tượng
8cb86e7c2298e1b60c85fc2a4a22352d	Bản đồ vùng giá trị
11171433	Goethit
a6c320a46daac9ea4ac94915b23a4bd2	Caritas - Social Action
2539369	Daniel Auber
369212119b313ae33be5e34548c54fcf	Catholicos
d3e1d2142c3e192e0692e1805c37e6cb	Tổng uý Venezuela
fd1a759256c407e361c2127af6bf8265	Central Provident Fund
57660	Thế kỷ 6
71375	Poitiers
10716	Cải cách Tin Lành
529910	1247
6291	Hệ tuần hoàn
3424577	Arena da Amazônia
232668	Algiers
36696	Guinée
38758	Jamaica
54aa58c3166844263dacbde1e3f4e436	Avrora
0e17579734ddab4592e3e3b6ec6b4cd0	Thể loại:Kiến trúc thập kỷ 1790
3fad9a86b40dd53d783bab5c0c1e942f	Chasseloup Laubat
20475	22 tháng 8
1374067	Lê Văn Kim
504244	Ni lông
0c632485543bc83b0dadbe31c6015803	Gram dương
9f68f2db63bc45a1533ed69d1a3fcef8	Coastal California
7be680f44c9abc442520fa84ad302b77	Người Andalucia
3f753c85ec4eecd4211d5cca500c4178	Hoàng tử Giuseppe của Napoli và Sicily
3214886	Oberfranken
86515	Bố Trạch
590054	Hồng quân Trung Quốc
12010157	Gilbert N. Lewis
d5adf42532ca871c9e0750f8aa87a94a	Cradle of Humankind
bd9e90c29e890521b2f5fb6360f95184	Lorite
63493	Bệnh uốn ván
3186878	Chiến tranh Ba mươi năm
26118	Gốm Chu Đậu-Mỹ Xá
06d5ae105ea1bea4d800bc96491876e9	2205
9d71521a0ab0723b2e61f85c2d14aa90	Thể loại:Phá hủy thập kỷ 1830
486a5f6dfd74e0c087a02184b4da653d	Antonio Soler
62741f322a48c778f5b0f5c43fcc0499	Thể loại:Thành lập thập kỷ 1730
d162dff44ef681e46c539514b83142b1	Sách Giêrêmia
fc00e24238495422ff117f2ceb7430ff	Chang Chun-hsiung
3b6f72697ee82d99ded4ddbcd6621cec	Picerno
578343	Thập niên 1430
250ea0184f2babc4cbb939778c992249	Astara Rayon
212355	Sark
4599c0da808fe367966b8dd8c092f987	Avestan
1249718	Ia Jlơi
1298332	Cắt lớn
84039	Hiến pháp
aea64119ee7695ce9a7e443454e3a14b	Viện bảo tàng gấu bông Teddy
447484	Giáo dục Việt Nam Dân chủ Cộng hòa
aa9d4210c0217f7634b3a17a1f9b8d4d	Eberswalde (hố)
73888543e82f5a8f3a77ba419aef5fad	Caliche (khoáng sản)
8fddb4ad5e0a392bf40efba15ba7509b	Antonino Zichichi
e5c80805ac697e2f599603e12b8c024c	Chăm sóc gia đình
40495	Bình Sơn
13871e7e8d554559b46fd7d9c9532b3f	Thể loại:Mất năm 1782
3e33d5139c127f880f47ed941effff7d	Andrew Roberts
570654	Ruột
91687f471f2403ccb1e143aafe7e9d4d	Chùa Thấp
529192	1552
d401ea75e1de490ceb8df0751ecff3c1	Balones
800486	Hà Tiến
405418	Biblioteca Nacional de España
990ecc7856316446a4e8365d6563995e	Ishanavarman I
30293	Bia
a735122be0f568cb0a011aceae8aa1c0	Braj Kachru
931dfb63659729763000985bacbaadc3	Ethiopia.
61506	Phnôm Pênh
e0a1a9f2c70b24a6f8062e3bec4e50a9	Berendt, Joachim Ernst
529000	1614
270634	Cagno
ac9b73b049d2c977d447525a7eafb967	Hermitian
317730b3d0fb55571658b73ab169c5b9	Bikram Samwat
540718	235
201895	Giang Lăng
28445	Bảo tàng Dân tộc học Việt Nam
528924	1758
68636	Tập đoàn quân
cf2149d474799eda3bc87cd178499e62	Eschwege
530245	1068
3176899	André Rieu
8e67ee6cc10481e73065a507e26cd169	Imperial State of Iran
234371	Trận Đại đồn Chí Hòa
10779	Người Nùng
85594	Thi Đình
528898	1739
2260036	Rutherford
3657926	Maha Chakri Sirindhorn
4056599d862da85e75dff80ff91fafdc	Hakim Bey
9571015	Chính phủ Hàn Quốc
64678	Giản Định Đế
3527633	Fyodor Mikhailovich Dostoevsky
3248869	Thông tin di truyền
108ca4ca8ebae233e1bc4c18ea6ed906	Ban chỉ đạo phòng, chống tội phạm (Việt Nam)
140468	William Morris Hughes
11763725	Famagusta
247364	Airbus A320 family
529887	1224
801736	Danh sách các thủ đô và thủ phủ tại Hoa Kỳ
3138567	415 TCN
3202986	Bộ Mộc tặc
8b880c144eecd92df1637132b7665fdb	Grupo Modelo
232116	Chức Kim
264401	Cabrales
814013	Danh sách 200 thành phố Hoa Kỳ xếp theo dân số
254394	Berry Aviation
530362	1403
200215	Danh sách các vùng của Hoa Kỳ
529361	Chandler, Arizona
255932	Henry IV của Anh
a629683b5c97f8e37e721620f3b4a0f8	Danh sách người từ New Jersey
92bba1e373dc343b77c798ee1516a904	Axiology
108345	Sorbonne
574130	Castle Rock, Colorado
025cb9a3a2ffa24b87d7b0f11a1a11df	Lâm Minh
38568	Lý tính
1251586	Phú Lương, Phú Vang
da61e24c0fe12999bb714af2a562721e	Amadou Mahtar M'Bow
3672298	Dương Quân
1377515	Từ điển tiếng Anh Oxford
d3743f853ff050e7f754b58b4e728c4e	Công nghệ báo chí
2388926	Chính trị toàn cầu
3375344	Chính phủ Bắc Dương
e8d6b80e0e28617e488d85ea14f48ce5	Research Papers in Economics
2bdb8a1b6cf983c21e53f2055743544a	Liberal Party of Canada
76ea01f9a825d2003e258f0fff9d8850	Infante Antonio Pascual của Tây Ban Nha
283382	Chùa Trúc Lâm (Hòn Tre)
57664	Thế kỷ 4
2418998	Trạng nguyên Việt Nam
3b645576d0f82b49668b18126d347d7f	Beatriz Merino
3350769	David Rittenhouse
96045	Axit nitric
999f0e02c9ca78702a075afdc42c3828	Hartberg-Fürstenfeld
a2c4b91a6b783017ec747c3384695fc5	Huy chương học
d96f09eb1fde92a8ff645bf70f1e2208	Thể loại:Phá hủy thập kỷ 190 TCN
530095	1138
72104b6c1788d62f85ce0c3f12a0e0df	Freddie Young
d99ff892ad3a0bd828b2202d359d0224	Cố Luân Tuệ Mẫn công chúa
128782	Bác sĩ
44e8e28a466a6e071a3f79b6cc066e61	Amy Macdonald
188144	Hoa An
528928	1762
285928	Hallein (huyện)
184613	Bishkek
9fb1f644e5536e02fd16f165392e7a38	Johnnay Appleseed
1235975	Dương Tú Thanh
1252868	Tây Lộc
e7604ad115899838ed3b789102a3739f	Bùi Quang Huy (chính khách, sinh 1941)
d59156dc83b85b25356fee8602450e7b	Health care industry
334031	Thể loại:Mất 209 TCN
1615250	Ceres (thần thoại)
6297	Lê Duẩn
366775	Antwerpen
91821167f3f21e45f0dd221cd548e1bb	Afonso VI của Bồ Đào Nha
176068	Chiến tranh Pháp-Phổ
47640	Jimmy Carter
47474	Hồ Đức Việt
293df143df26e448f9e462df32f0fd58	William Tyndale
969338	Biển Argentina
83549	CD-ROM
197865	Ludwig Wittgenstein
83e0dae2e757f7f4c9595e15920563d8	Giám đốc nhân sự
51134	Phim hoạt hình
567232	George đệ Nhị
420193	Muammar al-Gaddafi
1461079	Liên Hòa
2287673	Thuần Tông
e0b68431e07c1ae350f6079d00651e3e	University of Canterbury
298092	Danh sách sultan của đế quốc Ottoman
64032	Đế quốc Ba Tư
f124e26139338ed48ad39c40e2b5ca6e	Anne Frank Remembered
3393	Illinois
4a9ca0e7bf1dc5d24b37b9476df944cb	Abdullah Hatifi
89422	Bệnh dại
3724	Pakistan
f37afbb652f9de4978f7c0a51e020fff	Hoàng Ích Vân
1238988	Hòa ước Giáp Thân 1884
468807	Trần Khánh Chi
579227	Ban Đối ngoại Trung ương Đảng Cộng sản Việt Nam
29935	Biển Baltic
2223	Cacbon
20411	20 tháng 7
3663408	Ahmed Nazif
812873	Khamis Mushait
3b8e260980054e3de4f4b7ad191de328	Ban vận tải tiền phương
271b59483bf40df751a8cd7845901281	Lục điểm bán côn
d5eeeb22d7c1c794ee0531c811dfc13d	Thể loại:Sinh thập kỷ 80 TCN
10254	Danh pháp hai phần
fc592b5a831cbf675a0cf383d3023e16	Haab'
531e87726ddab2aa7cc2bfc6ce98ecf3	José Miguel de Velasco
5e7a118fb4d031421f3fad82066e692f	Chiêu Tăng
309169	Castel del Monte
385490	Bioussac
d47e042714cf19e6ebc6bbaecd642c47	Chủ nghĩa công đoàn
92977	Biên độ
783631	Hidalgo (bang)
995b29ee26f403d24f350a0f9ed3c362	DEA
4f62318bb424d1e6b1c25c16b7f720ad	Thứ Sáu (định hướng)
68dcac35af325ba80c6231074768a28c	Bò nướng Lạc Cảnh
263716	1877
61394	Bọ cạp
ba61fbf0a45e4f44da5dcfd4546a377d	Chính trị Antigua và Barbuda
1751249	Aswan
2838	Cân
3d4dd1ca9adae98db19a408c37b62553	Ba chị em họ Tống (Phim)
529244	1631
794845	Giải Franz Kafka
3788e396b7ad00a87628f56c5d4c64b8	Axit anthranilic
286482	Thánh Vịnh
844155	Ha
529193	1553
d1df6b1e6e6cc9f91c3a9fc8c62ddb0d	Bùi Sĩ Lâm
76559	Baruch Spinoza
55013	Lạc Long Quân
498210	KLM
20272	11 tháng 5
202058	Hoài Nam
371763	Limburg (Bỉ)
1140996	Tiểu lục địa Ấn Độ
cc3e832a9d6a1dd1037e7027dc91ef57	Thể loại:Kiến trúc thập kỷ 70 TCN
541592	153 TCN
b36ba6b81d3d89e3e5c432ea685b12c9	Erwin Sellering
20392	11 tháng 7
b5640ee53a63662cc3deaf0849d89a57	K-selection
530688	939
53328	Chu Ân Lai
970dc0305eb55bf57cdcf667859bbc55	Chiến dịch Apache Snow
3439	Thứ Ba
2a6482ea373bdf53a399704fcca353be	Harbin Brewery
63318	1998
07d9281ad13c0ec332a211545e499473	APEC Nga 2012
991d61657e470866a208a736937230fe	Ban xây dựng 67
2cec13419129ce91dccfa37ec1ced761	Abraham Ortelius
3193054	Ben Foster
2611051	Giacomo Meyerbeer
9252	Sơn La
469500	Mariazell
529837	Babylon
4dbe140bc12c9f5bb0587d5a02c221bb	Thùng dầu
1439156	Thọ Quang
53723	Thể loại:Sinh thập kỷ 1530
47506	500 (số)
73204	Monaco
2bd55509615e57488db59572d8fad117	Bộ trưởng Bộ Văn hóa, Phương tiện và Thể thao Anh
2217610	Công chúa Quán Đào
89728	Doãn Nho
03e41309332bf76c07bdb010c93ddfa2	A Day's Wait
3433212	Bác ái
234217	Lê Duy Kỳ
253634	Maarssen
94bdbdc2ba04d121ffe4aed4b2841620	Ben The Luggage Boy
348491e793cc9ca9fac287e2e71cf0c5	Các dạng tiếng Ả Rập
65970	Hoàng Kế Viêm
1519316	Ký sinh
30944	Kiến trúc Ai Cập cổ đại
48ed4e012d60da93f9c34ee3fe04b5b4	Michael Harris (mathematician)
44917	Nút mạng
20611	30 tháng 10
295584	Dãy núi Kavkaz
cce1ed50f697b92f5bcb1264d02c48cb	Bruno Bauer
ff0b2ceef585c98d68e54e3824fce7a6	David Crystal
106170	Phú Vang
33f8e083c179e5a653e7135bcb813005	Cấp cứu
90ae43ff9f614fca4e009fe49999a499	Cetona
d560adf01b5d8c828e547ad9af286de1	Thiên Quốc Chí
966	9 tháng 4
3410716	Minh thực lục
108424	Khu (Trung Quốc)
3433864	Tiêu chuẩn
95ed8686b482d36ce1f4bb2a4317ac5a	Archibald Primrose, Bá tước thứ năm của Rosebery
1377680	Kim Cương (nghệ sĩ)
104886	Tel Aviv
11352	Thị trấn (Việt Nam)
a2002589412f30bc78bae28657b0ecff	Hoàng văn Ha
3682698	Tiêu điểm
1279592	Thập niên 560
42f2e597f9359b794d6ab97a5e4ea6d5	Jean Christophe, Hoàng tử Napoléon
947363	Catarina thành Siena
023fc501d3d1527c58204a09f85d68b3	Concerto số 4 cho Piano
25258612c7e2a7bf15e83d8f089d3419	Dương lịch Thái Lan
72405	An sinh xã hội
42baee1814b14d6c2ad792bbc3efad04	Canongate
a4224796b9e8b528e2fd1c6150eb2740	Chung Nam
479143	Hoàng Văn Nghiên
5bcc86d913af76ed425c1bb64fd6c040	Cấu trúc câu
88b8fe583218de56e1433bf5ffb8a1d9	Jūdo
6cdcdb333039a2983a486c53df7a73dc	Các mạng công nghiệp lần thứ 2
57d0625c1dafc0f748dc634e31cf1d74	Công nghiệp điện tử-tin học
511406	Cơ quan sinh dục
00cab1ccac17ca49a9a7719931f94100	Colón F.C.
5aabab17a982038f15f5f0e1792baaa8	Mũi Colony
48283	111 (số)
6d9bbc6f8eca02cedd570dbbf3c7070c	Palazzi
016f37098b0e92e089663913d322642f	Fabian von Schlabrendorff
77b598e29866996f7ab75e4872780544	Cách mạng Công nghiệp lần thứ hai
811167	Bãi ngầm James
2ab29e36b8d0e724684e3ab104ed84d5	Chiến tranh Nha phiến lần thứ hai
4a6f7fb40ff525d3059bdf9cef4b62aa	Joaquín Sorolla
aa042378e4b906fb059f504da4c6a199	Chữ rune Anglo-Saxon
802453	Menshevik
78736	Hoàng Trung
529331	1671
407544	Hán Thành Đế
532113	416
186817	Quito
301602	Bán kính Mặt Trời
107882	Danh sách các tiểu bang Hoa Kỳ theo mật độ dân số
2807	Bệnh tả
71c27d6bb856471065a46b1e0f9f5441	Companion of Honour
3f95b9a1d043c6084c115a22437241fb	Kim băng
540996	5
9ff683b11f53769b5a91e5a0dbeb12b6	Chính trị the Commonwealth of Independent States
00340f411f04694c80910b126346c5c3	Sandan
3708821	Antimony
79f9284ed404ef2583641dfe69727a59	Câu hỏi Schleswig-Holstein
126315	Cao nguyên Lâm Viên
108053	CONMEBOL
1020	29 tháng 4
532233	370
a8aef457bc4f1b46d7d63bffe077722a	Chủ nghĩa nhân bản thế tục
e8e5f0d83d52749d021a191058ea116c	Ấn chương của Bandung
86717	Chu Mạnh Trinh
806687	Chung Sơn, Hạ Châu
3154683	Bóng đá tại Đại hội Thể thao châu Á 2014
1243503	Diễn Hoa
3402530	Alfred North Whitehead
3385926	Francis I, Hoàng đế La Mã Thần thánh
5470b2786dab0cfa99ab4da375166fca	Middle Persian
295636	Bắc Síp
97348	Danh sách lãnh thổ phụ thuộc
2423302	Caenorhabditis elegans
f124a1fbe69fbb5e642041bf9e04b372	Tây Đại Thừa giáo
bccc27bc9f2fbc0fa3e742c86319c6f7	Blowout (well drilling)
21943	Adelaide
199492	Manipur
0eb529e1748d0e82909ca40fae2f9db4	Christopher Goodman
20344	19 tháng 6
1242392	Bắc Sơn, Kiến An
3c234245214bd06a4ab4be227c577185	Nhân học văn hóa xã hội
8a1db951b02f140de5511345aae3c3da	Artibonite Department
e7464d6e078bec575ba20988b0a2e54f	Tỉnh Basra
bfbefc222a0a85fb2a667b97af7762eb	Chủ-động-tân
3390438	Golden Globe Award for Best Original Song
58761	Quốc hội
574445	Boise, Idaho
254f8b3d43f57e77ca3c4d1466b88c72	Triết học châu Âu
1917578d2122f2a88e014bbf0cfb920a	Chủ nghĩa tinh thần
211461	Giải thưởng Điện ảnh Hồng Kông lần thứ 25
67656	Elíp
264854	Caribe
485322	Công ty trách nhiệm hữu hạn
65046	Cúm
42913	Tên lửa đạn đạo
8dd3a87ce476f7b7e18c871d22f80879	Bóng đá tại Thế vận hội Mùa hè 1936
528891	1732
ddd9dda6bfaf0bb1525a8a27c3ee6131	2159
0e6b129f2c69b0a83b5433fdf6e9c1d9	Danh sách thành phố của Pennsylvania
9433	Cao Miên
24260	Du lịch
528045	Chiến tranh Silesia
46218	Sử ký Tư Mã Thiên
27690c32d815d6a49ecde9761258116d	Ban Chỉ đạo Trung ương về phòng chống lụt bão (Việt Nam)
2deab0fcd5dd030eb575945edf918a08	Ian Campbel FolkGroup
4634	Đại lượng vật lý
3099398	Bang Geneva
1252451	Tam Kỳ, Kim Thành
3107	Bức xạ điện từ
a511dad830451f16dc7346a539c1a778	Thể loại:Kiến trúc thập kỷ 1440
565213	Bóng đá tại Đại hội Thể thao châu Á 2010
529557	1592
408859	Trận Biên Hòa (1861-1862)
41141	Phan Huy Chú
edda70217355b7ce34ed6453013105ae	Danh sách những vụ cáo phó sớm
51570	Bàn thắng (bóng đá)
528883	1728
3a755607c36739b2bd273981337c17fe	Cầm Lư
3253571	Asano Takuma
1252909	Thạch Khê
3168320	Hóa lý
51218	Nguyễn Tri Phương
583905	Bùng nổ Mặt Trời
131116	Gibraltar
68a883270091797b4994436c514ebf5b	Di sản của Bồ Đào Nha
3933345	Bà Tranh
404036	British Library
81771	Kháng sinh
574322	Bộ trưởng Năng lượng Hoa Kỳ
5587ed4c87d66d2fb110f0a5432e8617	Thư viện Low
2462753	Giáo hội Maronite
021462a902e6af2707822ed14957be38	Thể loại:Sinh thập kỷ 160 TCN
3470	Giáo hội Công giáo Rôma
20159	17 tháng 2
64694	Hoàng Ngũ Phúc
fd4870a286b355133e8366eff2e3cf14	Pa hy
027fb0a0ec74936816aec7cddca0377c	George Feris
378887	Pyongan Bắc
98336	Dịch cân kinh
78406	Giải tích hàm
d56614cb9df6b63d68b1427f7f26127f	Cato Già
517d42f048d2dd422533522c796aaf37	C7
c3067499caa591f7e268bb74830052f4	Ayaş, Ankara
6abf7e0dfd06da57537e9c23edd7fa47	Hồ Caspi
258854	Blue Panorama Airlines
543306	Cộng đồng Madrid
1101686	Dương Nguyên Vương
976fe41bd1211c20cdf276f235ad94e7	Argentona
51765	Mỹ Linh
9c79f9a51a9b15d84f48161708d5e0b0	Arta Records
ed70184022a4c913b31f7debc5983890	Thể loại:Phá hủy thập kỷ 1080
353ac83023f92f1d1f64897da1cb9798	Ban Công tác Mặt trận thống nhất Trung ương
200850	Quang Tự
fe8a508e4185dd863b292859d4836079	Confounding variable
231252	Cảnh Đông
1f9877ceb19c5f71a2f11f7a0ff27356	Corona (beer)
d0e842f64717bfbdf70a21de1ef0d16e	Lê Trọng Hàm
71115	Hiệp Hòa (huyện)
527228	Thể loại:Mất thập kỷ 70 TCN
8c7d75594854490f8e7cf8939bd7c79b	Danh sách các tiểu bang của Hoa Kỳ theo diện tích
18dfef5318a6ffea75fd6352cf5a9237	Hội Truyền giáo Hội thánh
f5e90d72f31a862300fc954ba9ac3020	Bruce Beutler
20069	6 tháng 1
9c4bf4f42fff9e3f3b906a5c8cdf4fc5	Trigger (firearms)
36adc1ee46a7b441aad22eb5cd7eddff	Muna Island
366588	Brigham Young
3333041	Andrés de Santa Cruz
acc487de1c63ee7d5b04c65d2943401e	Chu Thường Tháp
529009	1617
8871e7b9b7effae69ed81e7e987602ee	Chủ nghĩa bài Nga
158d4b94e84cc7ab54c146d7aef8b73c	Thể loại:Phá hủy thập kỷ 80 TCN
20716	29 tháng 12
15693d74c3c4195dc714c681e86f2154	Kỷ băng hà cuối cùng
27339	Canh Tý
402390	Trang phục
2e4392d118bff4728515ae32e57b05a7	Thương gia bán lẻ
392aa9800a8c83378fc13991e0821adf	Hệ phiên âm La-tinh Kunrei-shiki
799709	Pechr Chenda
3977de6b13ed76e09bbe6bfc8f033085	Jean Feuchère
26cea3d69a28e1cbae1138513a80897d	Huy hiệu
3502429	Cai bạ
5544bab36cacd9403cc315426101777f	Miền ảo ảnh (mặt trời)
20539	23 tháng 9
fb72781db51a125703d4e41a3303630b	Bernard Katz
b99162ff3a45a4f249ce004973bc39f0	Tập tin:Beethoven 4-1 Skala.ogg
806373	Dêqên (huyện)
109148	Chu Đôn Di
228106	Cảng Bắc
af3f40cf1866fe34756702edb67d641d	Tiểu hành tinh Damocles
541342	Amazon.com
f3fda123d302df86fce2793b1d55369f	Bộ Công nghiệp Trung Quốc
1646471	Annette Bening
b00a21247b7c1f7d61b3270838937c74	Charles G. Dawes
89128	Philipin
2439601	Con lắc
b5bf88ca9b9580c1f102303a1aef121e	Nhà sinh vật
128908	Lục quân Việt Nam Cộng hòa
416425	Cung Tông
c563decf332bbd501857ed82f6f27eec	Abakuá
7a0691f0f7b7ad23debb0e13fa9bfd5f	Hội nghị
296863	Hindu Kush
6cb1c61210bedbd3d8291fdb8d531e3f	Ayrshire
33579	Công binh
18e8a2722ad88c7bd5e666b5d7fbadc0	APEC Singapore 2009
437e59e7051ef6ab524e84f2ed9b4aed	Amlaíb của Scotland
42423	Lê Long Đĩnh
405348	Chêne-Bougeries
529346	1682
3b6753b1f9423f50126be6d2f8ba8795	Ngôn ngữ ký hiệu Anh
531089	762
410801	Liên Bang Đông Dương
1751648	Bắc Borneo
807212	Xorazm
3419093	Franz Brentano
c3b7a7233abce793d7fcb7eb8644fbb9	David Waisman
f17ee535ac99cd9bcc55d31f89702318	Attrition warfare
119582	Auvergne
509735	Chalcopyrit
1667670	Chủ nghĩa quân phiệt
ee1b92686c8104f4c6f33a076a682ad8	Francisco García Calderón
58a4ec92a799d3a1e9b1582dca393a99	Motif
2968bdef4f100261b367ed4b8010670e	Di truyền học tế bào
529899	1237
b052017a7158f7180cb9a8043b2788b4	List of National Historic Landmarks in Alabama
6af8c10da01499ea42d33ec55ebca749	Chữ viết tắt bưu điện Hoa Kỳ
36178	Tiểu bang Hoa Kỳ
11764160	Gioan đảo Patmos
107898	1928
419447	Trịnh Duy Đại
349451	Lê Ngọc Bình
60110	URL
305409	Francis Fukuyama
18912	Phần mềm ứng dụng
401253	Bộ Thương mại Hoa Kỳ
a7074d2422899f5e29f9c1d2e243b1a0	Thế kỷ 30
1685728	Hoàng quý phi
205984	Từ Đạt
65158	Cao Xuân Hạo
11808805	Nam Hải (Hàn Quốc)
40503	Dương cầm (định hướng)
541123	24 TCN
b87b5645362bf7c968b273d71a6aecc5	Liên minh Đoàn kết Vô Đảng
463b30366aac4409d26e50c94123328e	Cơ sở kết cấu hạ tầng
71373	Orléans
c89c6f802dabc564839e71ec9be0ae0b	Mỹ Khê công chúa
d78180ddfd8f32d8b18983c141630ef9	Baltacı Mehmet Pasha
21998	New York (tiểu bang)
2413655	Minorca
d5d6b963e4e71f20a1f8544d5635693b	Nikolaos Gysis
2419884	340 TCN
c75726f628b1266e35b7e066668e56d4	Istituto Centrale per il Catalogo Unico
112518	Bóng đá tại Đại hội Thể thao Đông Nam Á 1985
144111	Henry Cavendish
531074	1396
3243191	Chiến tranh hóa học
f473d3c263b6a37f23823adaf6873853	Drau
3161604	Quận Bắc, Pohang
357286	Hiệp Hòa
39519	Trung Quốc đại lục
53764	Thể loại:Sinh thập kỷ 1730
39902	Mắm tôm
f8d1aa039b6db684efed7c7f0eccee78	Chiclayo
11244	Thừa Thiên - Huế
1908db1cde5ae31c79e208143a370e6d	Số thập phân tuần hoàn
50581	Trung Hoa Dân quốc
448918ac049c5c5478ccbc43a4381cfc	Christopher Golden
328f0b978322f726f28d280a022a3b62	Trần Xuân Trạch
123477	Giải thưởng Điện ảnh Hồng Kông
c07827a4e4efb439a2a346f379ea5b1e	Thể loại:Thành lập thập kỷ 170 TCN
07fc439ad01685b898d5b363f121dcda	Common Criteria
20540	24 tháng 9
4ec065891f29eafdfc8b01395967cab6	Belweder
38585	Nhồi máu cơ tim
2444467	Johann Gottfried Herder
1765503	Anton Wilhelm Karl von L’Estocq
b180dedee76372c6f8bff31eeb224b5d	Arbela
573800	Batesville, Arkansas
3700136	Phong Điền, Thừa Thiên-Huế
1337494	John Travolta
1edf945002480ed6664588d8194b7e23	Hồng y (Giáo hội Anh)
5661a43efb0d16b3e34697ec3db31a2f	Thể loại:Phá hủy thập kỷ 40 TCN
529373	1694
ce0229d5fed955e56d2ad63ad8f6b84a	Thể loại:Kiến trúc thập kỷ 1520
3198975	Nhạc nền phim
1439323	Andros, Bahamas
fd6314cd6facfa0e4f0f91dc8ff6b848	Dã Tiên Thiếp Mộc Nhi
22607	Ban Mê Thuột
69914	Anne Frank
304331	Aulnoy, Seine-et-Marne
3351438	2088
ffb588dc044378ee80cc49dd2efbed82	Bình dân (La Mã cổ đại)
42358	Chi Ngọc lan
4a859ab85b131873061126577109699d	Hồ Aral
3268504	Albert I của Bỉ
7a17cb47b1ac3e2f7f24afcc77d04ec1	Bartolomeo Columbus
422389	Carl Ferdinand Cori
3243	Sông Hồng
1523747	Phú Diên, Phú Vang
f1bb920632babd81ca553a1dd5e577b7	Maat
82595	Giải Abel
923345	Chiến tranh nhân dân
484140	Ngô Từ
541108	9 TCN
b6dd7775c89a31e9ade1ad1fcc799c04	Algérie tại Thế vận hội Mùa đông 2010
2190449	Danh sách thành phố bang New York
18405	Hán Việt
31832	Nathaniel Hawthorne
56942	Khâm định Việt sử Thông giám Cương mục
366516	Giải Clay
403013	Bernard le Bovier de Fontenelle
102de53d40843cfa6aee969c0b86c941	APEC Mexico 2002
5aaf0568bc7346842bac0249b7d2ac1f	Hải quân Nhật Bản
20087	14 tháng 1
530414	1446
402429	Thuận Trị
cb9fe15eb898ffabd6912cc6232d180e	Bóng đá tại Thế vận hội Mùa hè 1956
264517	Gia Định tam gia
809567160786df23dd4630afff140aff	1904 Democratic National Convention
045bf19e9f92d336e1a650df9f2d429b	César Chávez
83858	Danh sách các thủ đô quốc gia
c9cb6d863b01702166ea68c135d73a90	Robert Piguet
95c11f961a8665a5298c11f0db0f0793	Gazprom Neft
40041	Huyện (Việt Nam)
2451711	Iphigénie en Tauride
22359	Halogen
0cb372a55488d3dbebe54b0f358e06ce	Camelus sivalensis
397448	Hán Thuận Đế
528818	1715
c63d0af29aeecc5079884eb363dbb82f	Cờ Danh dự Liên Hiệp Quốc
68177	Tim Berners-Lee
11191	Bình Dương
e9fa30338c7209a9ed5a1378de8d4f34	Xerox Sigma V
c2b70ae47245dfc7b2b26a493b322a48	Albert Thibaudet
228756	Cung Thành (huyện tự trị)
91539	Mê Linh
3b3a99c7caca2bcbc92fd290a981503a	Nghĩa trang Old Bryan Farm
3208640	Biệt khu Thủ đô
d2e397d6722765a4df6665d68508acde	Geoffey Keen
679f2275f6e34dc1e8a9b8414574e8c4	A Bát Ha
726cbcf5393e1f3164c09c4d56ea4867	Bell Labs
c54b9ba7379458bc41b447411176977d	Võ đường
a0fed9ff2b4a35cea061747dc951d523	Death-qualified jury
484033	Sơn Nam
afe346f244bf518b7829114698e710b0	Gustavo Jiménez
4d3ef9a3ceb5440d7004d9b198e03c9d	Lý Văn Trung
1288370	Zakynthos
1244854	Hương An, Hương Trà
822689	DeKalb, Illinois
854cb1b2cd172ffa0e03a17aa32d0c49	Bacitracin
239766	Hội đồng khu tự quản
1446245	Atahualpa
63392	Hà Bắc (Trung Quốc)
33578	Hải quân
3135775	Trấn Tây Thành
3374500	Chi Du
529586	1572
e72724a910f7731f037862459e675605	Liên đoàn Lao động Công giáo
50927	Lịch sử Trung Hoa Dân Quốc
c4d9efc443602a08effc92cfd08e7476	Giao hưởng tang lễ và chiến thắng
1742194	Chu Quý
b7e65951403f54aea73e55548e2faa71	Asakura District, Fukuoka
72833	Dãy núi Rocky
9401	Java (ngôn ngữ lập trình)
883378	Trực tuyến và ngoại tuyến
2218837	Adly Mansour
0fac5065d9b65d1c053f81558c797831	Christoph Kramer
d8dac111289f0620d4065075ceb09e91	Gia đình hạt nhân
258723	Chùa Cây Mai
aa90a0c8851c53f3b65eddb91e93cffa	Giải thưởng Lenin
