63096e84897868d4d2c84009096589b3	Arabinoza
37327	Sông Hương
794158	Tương quân
52293	Phạm Thế Hiển
5669	Lao
107810	1902
be4b1aa6ed8fa88898bf116e071081c7	Thể loại:Kiến trúc thập kỷ 1730
392169	1834
618637	Huỳnh quang
5f7877a311278375888a3e9aeb5e0cd4	Anh em rể
529308	1658
816329	Albert Szent-Györgyi
332324	1862
2ea17e8de871fff58ac6c5a51f94c3d7	Amina J. Mohammed
7195	Chế Bồng Nga
58889	Thái Thụy
a4df4754bfe9e4f06a458bc660126662	4 Tháng 3
edf087660cfc8e0f1c5465fd74501b31	Cơ vòng
392178	1838
4119	Cộng hòa Séc
3120978	Ban Chỉ đạo Trung ương về phòng, chống tham nhũng Đảng Cộng sản Việt Nam
20085	13 tháng 1
fb98cee114482f767026f63b6cf01cfb	Black Brant (tên lửa)
41859	Lê Quý Đôn
d89adca2f48ef3d4dada72b828bf4ab6	Các đơn vị tự nhiên
e161524596891769a26bc7da81644b1a	Trận An Giang (1867)
213847	Chiến tranh Áo-Phổ
135994	Lục địa
24846	Nam Đàn
f1af5cc61784db72f8d6f812e2008e0b	Boedra
3549b5f8dc3aa1b678a71e147f35b8da	Liên minh chống Pháp thứ 4
86534	Bê tông
261976	Kỷ địa chất
1101683	An Nguyên Vương
107948	1964
c9e314c5efaefcef2e9e7ada055c96b8	Frontiersman
20200	6 tháng 3
92599	Thập bát ban võ nghệ
53453	Xiêm Riệp
827126	Kiryat Gat
157732	Chiến tranh du kích
205338	Chỉ Giang
ba3a0853cb9a4342dfde317b09753007	Báu vật Quốc gia của Hàn Quốc
40918	Malta
123110fc75010bd8e089b6e3fd74b768	ArmSCII
b09ff5a5ed2d0e2bb3caa13f948d9447	Thanh triều bí truyện toàn tập
529391	1663
bef286a6246666f474633546c90785b4	Cuộc đời của Shakespeare
7f51f8bd4843730d17782b36c59f1bb9	Trần Gia Lạc
530507	1497
75333	Quân đội
31543	Thế kỷ 20
cac01ffb09864275ff91ffaaf4b92426	Sóc vọng
ab1dc8b30def7043e35b760aca27146b	Galatia
63997	1974
813399	Chính Lam
3258456	Thời gian Unix
0576e3e2cb47a99cb03a1e1868fcdab6	Bản tín điều
192483	Hòa ước Giáp Thân (1884)
2bf76782270b993011c27b380e168b5a	Chiến tranh Sa-chiến
1222292	Loài ít quan tâm
20359	25 tháng 6
38762	Azerbaijan
1e2f52390de4a15d4bf5bbf5d97c87a0	Chủ nghĩa Kant
55136458990b35fda9f280aebaa51cd2	Lịch Bahá'í
543973	Tiểu sử
15811	Đông Á
132032	1898
371572	Fax
3469	Chính thống giáo Đông phương
2437414	Hoàng Hanh
76080	Nhà thờ Đức Bà
88a839f2f6f1427879fc33ee4acf4f66	2170
299b36070db583f6e401426a08840f3d	Làng Oeam
530193	Thể loại:Mất thập kỷ 130 TCN
7a18449ff549486bc6c597f60a0f06a7	Louis St. Laurent
5778	Giấy
ad9feba78ae01f3cbe728973a19ff067	Minh châu
bac80add22259f20c626860d4d302c02	After the Storm
5641ded5c6ae9a17a4f5a6653886e4ff	Alta California
146879	Trịnh Bồng
34099	Châu Ô
1747325	Paul Valéry
ecb3fda073760a993b5f90d30c3dc828	Ares V
183344	Di Lương
558873	Bắc Á
3424493	Bóng đá tại Thế vận hội Mùa hè 2016 - Nam
fe401fc1d7e6cd12ef7dafae7e8f3df6	Barrios (Buenos Aires)
531783	522
69cd42cf0c872939592c4d5c20534c8a	Danh sách năm
33583	Không quân
00b7877100487c58eb6214f3ff07d393	Aysén (vùng)
24978	Tri thức
cdb3419eb75f3ca2c12cad41e94e10e4	Cirrus Logic
7a757c124692d7e998a4f33f35bc7e54	Bóng đá tại Thế vận hội Mùa hè 1964
b6848f93b6b24bf01aee75dbcad39ef6	Adolphe Perraud
2426263	AIRES
395871	Frederick Gowland Hopkins
9f9a343d4d1aa40782a8acae95751eca	25 March
128805	Al Gore
d809ba17ca63b239d24b8eaf4bacd687	Bồn địa Gyeongsang
38304	Venezuela
57835	Ôn đới
1221134	Nguyễn Văn Hòa
f325c71cc3eba465d84a26811d5f5dad	Du khách
718ea2b70fc3d7be9057dfd4c795cc08	Carthagène
d31ad0f9a02675dc84327d17011eb7ed	Gaius Gracchus
86853	Bộ Lễ
133854	Du lịch Đắk Lắk
3427196	Ban Công tác đại biểu Quốc hội Việt Nam
94405	Dhaka
2261076	James B. Sumner
33007	Thượng tá
530437	1461
54045	Chính quyền Liên bang Hoa Kỳ
250093	Ahmed I
3605ff7aa0792f9a521be49f5b85e349	Lentulus Batiatus
67f8b372a8bee3cd88b73ddea15a28c0	Hà Huy Cương
d89f7913da224ddb2e72c4bc29414047	Người Valencia
67723	Bandung
14010	Chất bán dẫn
115830	James A. Garfield
4289	Quebec
633f58568ced4b44c3769fdd578b103d	George Sandys
1746223	Albrecht von Roon
102498	Danh sách hãng chế tạo động cơ máy bay
41275	Phong kiến
20135	7 tháng 2
042af2d4c263986747cf169bc91dae74	Chính phủ Algérie
28581	Joseph Paxton
bf7f523cc1834864895a4b027c286386	Thành phố tự trị
578426	Thập niên 1100
7e94481ed0bd77c61ff266a4ce48b0c2	Arawak
4613	24 tháng 4
1405986	Isle of Wight
5349918f3d48ad5358072aa38f7375f4	Adèle Berlioz
054f0cdaaaa0ef6150e1522a0a1484a4	A Hard Rain's a-Gonna Fall
375e4aa18e930f61c6b27f6e478ee56f	Chiusi
71413	Ajaccio
2451395	Anton Reicha
541684	Meerkat
61442	Người Tráng
69985	Nguyễn Phúc Cảnh
20214	14 tháng 3
250824	Ankara (tỉnh)
20589	19 tháng 10
529189	1549
829985	Azov
414765	Adrian Mutu
8e487b457cde245bc278787766aaa18a	Atomic Energy of Canada Limited
1aec1352ce6ef3669a17485fa394c817	Hốc sinh thái
110cff096c0cc06dbac876ae0cdc1d44	Số bát diện
28837	Khu di tích lịch sử Kim Liên
24841ff52bc981d9a5b98310f7fd3440	Bầu cử Hội đồng Bảo an Liên Hiệp Quốc, 2016
1242823	Bình Thạnh, Trảng Bàng
93bb84e5110914ae025593c40408ffc3	Tập đoàn Goodrich
377ae505bd96d2c4316198ab7829c985	Nguyên tố phóng xạ
6507	Phim truyền hình
22a7fd6cae1bf52fbba6fad6885a417d	Cờ hiệu dân sự
2356599	356 TCN
1f263c0a8f7afdd459eb00e468e23bd6	Artemas Phường
1279519	Thập niên 20
20604	26 tháng 10
24f7caf652ba951930366a1e9dc2809a	Thể loại:Phá hủy thập kỷ 1780
7455	Thành Hưng Hóa
3258720	Ionia
798402	Toàn Việt thi lục
8593	Múi giờ
0bd81555955ff72d40a7f2ca33ad4040	John Drake Sloat
44968	Leipzig
c06fb3903c22f0316b3f1199db668ef1	Bithynia et Pontus
46699	Lê Đức Thúy
800948	Bathi (huyện)
32852	Che Guevara
438325	Alfred Hershey
96842	Mãn Châu
9abc76763939d20ab8103a1e49c3c1e6	Fatimid
103120	Hoàng Liên Sơn (tỉnh)
588691	HMS Resolution
529582	1575
99962	Tổng đốc
024b2b790d6ae6c10804a2a25d2c2315	Dòng chảy
102100	Foot
d10e81cff05837553ceef73d70bde0f1	Bolognetta
e9a5656e88c69aa1dab1e88ca1302c84	A.Laborde
d29d52578031385be6987a58f515b589	Chiến tranh Dummer
520476	Chiến dịch Commando Hunt
292337	Rama II
5f3ff4c602cf8d9735a427c5045fc99d	Eggert Voscherau
9957	Hán ngữ
100f7508af618eb638bc2ff51de67104	Şahin Giray
00a03ec6533ca7f5c644d198d815329c	2184
7c417b150ecfea251de2e8daf16c823d	Empress Xiao-Yi
25620	Nam Phi
111398	Báo
106300	Francesco Petrarca
86848	Ngô Thế Vinh
17573	Đèo Hải Vân
446115098397e659a95f4ea5b2e093b2	Arbanasi
2286957	Bạch thoại tự
cd1fc5924853b9e275c19d60d9ae34a1	Early Lý Dynasty
1505576	Lâm Phượng Tường
92309	Vạn Tượng
644661	Nam Đầu (huyện)
530432	1458
810651	Catford
1279661	Thập niên 180 TCN
15355	Biển Trắng
3253857	Báo đốm Bắc Mỹ thế Pleistocen
99bb0ac12813e586482e9cc494b71f9a	Ana María Matute
123749	Pompey
903	Vương quốc Anh (1707-1801)
ed5229ee9881fa3d31f4899133ed62b5	Henriette-Anne của Pháp
76441	Không quân Hoa Kỳ
820792	Gloucestershire
488127	Andrea Bocelli
16330	Anadoluhisari
2786bf54d903d2b04f34ff56af264867	Ada xứ Caria
188475	Cổ Lâu, Nam Kinh
3175879	Alexander Oparin
48f69a566fb685f338315f78421b71a1	Biển số xe Ba Lan
528927	1761
9cea79285d57b9cd583382e838949549	Thể loại:Phá hủy thập kỷ 1530
2413930	Nam Baden
e96e3b381d0bd47f5416f5e4977ce79d	Phương Uyên
20281	16 tháng 5
1287610	Album tuyển tập
6717	Bình Ngô đại cáo
cfa1b2db54a4255ecdba69ebcb735c5f	Con hổ vùng Pilibhit
914	26 tháng 3
1c882809548a85d8c4eb02d28a6d4afb	Ký tự thay thế
e4ccd9a5e40b774cfced1514354b892a	Dấu phết
3c03c07ed2a57ff3b0e8304e4c376c12	Ngừng bắn
198219	Giacomo Puccini
bf1b2cf9965945018f1020c42ba5f217	Maurice Boitel
2ffe91fea51d401b8ce9f6d2404d0335	Dinh Cát
53593	Chủ nghĩa yêu nước
404659	Coppengrave
db426edcb814af3d6d8bbdc37f6c1cb7	Cái chết vì của hồi môn
461384	Aucey-la-Plaine
1251500	Phú An, Phú Vang
3273610	Nature (tạp chí)
7460668	Nam Ý
8107afed33e602794907e54aaf4a5a22	Georg Steller
144ec20b1c80b5f42285573bb470af23	APEC New Zealand 1999
461369	Baubigny, Manche
176235	Chiến tranh Nga-Thổ Nhĩ Kỳ
42d346f22274dcff52c108f28d8ac897	Ampersand
212850	Duyên Bình
455834	Giáo hoàng Alexanđê VII
c495480633846f5cd2f3b77eff0e768b	Chuỗi hypergeometric
cf320544e3416eca19bc9bdd15535893	Khổng Hữu Đức
196194	Bầu cử
a93312829ec4c71aac461cec296faa0e	Money
574492	Gottlieb Daimler
5301c09afe216fbdc5c65c343feaf392	Husayn ibn Ali
238323	Cao Lan, Lan Châu
62413	Gallia
782dbe84c2ca2064882f7a7be692e97b	Danh sách tổng thống của Chính phủ Açores
990eb13090186fdc9d6018e9aebedf8f	IG Farben
b7b48be185b66ccd2846947adcb946ed	Quỹ đạo hành tinh
1279650	Thập niên 70 TCN
522687	Białystok
ff10055d399f1068a1f3d2082c42f2f8	Kanbun (era)
470938	Aaron Ciechanover
2458002	Antonio Lopez de Santa Anna
107749	Henry Wadsworth Longfellow
558527	Bumthang (huyện)
a251034e2e674cbd1533b45da8696d06	Thân vương quốc Theodoro
402475	Biển Philippines
33986	Bùi Thị Xuân
333950	Diệp Vấn (phim)
797180	Bình Hàng Tây, Cao Lãnh
53736	Thể loại:Mất thập kỷ 1590
1b360861733a19d0226fe37915467d47	Jean Peské
11185416	Rockabilly
5eb419d20ba618874c14a2606ead6b7e	Kees J. Storm
5402	Hoa kiều
3291806	2022
2433	Isaac Newton
63328	1993
1bb9287c4cdfe449b07ea63457065f5c	Duchy of Teschen
3403673	Nebuchadnezzar II
1ec0af971d6506678bd2ab8cf0946b02	Eduard von Hartmann
53630	Thể loại:Sinh thập kỷ 1070
55fcab2c93588143d4c79dd17dd16e00	Nathan Boone
191820	Daimyō
84735	Cát cánh
9fd24ad62f0dfff0fdd6001ae57da43a	Bibimbab
78612	Hòa bình
232282	Granada
3642337	Alejandro Toledo
124058	Ban Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
405752	Chủ nghĩa siêu thực
1744346	Huyền thoại
dfe76b98a2d82ec1a996f51c688ae045	Bộ phận hoán đổi
103045	Đô la Hồng Kông
853	Anh
138c8e4a3e36b9e10c02299c7b0ab1fd	Minh kinh bác học
98323db1ba9dde96d6eaf77a47cb16e4	Henry Kater
3661657	Hồ Đắc Trung
b5a4c32df4fada81cb0f5bb4f3773678	Bamun
43d541d9b0c13edfc2824f4ae381b120	Bệnh lý học giải phẫu
150959166eaa6c0ad78f85c408c27bfe	Lịch Bắc Triều Tiên
398852	Vụ án năm Canh Tý
2f27c4c4ef839f954807b08c7a3a9515	Đạt Tố
16979	Bản ngã
6b8d4c3959fc32e462e64d6262fc5752	Atu Motua
76072	Kanazawa
129514	Bệnh đậu mùa
20537	22 tháng 9
d903a86924c843c3aaeefaba54caa3e9	26th of July Movement
b1e544b12b44ca21ec3b7a224be7df47	Hệ tư tưởng Đức
2462490	Bảo Chấn
21193ef9b1e180cecec75f8493d58976	Charles Ritchie, 1st Baron Ritchie of Dundee
a55b9518a76a1e886c84b106d1c87bd5	Thể loại:Kiến trúc thập kỷ 170 TCN
3642335	Alan García
234233	Lê Gia Tông
84ba681f0d421394f934145100436e55	Thể loại:Phá hủy thập kỷ 1520
1691	Hoàng đế
130161	Quang Trung
20646	28 tháng 11
107814	1906
63011	Ang Thong (tỉnh)
c59807d7a40d9e06b795d8668d6c046f	Rebecca Boone
529571	1584
120654	Henrik Pontoppidan
5460b6ec70bf29571ea8e98654cbe847	Cordell Hull
27305	Canh Ngọ
eb4e34a6adfcd75729777ce8c18e1d33	Chiến tranh Fox
250072	1801
94888	Cam Lâm
44867	Diễm xưa
968911	Đông Bắc Á
36696	Guinée
7aa87f9257b4f3caeafdcec51decf49d	Andy Grant's Pluck
794253	Felix Klein
e3238c09260acc87e18e938dd9725dae	Chính quyền so sánh
233e69710ae55dde15ce6d41c540874b	Andrew Nesbit Wilson
a9b12ad10d7ba85581de83ddda989999	Algérie tại Thế vận hội Mùa đông 2018
519303	Chu Do Lang
529358	1689
800486	Hà Tiến
32217	Jaroslav Seifert
189065	Carl Czerny
7b832aa71e126022103f1d3009c436cc	Macropædia
376887	Kokuji
71a686f98cbba2104fa7002185c39187	Chủ nghĩa Luxemburg
dbd694402be22715d6ea5acca653cce8	Council areas of Scotland
c0a63d371abf9bfa36315505411b1618	Chứng khoán tài sản
af0ef897018fcee61863a134cbb19bc2	Michigan Territory
490950	Chiêu Tông
2bbfebcb799c65f677b06cda61914dd8	Lương Tương
529742	1320
2414374	Bắc phạt
2989389	Bí thư Quân ủy Trung ương (Việt Nam)
580821	Salta (tỉnh)
1238742	Eo biển Madura
218353	Asunción
52742	Ngân hàng thương mại cổ phần Ngoại thương Việt Nam
517957	Alaska Airlines
38783	Nam Việt Nam
531e87726ddab2aa7cc2bfc6ce98ecf3	José Miguel de Velasco
245239	Chùa Long Sơn (Nha Trang)
571533	Buzen, Fukuoka
407270	Công chúa
91887	Nguyễn Phúc Chu
64742	Hà Xuân Trường
1681827	Xã của Pháp
7216421b09ea4c7aece430b4f360a827	Hiến pháp Bắc Đức
c62ccc8fa4d0d17c77fe38dd713aabb2	Bellagio
500049	Thủ phủ
35377	Arkansas
4a585f963d73f444817b276b35a2879d	Angus
35814	Cầu Thăng Long
2ab29e36b8d0e724684e3ab104ed84d5	Chiến tranh Nha phiến lần thứ hai
72557	Danh pháp IUPAC
23315	Cộng hòa Ireland
271ba186b5dde5c0ec34f40fad2e5df3	Chủ nghĩa tư bản toàn dân
53776	Thể loại:Mất thập kỷ 1780
12cab470fde03e72fd51085fcb3c0ca1	Epiphany (feeling)
304893	Video game
776142	Chính khách
129694	Aleksandr Ivanovich Odoyevsky
8bc9bb8dff09c1ecc2040140ecf1f871	Nucleic acid nomenclature
ddd9dda6bfaf0bb1525a8a27c3ee6131	2159
1252451	Tam Kỳ, Kim Thành
420276	Bengt I. Samuelsson
83929	Erwin Schrödinger
00e5367e75bac065cb81bde708ac46b5	Ba'athist Iraq
198028	Simone de Beauvoir
36347	Silesia
b981684e76659c3743b89d79e2525f58	Ngô Gia văn phái
da48f934a3c2a81bbff37cbc5d9827c4	Antonio Farnese, Công tước của Parma
a62ec7a51c2ac846e4acec549505a66b	Tăng Hoán Chương
418566	Thủ đô
3261009	Long Cheng
6842	Cách mạng Pháp
a63607a0adbc26bc32a075eeabc25a90	Khu vực Kokura Kita
450144337ee04c0b22de765c04b05331	Gerrha
6cb1c61210bedbd3d8291fdb8d531e3f	Ayrshire
731907d8a89f4cb633ed165579c32099	Jig
20544	26 tháng 9
530128	1128
f8fc05728e1ef0b3aec5e733fb902420	Chất bôi trơn
1684698	Cao Nghênh Tường
cbf88eadfa22d99eb31229c4d37b7a23	Al-Ala'a Al-Hadrami
40294	Triều Tiên
75284	Quốc hội Việt Nam khóa XII
369807	Anne Boleyn
bd406739912be72dd3b6f7026cfde999	Carlo Matteucci
92531	Công nghiệp hóa
141900	Lụa
2d5f1c0d5ca52a0e52ea612f4e1a645f	Roman Catholic
0653efa3cf4318245fbbcc2c427a0acc	Thể loại:Sinh thập kỷ 120 TCN
45051	Hiệp sĩ
025a37191a7ded3dac9ea473da620ad0	Complutense University of Madrid
2011	Sinh học
86012	Đồng tiến sĩ xuất thân
3353766	2092
74384	Banteay Meanchey (tỉnh)
1dbb1d4edf0ae2ae500a516186e018b7	Cố vấn chính trị
304329	Baby, Seine-et-Marne
846e0574d943bed56637e5ce994deb1f	Bộ pháp
88b24f5285ba9114202994b0e5c97b9c	José Bernardo de Tagle
53547	Cải cách kinh tế Trung Quốc
109988	Catullus
3142656	Basrah
87a03e8dfaee9a5fcde57c250a44b0aa	Chiến dịch tấn công Kowel
11680	Gia Long
20340	17 tháng 6
81649	Bành Đức Hoài
107888	1917
159981a18ac4d53cb109a1fa011379fe	1868 Democratic National Convention
3164532	Chu Tam Thức
20702	24 tháng 12
416555	Bilshausen
1446540	2017
107853	Danh sách các tiểu bang Hoa Kỳ theo GDP (danh nghĩa)
54675	Gia Nghĩa
229620	Eric Clapton
529188	1548
4d49b2665dd4dd920dd86ed2321b625e	Archibald Hill
047cbfd84a89562d1e6a5b5e99abb1e2	Tỉ số
630386	Liên bang Đức
6ae042c21c78e2b22982579725420b5a	Maryville
3169561	Hoàng Trường Minh
b7f648931e9794e14520f45d67319a83	Coriolanus (kịch)
529340	1678
2360340	Ahmed H. Zewail
3524820	Bắc Yorkshire
782676	Hosokawa Mitsunao
108463	Tuyên Hóa
3389208	George III của Anh
396852	A Farewell to Arms
145202	Nguyễn Ánh
ff0d35d7cf2e8fb905c0c6c52c78eab6	Azeris
4b75f5c36dbd60b8787d0b391eb2a3c1	Anders Chydenius
3fa6a3c7705d71c3fa005a7b831298f6	Biblické písně
1320633	Etimesgut
f0989ad614d737488ba261b0abd43239	Al-Minya
3f650dfd30853531203198b060f10a4b	BTV-MC Diễm Quỳnh
187211	Nguyễn Trọng Trì
2526	Tương tác hấp dẫn
606fe5ac0a51668819f24f5d3e9ab6ad	25 thàng 6
116700	Hernán Cortés
7e2e189bd560f2883ca59a4489e59d5d	Caronia
2b86555b29a9da48cf8d55c72f98bf26	Amalia xứ Solms-Braunfels
649610	Chiến tranh Việt-Chiêm 1471
821906	Phú Thái
140195	Sông Rhein
4732141ac670c65a72eff97ada7416f6	Adolf Menzel
6757	Khoa học
529010	1618
46886	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam khoá VIII
1249927	Kim Lương
3131413	Héctômét
488708	Alderney
b5258165ac7fafe0a868541f56f0e843	El Qaddafi
a9076cb50cc66a29e23dc6efd2ac95dc	Coptic alphabet
3181022	Giao hưởng cuồng tưởng
f8a419d6bbd81e550e1a7537b2f99bcb	Benjamin Harrison V
209f563b1f3df52cc4ac0351fdf91c4e	1890s in Western fashion
77946	Siêu hình học
9dc359d9f233c4d6d55d9af319eacf4e	Macroscopic quantum phenomena
3b923d9d99f4228612be3305c0fb2510	George Grigore
343852	Alger
850	Alberta
95ef37a8ccf8899c75dd739ccc92dd24	Chiến tranh Nga-Thổ Nhĩ Kỳ (1828–1829)
806599	Cống Sơn
524046	Hưng Thịnh, Bình Giang
420660	Hoàng thái hậu
b4c666a7ebc08532c6a801d408cc4fd8	Brabschütz
187684	1895
5459928475d67c6ab6d041d44e0e75ec	Charcoal
74acfd3f51f40c92fda1dd4ce78f2b99	Bạo lực đối với phụ nữ
0a48d846b1c730ac295e581e0e3c33d1	Châu Văn Hoài
529204	1564
705bd5aa5c60dedb961fae53ffcd6650	Edinburgh Festival
dc28f8e69c2ed1a72f7053f2616d25fe	Quân dụng
2365677	Camellia buxifolia
58a64cb842da4986b53093516d04d19b	Cải cách đánh vần
16790	Na Uy
ae1280868ff51e38d338c9700a55ae86	Andres Manuel Lopez Obrador
2235317e571a0a076343862a23378a0d	Miền Đông Hoa Kỳ
50434	Gaston Lagaffe
49658	3 (số)
842c74c71f47a717da88caa4459f8243	Andrew Huxley
528938	1785
830159	Canis
24567	Chùa Quán Sứ
366245	Balen
811079	Fortaleza
1242124	An Bình, Kiến Xương
57668	Thế kỷ 1
627961	Cao Cán (Tam Quốc)
d7a2ca50d32778fa5de7e1c21b517795	Bò cạp trong biểu tượng văn hóa
108547	Bóng đá tại Đại hội Thể thao Bán đảo Đông Nam Á 1969
528706	Long Island
47044	Missouri
60747	Lầu Năm Góc
86164	Danh sách máy bay thử nghiệm
7031	Nho giáo
69f0b2e030bf7e47b730f6f4d11c3d19	Dân số số lượng nhỏ
780861	Bát kỳ
3263341	Bóng đá nữ
2423260	Die Zauberflöte
ac0ade7faddb4713dcd15f1fa839a31c	Quốc huy của Đức
fefc608d0faa6554d8569f2c837212ef	Luisa de Medrano
186817	Quito
20408	19 tháng 7
62865	Các hồ tại Hà Nội
3ab3c136e0bb7b00506c9da8864acb61	Chính phủ Các Tiểu vương quốc Ả Rập Thống nhất
7ea46a938b7799d5575be539b1e6d830	Chính trị Giang Tô
f8e78cc91a7685cec6cb17bef2bd6a5d	Ban Chỉ đạo Trung ương về chính sách nhà ở và thị trường bất động sản (Việt Nam)
530403	1436
107930	1946
865202	Miền Nam Việt Nam
39158	Ám sát
341851	Sách Diễm Ca
2b8d032e6897449cfc7889aa1365efab	Yale University Press
196271	Trường Yên, Hoa Lư
61218	Atlanta
234067	Bao Đầu
1db2504c3ecf3a404151e74a5e128f6f	Thanh sử liệt truyện
3707951	Hệ ngôn ngữ
4d3b15ec8d8ab81ae62a662b0e86bb08	KulturNav
b88ce82d48328e27c23d63c9b36cabbf	Albrecht von Bernstorff
388184	1844
d37a670deca3027da3e8f5ec6032b260	Viện tiêu chuẩn quốc gia Mỹ
529376	1695
41185	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
192163	Eric Hobsbawm
8bf94bcb44f8439fe7067cd2549a6a5e	Bảng chữ cái Samarit
316321	Bán đảo Sinai
7982404	Nguyễn Khản
79dfbaa83aaa8bd552e8a100a8d90743	Chiến dịch Borneo (1941-1942)
d4dc5cd2b911c1dff6a327245a005b55	Thể loại:Kiến trúc thập kỷ 120 TCN
f0d18de1bf6b6377db844f90afe557aa	List of Viceroys of Peru
315803	Bảo tàng Hà Nội
9ae8cc80050ef2150ced4ad64d08dca4	Vùng thuộc bang Brasil
32969	Nhà Tần
1254108	Việt Hưng, Kim Thành
349410	Kim Jong-un
880598	Biển Bothnia
3179642	Anabaptist
113441	Murakami Haruki
995b29ee26f403d24f350a0f9ed3c362	DEA
3159918	Dương Thị Ngọc Hoan
578343	Thập niên 1430
bd5abf0bdf2ccf0f08138a794c099a6e	Autokrator
3081	Lịch sử
6f7537341845b1b538ebf263147c8db5	Bắc Hoa Kỳ
39f67e4fe437ab4d2daf7a5dfce0f21a	Marathi language
d28744fd3a2812dab98fc026c4174f5d	Boxing the compass
11709273	Công nghiệp hóa học
228863	La Thành
3696219	Orissa
66841	Diễn Châu
392235	1867
68993	Bengaluru
6550fd2ca5845fd54123e52743b9fb5a	Bát Bửu Phật Đài
541367	32 TCN
506498	Cử nhân (học vị)
5e3adebec3f50d8e071ef7fc164a4c03	Salsette Island
fabf118c02e65c2c24624d189d0dc307	Apollonius Molon
246815	Thanh sử cảo
3185412	Hệ thống định vị toàn cầu
42423	Lê Long Đĩnh
38320	El Salvador
20471	20 tháng 8
20526	17 tháng 9
128994	Thuốc nhuộm màu chàm
183372	Anatolia
5320	Slovakia
a84dcee38c17e5418ec17e84f2ec601f	Chiến dịch Crimp
187103	Lê Ngọc Hân
a64e214e481f7a655569d469e29f9bfd	Dupuis
4314	Toàn cầu hóa
1239142	World Bank Group
2ded2bdc7d43acbbb3d45661b6f085c5	Erecteyon
188960	Gia tộc Oda
388183	1843
eb4ffd1c1995b2c2f0af9f626b1fabe8	Buzomi
ab8abefeaa95dae40382a1ff1ee22085	Borsdorf
420653	Albert Claude
304095	Chūō, Tokyo
e43423d974f73ccd40b20a48b4d022d7	Axiom of countable choice
11204	Long An
782439	Plutarch
aa1ceac4a073ceac7ddc6fce23b875d1	Andy Townsend
c4badccb9172e1806a8041b187146f8f	Białystok-osiedle Mickiewicza
ab5ab46dcff54fc4847aa796fb5cc390	Bệnh viện Hữu Nghị Hà Nội
3939	Mô hình màu RGB
1f7793dfd572f1512b23628927bbdc55	Công nghệ giáo dục
478019	Vành đai chính
267231	Casalvolone
c9af3b6f602be55ab8588ad5298d9e55	Hà Như Sơn
84154	Doanh nghiệp
47564	Andrei Dmitrievich Sakharov
bb653cdc693a59df9af3b7d645cb7966	James MacCullagh
cb3ed989571f80872fa17d46f9c12681	Jan Zamoyski
3116850	Hồng Thừa Trù
586654	Tam Kỳ Phổ Độ
49331	Thế kỷ 16
1c1ff8db21cf79377f9930e6e6ff8247	List of sovereign states
540777	176
951daab47d702ce1ccb87c7021240e8d	Bóng đá tại Đại hội Thể thao đảo
df459b8cd9d20b260f4d74bccc9f9f52	Chính trị Abkhazia
416500	Lê Do
3372	Kitô giáo
445619	Tiểu đội
4acf189b875d5fc2294ff9616447b17a	Cường độ
119086	Bình Định gia
1244796	Hưng Long, Ninh Giang
800510	Hàng
416556	Bovenden
22f469b8ad8b63370904b7d48accb05c	Bóc lột
20406	18 tháng 7
529327	1699
17e766ca13e273cb69d47a5715c8b617	Arthur Anthony Macdonell
99288601ba6e441dc178be29cc6bdc57	Clarinette alto
812085	Giới Hưu
2459698	Aleksandr Mikhailovich Prokhorov
24101	Chùa Thiên Mụ
590203	James II của Anh
20123	1 tháng 2
320510	Chứng khoán hóa
301851	Liên minh châu Phi
24020	Thời điểm
392152	1825
79fbba414f0ec9d9a4ed22efc5fb18da	23 tháng tám
81441	Thời tiền sử
234122	Lê Chiêu Thống
1242120	An Bình, Biên Hòa
527132	Bạch đàn
c2ea5a68df650577c067c17096d4304a	Thể loại:Phá hủy thập kỷ 1890
45dd9f66f4a07dc43cd62455e25006f6	Thể loại:Thành lập thập kỷ 1620
c4d9efc443602a08effc92cfd08e7476	Giao hưởng tang lễ và chiến thắng
444407	Giáo hoàng Anaclêtô
2433508	Phúc Âm John
69a5650254e157d8ee749a78e48e3106	Axit aminopropionic
d50dbc70f0365f95f234da804b168528	Cuộc bao vây Thành Quy Nhơn
20116	28 tháng 1
66612	Burma
20267	8 tháng 5
119445	Aleksandr Solzhenitsyn
844	Manitoba
412b2c05d3793aa7f49c5a63eea9eb3c	Ali Pasha
540654	Long thành cầm giả ca (phim)
530451	1474
6abf7e0dfd06da57537e9c23edd7fa47	Hồ Caspi
96804	Camille Pissarro
75fdb6d7603bc09a1bb7aebb13ef944f	Công nghệ Eco
73a76baedfac261d363601c80c60e216	Clinical death
3349641	2113
1101692	Anh Dương Vương
d5bf9ae9134b4fc31311f4f9b58e22c9	Bút Tháp
62756a5c932d6176bd6a27ea99848eec	Antiquarius Quartet Praga
120661	Frans Eemil Sillanpää
1240f471f98b7a7c0df7e4526f0d88ec	Giải Quốc gia Liên Xô
809004	Andrey Vitalyevich Korotaev
ae9a2a33c5898d10ebad2a79937002cb	Edward III (kịch)
470b14f34ca13c90c334f533e5040570	Basque pelota
444071	Chân lý
1678972	Đảo Côn Lôn
81a27ac9f3cbe29d7041db29fc62b706	Charles Hatchett
