1519217	Curitiba (định hướng)
3b923d9d99f4228612be3305c0fb2510	George Grigore
304322	Bassevelle
308387	Phan Văn Lân
06e41b22385561866365ea8c9a5905ec	Công quốc Oldenburg
b4c666a7ebc08532c6a801d408cc4fd8	Brabschütz
187684	1895
796287	Ngày 6 tháng 10 (tỉnh)
0a48d846b1c730ac295e581e0e3c33d1	Châu Văn Hoài
062f5e57445deccac017f54bedf2b6b8	Gia đình 3 đời
2432026	Chó săn Rampur
58a64cb842da4986b53093516d04d19b	Cải cách đánh vần
935519	Sông Quế
348048	Trận Đại đồn Kỳ Hòa
24567	Chùa Quán Sứ
403372	Bộ Gia cư và Phát triển Đô thị Hoa Kỳ
366245	Balen
417544	Kinh thoa ký
4434	Hình học giải tích
1198	Khoa học Trái Đất
12424622	Hòa ước Thiên Tân 1884
fb8b5dcc914a4de34be35773ea27e9be	1892 Democratic National Convention
60747	Lầu Năm Góc
92999	Antonov An-72
75500	Wrocław
64bf5bc43870b9c55c11c523a1925825	Alexander Dalrymple
20408	19 tháng 7
3ab3c136e0bb7b00506c9da8864acb61	Chính phủ Các Tiểu vương quốc Ả Rập Thống nhất
d5bb2ace60ca2cef67b0a4a21da294d8	Alan Rudolph
31bd880551722984a83910473fde490b	AK-200
530404	1437
49650	Chữ nho
0561c236cb287e0b0725c2597dc69915	Desire
1295219	A Ba Hợi
194248	Tảo
95f29bb8fcc4c38d7fde5f39eb7efe2a	Bộ Tư pháp
5937	Cá chép
3960ab315cc8c79fb301f980def7a807	Công nghệ hư cấu
1db2504c3ecf3a404151e74a5e128f6f	Thanh sử liệt truyện
71038	Cantal
388184	1844
251096	Chương Bình
3186042	Encyclopédie
41185	Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam
8bf94bcb44f8439fe7067cd2549a6a5e	Bảng chữ cái Samarit
316321	Bán đảo Sinai
750d35ba472a29b00edabe5aea82c581	Friedrich Christoph Dahlmann
7982404	Nguyễn Khản
79dfbaa83aaa8bd552e8a100a8d90743	Chiến dịch Borneo (1941-1942)
f0d18de1bf6b6377db844f90afe557aa	List of Viceroys of Peru
315803	Bảo tàng Hà Nội
540711	228
880598	Biển Bothnia
359099	Hünxe
1765557	Alexander von Linsingen
d6ef544adf4f70749a2ed3cbd6c8ebb7	Dagger (typography)
399904	Hòa ước Giáp Tuất (1874)
bd5abf0bdf2ccf0f08138a794c099a6e	Autokrator
235405	Dịch Môn
39f67e4fe437ab4d2daf7a5dfce0f21a	Marathi language
0523658c5ef2b45fa0bf971bceb6ab6b	Chủ nghĩa duy tâm thực tiễn
2998	Bacteria
66841	Diễn Châu
640940	Bình Lư, Tam Đường
392235	1867
541618	177 TCN
565144	Ardesio
25174b177bc5fb7c2f9c60eab7825e1c	Antoine Gizenga
825380	David Lloyd Johnston
2459478	7 Iris
06ed148d4e6fd5a308e2cddd8878e6b0	Système universitaire de documentation
5e3adebec3f50d8e071ef7fc164a4c03	Salsette Island
246815	Thanh sử cảo
3403547	Sáng tạo
816991	Nam Tây, Đài Nam
20471	20 tháng 8
20526	17 tháng 9
5320	Slovakia
12041721	Bắc Tề Ấu Chủ
2384980	Lagerstroemia guilinensis
1239142	World Bank Group
30106	Cơ vân
188960	Gia tộc Oda
f7d8cdf7d102c360e32e6f7019a2cfc8	Artesonraju
ab8abefeaa95dae40382a1ff1ee22085	Borsdorf
11204	Long An
3642617	Danh sách trại giam ở Việt Nam
31318	Marilyn Monroe
256887	Asiamerica
ec61be3e2f08d805d75b29043394c1df	Al Ain
529156	1515
552a77055d86f656908eb71dc032a599	Les Dirouilles
383738	Hán Cảnh Đế
32223	Norodom Sihamoni
dc102c69be5767ae85404892007791ff	Huy hiệu Tobago
2461257	John Dollond
47564	Andrei Dmitrievich Sakharov
63185	Cánh đồng Chum
3116850	Hồng Thừa Trù
586654	Tam Kỳ Phổ Độ
1c1ff8db21cf79377f9930e6e6ff8247	List of sovereign states
540777	176
578640	Himalayas
3372	Kitô giáo
f0a85574be33efd30e7eea1810ee83eb	Tiếng Bemba
260052	Lotf Ali Khan
22f469b8ad8b63370904b7d48accb05c	Bóc lột
ebd73b5dd7a5ba7d0557986f649e6174	Henry Eyring
0333f8c54766bcc46a01607bcda49240	Hiệp cốt đan tâm
6c06112968f35d26d4c81cd404c5695e	Bùng phát
193172	Hưng An, Hạc Cương
2459698	Aleksandr Mikhailovich Prokhorov
590203	James II của Anh
86225	Ga Đà Nẵng
23575	Tôn Trung Sơn
1244642	Hoành Sơn, Kinh Môn
1422472	Buồm
119285	Isaac Bashevis Singer
450c9ed3e68cc09807fffab2937a10a9	Xã Đàn 2
213225	Giao, Dương Tuyền
20116	28 tháng 1
ddd060245bc1a048662f32b95ea0a27d	Boerboel
119445	Aleksandr Solzhenitsyn
416940	Andrew Carnegie
51929	Nguyễn Khuyến
3349641	2113
c991c0fdfe45fdede10ec07d425ab7b3	Union List of Artist Names
d5bf9ae9134b4fc31311f4f9b58e22c9	Bút Tháp
230551	Hoa Đình
11baf8d3862ba34ccfd6cdc8c2f02985	Bunka Honso Radio
c0f70de6dbc52a9e8c2feab42d10acf8	Cải cách chữ viết Nhật Bản
1240f471f98b7a7c0df7e4526f0d88ec	Giải Quốc gia Liên Xô
ae9a2a33c5898d10ebad2a79937002cb	Edward III (kịch)
823427277c4876fd055d535411b2e337	Bảng chữ cái La Tinh
1b90df61d953c70751ebe38a58e53a44	Buenos Aires (tỉnh) tỉnh Buenos Aires
137208	Các bài sonnet của William Shakespeare
553806	Akhmed Zakayev
414002	Anderlecht
34271fbfd8e7d8f79f6df4355b28e7db	Camille Claudel
1750311	Buddy Holly
388013	1841
69bb894ed7a874eb262b697d5ee68d2b	Dương Quang Đông
6bf116b679bca95892984b2b6cbfb132	Madak
27737	Ghana
419266	Giáo dục khoa cử thời Nguyễn
3d57ec044270d9c885afaff615e2508f	Adewale Ayuba
5630	Bazơ
186468	Cách mạng Tháng Hai
83484	Bộ gõ tiếng Việt
69449	La Fortaleza
193251	Ankhmakis
15247	Bảo Đại
44251	Sáng chế
337887	Liễu Thăng
6385b83b6c2e57b7347540e0fc4d0827	Bloch 220
576685	Chủ nghĩa chống tư bản
2eef521576f8f539ce86d21239edf773	Dike
444653	Giáo hoàng Pontianô
9a621d3b0ebab95a31459c288ede620d	Chỉ huy
141020	Ben Chifley
3da34e21b21c374c53e682f68a3f9a6a	Huy hiệu của Campania
6780	Nhà Hồ
b92bbf3ad58f1279282e6e2fa0e9d623	Algoma District
278867	Thuộc địa
808534	Ho
529237	1625
10323270	Hội đồng Quốc gia Liên bang
90dc4b41fc070c5c43e787c78f99bd1c	Cairo, Egypt
645e2a09ce15cb226b0f54cd9e018deb	Phosphorus oxychloride
278aa96a7a7460566f64b163c6cdcbb6	Ujiie Imagawa
53772	Thể loại:Mất thập kỷ 1760
3427762	Adele Live 2016
31431	Luân Đôn
25824	Động vật
2437414	Hoàng Hanh
29589	Chu Văn An
581437	Ceará
dfdf7a57fe1056a3ab70c38a02a5256a	Critique of technology
6fc3d1686e8c85af4386a76736130e0c	Hiệu kỳ của Puebla anh hùng của Zaragoza
27736	New Zealand
3207646	Bò rừng
372460	Jammu and Kashmir
3cf3e77b78272a807d4ea82d9cf7eaaa	Gukja
404662	Duingen
104886	Tel Aviv
b3c55acf745a6ecd2dc9373cd6039672	Mulhacén
7558	Màu cơ bản
ed29974ec28fe1a6c4ececdc56fb25ed	Kinh tế Phúc Kiến
ab8bc9eece995235b4c9ce67e7a18857	Borča
21f1ae599a8206d65d73136253cf29f6	Bruno Rezende
fb227d14dc51c8a46551fcec4c18408d	Arthur Evans
367eb9dcba0bd131823a6b4837fc27f5	Anti-Western sentiment
27ea4938fa471d58e346df812d0fd187	Asociación de Scouts de Honduras
3049b99cf70c3e669b4ee734a5b77010	Đối lập Cánh tả
216224a32ee8c2ff2a089b135a2f2afe	Basset Fauve de Bretagne
109957	Cẩm Châu, Liêu Ninh
d504b83cf9437ebc2fb22e449ad08097	BIBSYS
778110	Albertville
2019	Tế bào
144903	Danh sách máy bay (N-S)
e60757289b5d900af8a7599c096d1a9b	Eastern Front of the Russian Civil War
25814	Góc
528480	1704
270255	Ibiza (đô thị)
51e6ee010160e7f685158c0cb437acc2	Giấy phép văn bản FreeBSD
2195341	Chủ nghĩa xã hội mang màu sắc Trung Quốc
567308	Chủ tịch Thượng viện tạm quyền Hoa Kỳ
3389417	Dân quyền
0485bff3f9736242b39abb6f7d84ae75	Danh sách máy bay thuộc Không quân Israel
c48941c722a83476dc51f61b217e4e8c	Brita Brilioth
3240335	Dan Quayle
3253846	Báo hoa mai nguyên thủy
6096fcd0c2f20424c63cd4d17463c619	Broadland
5f9557427f2aa4bb5153aac3a953e28c	Furuta Shigekatsu
48502	Hoàng Đan
106066	Frédéric Mistral
b93305c7bc003b8f762f9bda41dd6e95	Chuyển giới tính
01300c88f468047cfd2812c9a37b1d94	Madabita
dc1da392a9b0a4669bf0cc9f07c20c58	Hackney
733410a6a5708828f54777751ef28390	Al Lith
61a5fcfd5c17014dcac10ce0bbd245bd	Dinh Trà Bát
fc7c7d7ace789dd4e2f79dbcd935672c	Giải Giller Prize
101332	Helen Keller
14557	Protein
47432	Gan
f3df9a36ec44a24922ac13bd92e8286d	Cerveteri
35d430aca7cca5bba04e08d5db07d7ba	Bảo tàng Khảo cổ Quốc gia tại Athena
104566	Cam Ranh
32058	Hậu môn
14921	Đan Mạch
9c78d7b83810b89d0425252fbb80e2a9	Các phát minh của Tesla
7795616	Ngô Sĩ Quý
e4e6493b19d41ee99ca1732de29e531c	Rowan Williams
4abe7778495079c43c9960a7ce4a4626	K.A. Nilakanta Sastri
114170	Nguyễn Quốc Trinh
7634c103b5748272ec8db3a1e6dd81bd	Môn hạ tỉnh
06ceeff180ecc4b7166eb00688ac0ac0	Nguyễn Xuân Chân
5815	Hydrocarbon
104605	Gabriela Mistral
36266	Johannes Kepler
19482	22 tháng 11
5c033bbd024f0de5be6e725a91da5248	Jarosław Kaczyński
ef5f2e7856e5899dc28d09ef576c511a	Brindabellaspis
343551	Diệp Văn Kỳ
83608	Lê Nhân Tông
2259968	Công nghiệp sáng tạo
8948d8d074d2d6df09f4bb78a64d1cd8	Kiến tạo địa tầng học
b3c7d7321c3bd258a2f478a16e40647f	Cung điện Hoàng gia Turin
1244867	Hương Hồ
39837	Sông Trà Lý
3290307	Khải thư
23699	Văn học Việt Nam
1321105	Selçuk
97158	Lãnh thổ
318af1819cee55ee5e98e9cb7cabed25	Chiến tranh Anglo-Zulu
1440826	Bảo tàng Pergamon
45554	Bắc Tống
e7a1fde9e01e9ad1b144f1f0489c0b80	Hiến pháp Ba Lan
81e223604db1a13380f1660be406578c	Thể loại:Sinh năm 1905
f04b989994681aa22ec8720e1b358efc	Văn hóa Âu châu
cf7b78f1ef16b188e8e62ca2d4c81b87	Chủ nghĩa công đoàn vô chính phủ
58395	Bakersfield, California
33158	Chămpa
774344eb0604d1794669a59e5fbb59cb	Sông Golygina
53937aa41e5f8db1c3ab5a5fb252ec55	Danh sách sông ở Colorado
16173	Cà phê
d326cafd0a65f3dcc7d6f4164e91170e	Chiến tranh Độc lập Chile
67958b0b874d24a812ba8242500a72a8	Đỉnh Waialeale
1242981	Cẩm Văn
6786	Proton
4677d36f35772b58050714feef0f3312	Hữu ngã
7e02383eb9a522c66bf3d44b157817d0	A Thanh
816971	Carrara
41893	Bức xạ
0f84dc9a85b6cb2059fe6a9bef9cced9	Beauvoir
3349294	Bernardo Bertolucci
3511260	Bang Lucerne
375318	Hồ Chí Minh
42033da2a2cf1ba4044851c7d5fbf567	Kỹ sư cầu cống
402640	Giáo dục khoa cử thời Mạc
69405	Augusto Pinochet
318608	Chiến tranh giành độc lập Thổ Nhĩ Kỳ
530125	1125
1f7db089439c0702f68ae186372022d5	Gia Hòa (hãng phim)
27219	Nhà Lê sơ
0b8f9002abc3defc54a2bf072743f0f9	Daena
1253846	Trường An, Huế
59e43e2359c26d02fb6a5edf2a0436a4	Air Japan
2331954	Nghị Tông
137378	Đền Voi Phục
ee22a9b486b442beda2ea1b8c7c3e97e	Digenit
3392569	Chiến tranh Tây Ban Nha-Mỹ
0b89edab3a4dcad64c262d83f3bf917d	Bremen (quốc gia)
3425166	Bóng nước tại Thế vận hội Mùa hè 2016
5749da31df68342338ea07ebfa9a66a2	Bầu cử liên bang Canada, 1911
20421	25 tháng 7
ba0922eeb6279e56b1416a2fe41873f7	Danh sách các tàu ngầm của Pháp
a07d9a1f4a8d0af8bc462498929a352d	Dan McKenzie (geophysicist)
fdba0289113ea27069349eff510dc682	Charles J. Bonaparte
1478432	Ourém (đô thị)
643952	Cách mạng Ai Cập năm 2011
d891b42f5dc21eba2922334042e0f595	Jerry Goldsmith
341208	Auguste Pavie
1244547	Hòa Trạch
528918	1752
230380	Bắc Thần
27211963f7a7049e503292c540849058	Chúa Giêsu trong Kitô giáo
529302	1652
3135	Thái tử
2448787	Belisarius
0b9fedc28f9d7cf1c576cb11753119d4	Phép chiếu bản đồ
441405	Nhà hát lớn Hà Nội
5c38b4be266a745249d1bc627cf01b09	Chiến dịch Nguyễn Huệ (1956)
225498	Cù Giang
d5f3f2218ed2f521c88f95ec37648e69	Chu Thường Kỳ
253836	Uqturpan
112552	Bóng đá tại Đại hội Thể thao Đông Nam Á 1987
644652	Nghi Lan (huyện)
96bc4d2de91af50958228aa8d683422b	Channel Islands of California
3634789	Phát triển
1265773	Ao mặt trời
813489	Niên hiệu Triều Tiên
643321	Bal du moulin de la Galette
0d71b822c3f5f197ab4f140db40a51d3	Heliopolis
52906	Tam Á
ceaf2965b96200f8d6a82b56c9818769	Cưỡi ngựa tại Thế vận hội Mùa hè
ec5c69ca57d429388a04f5f9d59f3cf7	Bernardino của Siena
820936	Lancashire
2446a527f1f9cd6675f141530be4d46a	Góc lìa (thiên văn học)
1f682a2544b6bf24ccfadd3c0ef2bab6	Biển số xe Thổ Nhĩ Kỳ
3683197	Bức xạ hạt
407855	Lụt
3c3e2c30b7516260c15e20bb444e3e11	Định Hưng vương bình định Giao Nam lục
570602	Lubbock, Texas
d74d89ecd100fc3bc25e19223aa2005e	Dục tình trong thơ văn William Shakespeare
1e2f52390de4a15d4bf5bbf5d97c87a0	Chủ nghĩa Kant
49622	Lớp Cá vây tia
3337049	Hệ SI
125722	George S. Patton
203105	Thập niên 1910
392212	1855
307671	Calvinet
349168	Chi Mộc lan
455826	Giải Cole
81836	Thất nghiệp
543031	Tuyến cận giáp
569095	Carson City, Nevada
a87320959c50080f181a0222c9a375ef	Chủ tịch Hội đồng Quản trị
84867	Chiến dịch Cedar Falls
530082	1149
3663374	1944 (định hướng)
240592	Bùi Hữu Nghĩa (phường)
505254	Olympic Hóa học Quốc tế
3349385	Austen Chamberlain
40069	Cao su
567153	Tả Tông Đường
45232	Đường giao thông
beeb3207fedd788573fa37e81a191e11	Liên bang Peru-Bolivia
2214	Chăm Pa
2361701	Hán-Nôm
296581	Bộ Công an Việt Nam
e0b92715c7d0f8480ce5a95a3ca7486f	Bính âm thông dụng
486554	Cuộc phiêu lưu của Alice vào xứ sở thần tiên
3703974	Chân Yết Thanh Liễu
492f0a3bcfef3a365dd9d346532653db	Lại bộ thị lang
ea25ebd5f048042207525b459418330b	Tầm bay phía Đông
cd070f77b4b285396d1927a32c4212ac	Bảng đá Narmer
11531488	Ahmose-Nefertari
10147493ef1998dfda5249fb8f64f7db	Edmund F. Robertson
857f94f5ffbb3263b362295ec41a7e95	Cuộc bình định Bắc kỳ
ab48c5f5d0679dae64e56318131192ca	Dakahlia (tỉnh)
102806	Air Canada
2414264	Arieh Warshel
ad6224179e6a42bd3f6d5ead851f6e92	Arturo Illia
581422	Alagoas
0f0cb209620d7d184aab74740a59e462	American Journal of Physics
a75535d333d3f7ad5af331d80b1a4ef1	Bầu cử liên bang Canada, 1949
82b5c710b7a7bae1970efc52a9606d85	Antiokhos II
4d9ee5595ecbcb607a017ed8dcbf669c	Ayyamna al-Holwa
260681	An Hòa, Biên Hòa
540506	313
32cfde7a831ef096238c04587949e737	Triết học về không và thời gian
238471	Dân Cần
265844	Danh sách đô thị tại Quần đảo Balears
74922	Đạo đức học
12460	Hàng Châu
92f45c431d399a732cf939a7591e8e60	Hiệp ước Charlottetown
e3a446ebcf69cfeed7919d1bd52094d7	Châu Mỹ thuộc Anh
c9fdefd6ab745d14350a3a828ae065da	Tổng thống Tunisia
9c9f94c6abb16ae0c25da38bc2fd78b4	Cồn đen
4e78a3a5d6716afafa5b5c86f4d13740	Cladogenesis
9e701c338a624f2e42993295824d6598	Biochemical Journal
807634	Mendoza, Argentina
6a45bcbdfd8d992b4541281497ddf994	Bangar, Brunei
664194d0806d82300754dda3afaf8509	Akrotiri
751d7543166861e32eb79f61bec2f824	Bảng ký tự Hy Lạp
12df730834755a531d27a9710f1ebcd6	Xét nghiệm
230161	Selim I
416563	Nguyễn Sư
21930	Furan
383823	Bashkortostan
646581274cfa4fd0645d359b297bb8c5	Blithe Spirit (film)
270622	Blessagno
727999d580f3708378e3d903ddfa246d	C8
5fa78d7683804717f3b9fbbe896d68ae	Chiến tranh giành độc lập Mexico
131d3269049a243d00deaf05b6f46e6b	The Golden Bough
588021	Công đồng Vatican II
28e80b527f9d291342da303cc2938931	Paul Raskin
3173715	Hoàng Cương
373045	Leuven
206005	Minh Đại Tông
27633	Người Khách Gia
92992	Chế độ chính trị
25521	George Washington
9d888c6a968e76e3426cf7fe7229a0ec	Nghiên cứu truyền thông
3176354	Lisbon
94191	Anaheim, California
527235	Thể loại:Mất thập kỷ 10 TCN
475911f540387ac6f36dd5160ff832d7	International Council of Nurses
5d5bb837d61881ef5d52b403ff70e44b	Đại học Aberdeen
8075cfba66fdd3d0a9d5f2eefcf8a591	Linh tiêu
1000949	Hàn Thao
26e09cd4b0e249de7dc0a23112259c72	C. Paul Jennewein
c59b4ad70c4cd1a0c2b52c1cf79ba4c5	Bệnh viện Hữu nghị Việt Xô
2639	Atô
bb52d38ebde276f2421900a267c92dbd	Maria Amalia của Saxony
191604	Institut de France
407529	Chiến dịch Trường Sa và các đảo trên Biển Đông
531068	1390
a934cb843ae0d6ae1cc1813acc77bc6c	Cuộc chiến giấu mặt
30870	Hawaii
97703	Kinh doanh
2205870	Iris atropurpurea
265520	Antegnate
2460620	Bộ Ngoại giao (Nhật Bản)
54934	Hà Tiên (tỉnh)
46	Bộ Kế hoạch và Đầu tư (Việt Nam)
20176	25 tháng 2
df3fad8e83557b863716d081f35191a6	Alfonso d'Albuquerque
53711	Thể loại:Sinh thập kỷ 1470
3410089	Triết gia
e5e361d2c3efa79458d04fe9c482a0fb	Aimée du Buc de Rivéry
5fc1ec68caa711cd355a95e321a1e9f7	Thể loại:Kiến trúc thập kỷ 1940
543969	Từ nguyên học
1244864	Hương Giang, Hương Khê
86909	Phan Bá Đạt
9cdab8d5126702027ab8bcc4db427a64	Bomdi La
1487721	Bút
48ecb39ce6a963faa46be436cd120218	Tổ chức DOI Quốc tế
acd125814dcb8f22f79b79850ff5c8d1	A.A. Milne
a25326470dd47ee62966459c7a1eb9bc	Hernâni Donato
3210076	Sân bay quốc tế El Paso
d266817bef41b2e2c67d04b035dc1c1a	Bóng đá tại Đại hội Thể thao châu Á 2018
bf9a75328da5268ffd9d415c330bb42b	Tập tin:De-Anschluss.ogg
d9b2b069afaec614aca0bdd1682d4835	Hệ tọa độ Decartes
288794	Mai Xuân Thưởng
578403	Thập niên 1010
313774	Robert Mundell
8b2c5fc64a599d39024a8783f18765da	1896 Democratic National Convention
4febebb737edd47f5a07cd1b29fc5b83	Covington, Kentucky
3229697	Danh sách Giáo phận Công giáo Việt Nam theo diện tích
3220160	Bảng mẫu tự phiên âm quốc tế
823455aac1f72ce9e8d4a0bc1570cbec	Biểu đồ Pourbaix
236ba3276624a0a6f27d66d954a33df7	Carina–Sagittarius Arm
ee659d7a0730a82d7ac9622749b71095	Ban Chỉ đạo Trung ương Cuộc vận động Học tập và làm theo tấm gương đạo đức Hồ Chí Minh
d88e2c51cc2b6af1a7ac619e53847380	Andrew Moray
803ff43d157b6234c87011e4c7e8dd67	Kính thiên văn Khổng lồ
c256bd2726fef33873cd21bb4cf93b94	Apostolat des Éditions
11240	ISO 3166-2
e4f5648f5f156952f0538f883712c797	Chính thể hào hiệp
359401	Lăng Chủ tịch Hồ Chí Minh
ef80bfb8871d3b9b0ace561f221f2780	Arbre
631dea7fa1a6e2984bf725721de07b3c	Eiroku
301119	Gương
c3592878f89c605006c2f96b4437ab0e	Rashi
151708	Chiến tranh Thái Bình Dương
b0492085fd37b6e2fbeefa137ce5340d	Bộ binh Ohio 42
65e6c3cb73069797a03ca7cd53551eed	Archduke Johann của Áo
107896	1926
94325	Abu Dhabi
108587	Lâm Nghi
3211880	An Nam lai uy đồ sách
149736	Giáng thủy
3402791	Cao Ly sử
59528	Bác sĩ Zhivago (phim)
811457	Hỏa táng
93234	Hiđrôxít
f46372e6508d026baf7e3ebad7a80b20	Ceremonial dance
71994	MiG-15
b7f30c0c62ecd275a854df7bb24d9366	Chính quyền Illinois
112817	Bóng đá tại Đại hội Thể thao Đông Nam Á 1989
193205	Cao Tông
17572	Hầm Hải Vân
1320446	Bergama
1746859	Augustus (danh hiệu)
58169	Thú ăn thịt
87f7789d2e4ac2583790268380a7f6c2	Charles C. Campbell (Đại tướng))
36304	Lịch sử thế giới
55c8482141cc23eabc6efdff68d5b1d2	Yard vuông
3149640	Bắt cá bằng tay
3687295	Bogdan Borusewicz
e773874301673da11202e14a3548c2fd	Caroline Matilda của Wales
3351439	2089
1254518	Xuân Thành, Nghi Xuân
794550	Cộng đồng hải ngoại
3264130	Chi Bạch dương
12486016	Chiến tranh vùng Vịnh
198219	Giacomo Puccini
21321	Thể loại:Mất 1459
6a711312744498cb014ce732222d3cde	Easton, Connecticut
1241744	Thạnh Lộc, Quận 12
1264091	Đế chế Đức
b9631bc42c2f3b366a811c025599c830	Da trắng
3125326	Bức xạ vật đen
7a94da00671055d47799cf8e96d46ce3	Trường Marischal
203cda15e70645c85680c739aa86aa94	WinFax
234339	Gia tộc Nagao
7236aa28f4eabe57d4c006d866ed5a33	Domenico Giliardi
072a1c532b5c58fd2a41e1c2d13d34ae	Erik Stensiö
fe9faf360e46cc61f8d1f268ad726436	Baħrija
387965	Adolf Otto Reinhold Windaus
1915a9b5a69d891d780831c7d38c6d33	Cadbury Schweppes
fe27aa0e21ef5c11b2f49cf75edd9c1e	Bộ Hông chim
d6a174b2b54f961045cd4556ee7cb8f4	Buddhist calendar
c423e46f916060b14d6f40ab532df618	Felix II
532122	424
540731	201
796	Tiếng Anh
3250747	Andrea Palladio
ee9eb2abcfd6c74b04f236340814aac7	Castra
113551	Hình ý quyền
1243960	Ea Bar, Buôn Đôn
32561	Kiến trúc Lưỡng Hà
954	5 tháng 4
2843aa5a15a42dd7f4eb61f06be07c91	Aleutian Islands
41662	Các Tiểu vương quốc Ả Rập Thống nhất
20448	7 tháng 8
ae0a144c5aa85c5cc6b9cc6fec6be529	Elisabeth Olin
45075	Cologne
048634248f3213654d5aed67625b30a4	Bản niên đại của kịch Shakespeare
532172	434
139353	Người Thái (Thái Lan)
530180	Thể loại:Mất thập kỷ 100 TCN
c0add32fe802dc05fed5210abf447bc0	Conscience in Art
d3fd0d5e86b7705671b0af1173a032e1	Trợ cấp bệnh nghề nghiệp
20489	30 tháng 8
998d395a0ac7bc7e5bcc0e528ca02e19	Thể loại:Sinh thập kỷ 40 TCN
52fa6fd754d674dbb4c5659ef4204740	Kiểu điểm dân cư tại Nga
7d264ae2ba9e4567cb028f8cd360bfcc	Aloha Air Cargo
446115098397e659a95f4ea5b2e093b2	Arbanasi
7657	Họ
328669	La Hầu
31387	Người Tatar
1396fecee27905fd10e973e23d45258c	Al Ghassalah
1ed37e86cee9da62c1ae201d56a5cef0	Duchy of Jülich
02034d87a197f4309c88870b4e378cb1	Thể loại:Kiến trúc thập kỷ 20 TCN
406729	Lịch triều hiến chương loại chí
8bfd0230604aa818c9691a02b16fbd29	Pierre Balmain
43233	AIM-9 Sidewinder
405731	Art Nouveau
490725	Dần
22732	Thymine
524d36ba3b19a3c6a8d156eac7db6c07	Gotha
88ba659bfd94d50b6de63e0111cb4ca5	Afonso, 1st Duke of Braganza
1409251	Chaim Weizmann
de3d472304ea9e4c251660326fd14c87	1912 Democratic National Convention
31229	O. Henry
557736	Đế quốc Thụy Điển
20274	12 tháng 5
211101	Bảo Thanh, Song Áp Sơn
299501	Assenay
493403	Biến động Miền Trung
7505637	Bão tuyết lớn
1717237	Claudio Monteverdi
196191	Lữ đoàn
510183	Hoàng Tùng
405634	Chùa Hoằng Pháp (Thành phố Hồ Chí Minh)
b7f648931e9794e14520f45d67319a83	Coriolanus (kịch)
38296	Colombia
798620	Cổ Dũng
787290	Người Séc
3298122	Khí hậu bán khô cằn
2360330	Ahmed Zewail
82673eb1037bf88c4b0166ed436a3136	Butuan
4a16fa188914519b400903521b297a4f	Acvila Air
107807	1900
20396	13 tháng 7
253961	Harenkarspel
a64e214e481f7a655569d469e29f9bfd	Dupuis
52947	Vân Nam
7ba37fd168c5fec27bdf247e38c8b156	Bầu cử Liên bang Úc năm 1998
bdde2eff9f663f906df234b20473f6c8	Adult Swim
bb653cdc693a59df9af3b7d645cb7966	James MacCullagh
63651	Quý Châu
98431	Portland
243218	Harun Al-Rashid
60512	Đào Duy Anh
294591	Béjaïa (tỉnh)
20094	17 tháng 1
406361	Sông Tarim
66052	Cư M'gar
0ce3c699b068e24d1ecbe0fb7a658682	Anh hùng
a0a28c79c5e4050a874c7ce39b46b6ab	Arto Tolsa Areena
202264	Dĩnh Đông
80916	Cò lả
53e51c38f0337be6fcbaf80a85b3690d	Central Florida
cf5d4c426950809e56a1879bb76aa3b1	Amanda Castro
812082	Hu Dị
d91d9fa3cedc3ac5dd3698d22467fd6b	Danh sách mã bưu điện B của Canada
806101	Danh sách các đơn vị hành chính Phúc Kiến
dfe862b68b2bb47a35ae4e10d95eecf0	Ban Tổ chức, kiểm tra
20493	1 tháng 9
171133b91ec3f15ce4bc67ef9745ef3a	Gong Xiangyu
94944	Bình Giang
365040	Döbritschen
2171633	Khuynh thế hoàng phi
2424700	Chó cỏ
1639ab44e76f74d3a264214ccc622708	Critical discourse analysis
a37ec66a953a3085b68967142a57556d	Juan Enrique Rosales
74144c0b31734da06e0035083ddec3a8	Ngôn ngữ ký hiệu Mông Cổ
2cc139a846bc860a10e3b178ae345c61	Bồ Đào Nha trong Chiến tranh thế giới thứ nhất
1522527	Hương Nha, Tam Nông
783649	San Luis Potosí
11230051	Arab
3229283	Chiến dịch đánh Tống, 1075-1076
816931	Quận Trung Tây, Đài Nam
35323	Chúa Jesus
61732	Phòng Thành Cảng
2774548	Apollo 8
d79172da805d1f33ba3b0c8523f13f50	Nguyễn Liễn
243599	Chiến tranh Tây Sơn-Chúa Nguyễn, 1787-1802
20561	4 tháng 10
04c6e4bc11e06471a9fbc5353d478a77	Antwerp (province)
e7e6bce076ca83d76ffd0f53730ecd58	Mật độ khí
98cad437ae9d8a03f9d4ffab882a61d6	Charles Scribner's Sons
403860	Avully
821670	Mẫu Đơn Giang (tỉnh)
1589343	Beechcraft Model 17 Staggerwing
16314	Hiến pháp Hoa Kỳ
116757	Henry Kissinger
231458	Khải Lý
72329	Elam
de1a985ec915c85d94682d75a23fa60d	Amon
85817	Sinh đồ
1405648	Bán đảo Alaska
38172	Gabon
26572	2006
1fbb60a698572d5e8c7135a75b881e68	Delaware River Region
816323	Tiết diện
24485	Claudius Ptolemaeus
235cc00bc15138478197775072a5bf4e	Cosimo II de' Medici, Đại Công tước xứ Toscana
573836	Benton, Arkansas
128494	Semën Yakovlevich Nadson
